half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,54,James Michael McAdoo misses a jump shot from 13 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-8.6,9.9,15,15,
1,19,54,De'Mon Brooks with a defensive rebound.,98240,,true,false,false,De'Mon,,Brooks,,Dav,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,268,268,
1,19,31,Tyler Kalinoski with a lost ball turnover: Lost Ball,112081,,true,false,false,Tyler,,Kalinoski,,Dav,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,268,268,
1,19,18,Marcus Paige misses a 3-point jump shot from 24 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,15.1,18.8,15,15,
1,19,18,Tyler Kalinoski with a defensive rebound.,112081,,true,false,false,Tyler,,Kalinoski,,Dav,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,268,268,
1,18,59,Tom Droney misses a jump shot from 14 feet out.,98239,,true,false,false,Tom,,Droney,,Dav,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-11.1,7.7,268,268,
1,18,59,Brice Johnson with a defensive rebound.,116588,,true,false,false,Brice,,Johnson,,UNC,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,18,50,Brice Johnson misses a jump shot from 12 feet out.,116588,,true,false,false,Brice,,Johnson,,UNC,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,11,5.5,15,15,
1,18,50,Chris Czerapowicz with a defensive rebound.,98242,,true,false,false,Chris,,Czerapowicz,,Dav,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,268,268,
1,18,27,Chris Czerapowicz makes a jump shot from 11 feet out. Brian Sullivan with the assist.,98242,109813,true,true,false,Chris,Brian,Czerapowicz,Sullivan,Dav,Dav,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,-5,10,268,268,
1,18,06,Personal foul committed by Jake Belford.,117630,,true,false,false,Jake,,Belford,,Dav,,0,2,1,0,1,,,,,0,,1,Personal,8,Foul,,,,268,268,
1,18,02,J.P. Tokoto misses a jump shot from 11 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,0,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-9.3,6.7,15,15,
1,18,02,Brice Johnson with an offensive rebound.,116588,,true,false,false,Brice,,Johnson,,UNC,,0,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,17,58,Brice Johnson with a lost ball turnover: Lost Ball,116588,,true,false,false,Brice,,Johnson,,UNC,,0,2,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,17,47,Tyler Kalinoski makes a 3-point jump shot from 23 feet out. Jake Belford with the assist.,112081,117630,true,true,false,Tyler,Jake,Kalinoski,Belford,Dav,Dav,0,5,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-18.6,12.7,268,268,
1,17,31,J.P. Tokoto misses a jump shot from 17 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,0,5,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,11.1,12.7,15,15,
1,17,31,J.P. Tokoto with an offensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,0,5,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,17,30,J.P. Tokoto misses a tip shot from 7 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,0,5,1,0,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,7,4,5.5,15,15,
1,17,30,J.P. Tokoto with an offensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,0,5,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
