half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,31,Nicholas Paulos misses a 3-point jump shot.,110812,,true,false,false,Nicholas,,Paulos,,NC-Gre,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,272,272,
1,19,05,Kyle Cain misses a jump shot.,97126,,true,false,false,Kyle,,Cain,,NC-Gre,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,272,272,
1,18,48,Devin Thomas misses a jump shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,18,26,Kyle Cain misses a layup shot.,97126,,true,false,false,Kyle,,Cain,,NC-Gre,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,272,272,
1,18,20,Travis McKie misses a 3-point jump shot.,97115,,true,false,false,Travis,,McKie,,Wake,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,18,01,Tevon Saddler misses a layup shot.,121747,,true,false,false,Tevon,,Saddler,,NC-Gre,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,272,272,
1,17,53,Coron Williams misses a 3-point jump shot.,89416,,true,false,false,Coron,,Williams,,Wake,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,17,34,Nicholas Paulos misses a 3-point jump shot.,110812,,true,false,false,Nicholas,,Paulos,,NC-Gre,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,272,272,
1,17,23,Codi Miller-McIntyre misses a jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
