half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,255,255,
1,19,32,Eddie Odio makes a dunk shot.,110078,,true,false,false,Eddie,,Odio,,BC,,0,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,42,42,
1,19,11,Asauhn Dixon-Tatum misses a jump shot.,117911,,true,false,false,Asauhn,,Dixon-Tatum,,Auburn,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,255,255,
1,18,57,Joe Rahon misses a 3-point jump shot.,116004,,true,false,false,Joe,,Rahon,,BC,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,18,47,Chris Denson makes a 3-point jump shot.,97705,,true,false,false,Chris,,Denson,,Auburn,,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,255,255,
1,18,32,Personal foul committed by Tahj Shamsid-Deen.,120712,,true,false,false,Tahj,,Shamsid-Deen,,Auburn,,3,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,255,255,
1,18,19,Ryan Anderson makes a hook shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,3,4,0,1,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,42,42,
1,18,09,KT Harrell makes a 3-point jump shot.,97110,,true,false,false,KT,,Harrell,,Auburn,,6,4,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,255,255,
1,17,38,Ryan Anderson misses a 3-point jump shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,6,4,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,17,31,KT Harrell makes a 3-point jump shot.,97110,,true,false,false,KT,,Harrell,,Auburn,,9,4,0,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,255,255,
1,16,57,Eddie Odio misses a layup shot.,110078,,true,false,false,Eddie,,Odio,,BC,,9,4,0,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,42,42,
1,16,49,Shooting foul committed by Allen Payne.,97708,,true,false,false,Allen,,Payne,,Auburn,,9,4,0,2,1,,,,,0,,2,Shooting,8,Foul,,,,255,255,
1,16,49,Ryan Anderson misses free throw 1 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,9,4,0,2,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,42,42,
1,16,49,Ryan Anderson makes free throw 2 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,9,5,0,2,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,16,31,Personal foul committed by Alex Dragicevich.,97479,,true,false,false,Alex,,Dragicevich,,BC,,9,5,1,2,1,,,,,0,,1,Personal,8,Foul,,,,42,42,
1,16,13,Tahj Shamsid-Deen misses a 3-point jump shot.,120712,,true,false,false,Tahj,,Shamsid-Deen,,Auburn,,9,5,1,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,255,255,
1,16,07,Personal foul committed by KT Harrell.,97110,,true,false,false,KT,,Harrell,,Auburn,,9,5,1,3,1,,,,,6,,1,Personal,8,Foul,,,,255,255,
1,16,06,Olivier Hanlan makes a 3-point jump shot.,116003,,true,false,false,Olivier,,Hanlan,,BC,,9,8,1,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,42,42,
1,15,52,Chris Denson misses a 3-point jump shot.,97705,,true,false,false,Chris,,Denson,,Auburn,,9,8,1,3,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,255,255,
1,15,18,Ryan Anderson misses a layup shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,9,8,1,3,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,,,,42,42,
1,15,10,Chris Griffin misses a jump shot.,97920,,true,false,false,Chris,,Griffin,,Auburn,,9,8,1,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,255,255,
