half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,31,T.J. Warren makes a jump shot from 7 feet out. Jordan Vandenberg with the assist.,116007,88227,true,true,false,T.J.,Jordan,Warren,Vandenberg,NCSU,NCSU,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,3,7,16,16,
1,19,06,Jabari Brown misses a 3-point jump shot from 25 feet out.,110167,,true,false,false,Jabari,,Brown,,Missou,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-15.4,19.3,88,88,
1,19,06,T.J. Warren with a defensive rebound.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,0,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,16,16,
1,18,51,Desmond Lee misses a jump shot from 19 feet out.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-11.5,15.6,16,16,
1,18,51,Jordan Vandenberg with an offensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,18,46,Jordan Vandenberg with a lost ball turnover: Lost Ball,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,16,16,
1,18,39,Earnest Ross misses a 3-point jump shot from 23 feet out.,88591,,true,false,false,Earnest,,Ross,,Missou,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17.9,15,88,88,
1,18,39,Desmond Lee with a defensive rebound.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,22,Anthony Barber misses a jump shot from 18 feet out.,120606,,true,false,false,Anthony,,Barber,,NCSU,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-6.2,16.4,16,16,
1,18,22,Earnest Ross with a defensive rebound.,88591,,true,false,false,Earnest,,Ross,,Missou,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,88,88,
1,17,57,"Johnathan Williams, III makes a dunk shot. Jordan Clarkson with the assist.",120731,97385,true,true,false,Johnathan,Jordan,"Williams, III",Clarkson,Missou,Missou,2,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,88,88,
1,17,34,T.J. Warren makes a jump shot from 7 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,4,2,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,7,1.6,6.5,16,16,
1,17,25,Jordan Clarkson misses a jump shot from 20 feet out.,97385,,true,false,false,Jordan,,Clarkson,,Missou,,4,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,-6,19,88,88,
1,17,25,Jordan Clarkson with an offensive rebound.,97385,,true,false,false,Jordan,,Clarkson,,Missou,,4,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,88,88,
1,16,54,Jabari Brown with a lost ball turnover: Lost Ball,110167,,true,false,false,Jabari,,Brown,,Missou,,4,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,88,88,
1,16,51,Desmond Lee makes a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,6,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,16,34,Ryan Rosburg makes a layup shot. Jordan Clarkson with the assist.,116577,97385,true,true,false,Ryan,Jordan,Rosburg,Clarkson,Missou,Missou,6,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,88,88,
1,16,08,Anthony Barber makes a layup shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,8,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,15,59,Shooting foul committed by Anthony Barber.,120606,,true,false,false,Anthony,,Barber,,NCSU,,8,4,0,1,1,,,,,2,,2,Shooting,8,Foul,,,,16,16,
1,15,59,Official TV timeout.,,,false,false,false,,,,,,,8,4,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,15,59,Personal foul committed by Lennard Freeman.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,8,4,0,2,1,,,,,0,,1,Personal,8,Foul,,,,16,16,
1,15,29,Wes Clark with a bad pass turnover: Bad Pass,120730,,true,false,false,Wes,,Clark,,Missou,,8,4,0,2,0,,,,,0,,1,Bad Pass,7,Turnover,,,,88,88,
1,15,07,T.J. Warren misses a 3-point jump shot from 23 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,8,4,0,2,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,23,1.8,23,16,16,
1,15,07,"Johnathan Williams, III with a defensive rebound.",120731,,true,false,false,Johnathan,,"Williams, III",,Missou,,8,4,0,2,0,,,,,2,,,,6,Defensive Rebound,,,,88,88,
1,14,26,Jordan Clarkson misses a jump shot from 17 feet out.,97385,,true,false,false,Jordan,,Clarkson,,Missou,,8,4,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,-16.2,6,88,88,
1,14,26,T.J. Warren with a defensive rebound.,116007,,true,false,false,T.J.,,Warren,,NCSU,,8,4,0,2,0,,,,,4,,,,6,Defensive Rebound,,,,16,16,
1,14,24,Shooting foul committed by Jabari Brown.,110167,,true,false,false,Jabari,,Brown,,Missou,,8,4,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,88,88,
1,14,24,Desmond Lee makes free throw 1 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,9,4,1,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,16,16,
1,14,24,Desmond Lee makes free throw 2 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,10,4,1,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,14,17,Jordan Clarkson makes a dunk shot.,97385,,true,false,false,Jordan,,Clarkson,,Missou,,10,6,1,2,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,88,88,
1,13,58,Anthony Barber misses a 3-point jump shot from 24 feet out.,120606,,true,false,false,Anthony,,Barber,,NCSU,,10,6,1,2,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,16.9,16.6,16,16,
1,13,58,Tony Criswell with a defensive rebound.,88729,,true,false,false,Tony,,Criswell,,Missou,,10,6,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,88,88,
1,13,42,Shooting foul committed by Anthony Barber.,120606,,true,false,false,Anthony,,Barber,,NCSU,,10,6,1,3,2,,,,,2,,2,Shooting,8,Foul,,,,16,16,
1,13,42,Wes Clark makes free throw 1 of 2.,120730,,true,false,false,Wes,,Clark,,Missou,,10,7,1,3,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,88,88,
1,13,42,Tony Criswell with a lane violation turnover: Lane Violation,88729,,true,false,false,Tony,,Criswell,,Missou,,10,7,1,3,0,,,,,0,,17,Lane Violation,7,Turnover,,,,88,88,
1,13,20,Tyler Lewis misses a 3-point jump shot from 24 feet out.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,10,7,1,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,19,14.9,16,16,
1,13,20,NCSU with an offensive rebound.,,,false,false,false,,,,,,,10,7,1,3,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,13,05,Personal foul committed by Tony Criswell.,88729,,true,false,false,Tony,,Criswell,,Missou,,10,7,2,3,1,,,,,0,,1,Personal,8,Foul,,,,88,88,
1,12,53,Ralston Turner misses a jump shot from 16 feet out.,97046,,true,false,false,Ralston,,Turner,,NCSU,,10,7,2,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-5.5,15.6,16,16,
1,12,53,Tony Criswell with a defensive rebound.,88729,,true,false,false,Tony,,Criswell,,Missou,,10,7,2,3,1,,,,,0,,,,6,Defensive Rebound,,,,88,88,
1,12,44,Earnest Ross with a lost ball turnover: Lost Ball,88591,,true,false,false,Earnest,,Ross,,Missou,,10,7,2,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,88,88,
1,12,40,T.J. Warren with a lost ball turnover: Lost Ball,116007,,true,false,false,T.J.,,Warren,,NCSU,,10,7,2,3,0,,,,,4,,2,Lost Ball,7,Turnover,,,,16,16,
1,12,22,Tony Criswell makes a jump shot from 21 feet out.,88729,,true,false,false,Tony,,Criswell,,Missou,,10,9,2,3,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,21,-10.6,17.8,88,88,
1,12,02,T.J. Warren misses a 3-point jump shot from 23 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,10,9,2,3,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,23,-2.3,22.5,16,16,
1,12,02,Jordan Vandenberg with an offensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,10,9,2,3,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,11,53,T.J. Warren makes a jump shot from 13 feet out. Jordan Vandenberg with the assist.,116007,88227,true,true,false,T.J.,Jordan,Warren,Vandenberg,NCSU,NCSU,12,9,2,3,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,13,1,13,16,16,
1,11,39,Official TV timeout.,,,false,false,false,,,,,,,12,9,2,3,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,11,22,"Johnathan Williams, III makes a 3-point jump shot from 23 feet out.",120731,,true,false,false,Johnathan,,"Williams, III",,Missou,,12,12,2,3,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,-13,18.8,88,88,
1,11,07,T.J. Warren with a traveling turnover: Traveling,116007,,true,false,false,T.J.,,Warren,,NCSU,,12,12,2,3,0,,,,,6,,4,Traveling,7,Turnover,,,,16,16,
1,10,59,Jabari Brown misses a 3-point jump shot from 23 feet out.,110167,,true,false,false,Jabari,,Brown,,Missou,,12,12,2,3,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-21.3,7.4,88,88,
1,10,59,Kyle Washington with a defensive rebound.,120608,,true,false,false,Kyle,,Washington,,NCSU,,12,12,2,3,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,10,50,T.J. Warren makes a jump shot from 5 feet out. Tyler Lewis with the assist.,116007,116006,true,true,false,T.J.,Tyler,Warren,Lewis,NCSU,NCSU,14,12,2,3,0,,,,,8,2,45,Jump Shot,3,Field Goal Made,5,2,5,16,16,
1,10,39,Ryan Rosburg with a lost ball turnover: Lost Ball,116577,,true,false,false,Ryan,,Rosburg,,Missou,,14,12,2,3,0,,,,,2,,2,Lost Ball,7,Turnover,,,,88,88,
1,10,14,Ralston Turner misses a jump shot from 10 feet out.,97046,,true,false,false,Ralston,,Turner,,NCSU,,14,12,2,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-.6,10.4,16,16,
