half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,50,Tyler Ennis misses a jump shot from 12 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-9.1,7.7,52,52,
1,19,50,Daniel Ochefu with a defensive rebound.,116695,,true,false,false,Daniel,,Ochefu,,Vill,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,53,53,
1,19,34,James Bell makes a 3-point jump shot from 26 feet out. Darrun Hilliard with the assist.,97366,109502,true,true,false,James,Darrun,Bell,Hilliard,Vill,Vill,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,20,16,53,53,
1,19,19,Rakeem Christmas with a bad pass turnover: Bad Pass,110466,,true,false,false,Rakeem,,Christmas,,Syr,,0,3,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,52,52,
1,18,59,Ryan Arcidiacono with a lost ball turnover: Lost Ball,116692,,true,false,false,Ryan,,Arcidiacono,,Vill,,0,3,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,53,53,
1,18,59,Personal foul committed by Ryan Arcidiacono.,116692,,true,false,false,Ryan,,Arcidiacono,,Vill,,0,3,1,0,1,,,,,0,,1,Personal,8,Foul,,,,53,53,
1,18,55,Shooting foul committed by Daniel Ochefu.,116695,,true,false,false,Daniel,,Ochefu,,Vill,,0,3,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,53,53,
1,18,55,C.J. Fair makes free throw 1 of 2.,97404,,true,false,false,C.J.,,Fair,,Syr,,1,3,2,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,52,52,
1,18,48,C.J. Fair makes free throw 2 of 2.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,3,2,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,52,52,
1,18,33,Darrun Hilliard makes a 3-point jump shot from 24 feet out. Ryan Arcidiacono with the assist.,109502,116692,true,true,false,Darrun,Ryan,Hilliard,Arcidiacono,Vill,Vill,2,6,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-20,15,53,53,
1,17,54,Syr with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,2,6,2,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,52,52,
1,17,39,Shooting foul committed by Rakeem Christmas.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,2,6,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,52,52,
1,17,39,Darrun Hilliard misses free throw 1 of 2.,109502,,true,false,false,Darrun,,Hilliard,,Vill,,2,6,2,1,0,,,,,3,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,53,53,
1,17,39,Vill with an offensive rebound.,,,false,false,false,,,,,,,2,6,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,53,53,
1,17,39,Darrun Hilliard makes free throw 2 of 2.,109502,,true,false,false,Darrun,,Hilliard,,Vill,,2,7,2,1,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,53,53,
1,17,20,C.J. Fair misses a jump shot from 15 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,7,2,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,15,15,3,52,52,
1,17,20,James Bell with a defensive rebound.,97366,,true,false,false,James,,Bell,,Vill,,2,7,2,1,0,,,,,3,,,,6,Defensive Rebound,,,,53,53,
1,17,00,Personal foul committed by Rakeem Christmas.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,2,7,2,2,2,,,,,0,,1,Personal,8,Foul,,,,52,52,
1,17,00,JayVaughn Pinkston misses a jump shot from 11 feet out.,97368,,true,false,false,JayVaughn,,Pinkston,,Vill,,2,7,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,10.1,3.6,53,53,
1,17,00,Vill with an offensive rebound.,,,false,false,false,,,,,,,2,7,2,2,0,,,,,0,,,,5,Offensive Rebound,,,,53,53,
1,16,56,Darrun Hilliard with a lost ball turnover: Lost Ball,109502,,true,false,false,Darrun,,Hilliard,,Vill,,2,7,2,2,0,,,,,4,,2,Lost Ball,7,Turnover,,,,53,53,
