half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,41,41,
1,19,38,Tyler Cavanaugh misses a 3-point jump shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,19,14,Dee Davis makes a 3-point jump shot.,109446,,true,false,false,Dee,,Davis,,Xavier,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,41,41,
1,18,47,Codi Miller-McIntyre misses a jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,3,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,18,25,Coron Williams makes a 3-point jump shot.,89416,,true,false,false,Coron,,Williams,,Wake,,3,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,17,46,Tyler Cavanaugh misses a 3-point jump shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,3,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,17,33,Justin Martin makes a layup shot.,97123,,true,false,false,Justin,,Martin,,Xavier,,5,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,41,41,
1,17,04,Travis McKie makes a 3-point jump shot.,97115,,true,false,false,Travis,,McKie,,Wake,,5,6,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,16,41,Personal foul committed by Devin Thomas.,116010,,true,false,false,Devin,,Thomas,,Wake,,5,6,1,0,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,16,34,Matt Stainbrook makes a layup shot.,97767,,true,false,false,Matt,,Stainbrook,,Xavier,,7,6,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,41,41,
1,16,14,Shooting foul committed by Matt Stainbrook.,97767,,true,false,false,Matt,,Stainbrook,,Xavier,,7,6,1,1,1,,,,,2,,2,Shooting,8,Foul,,,,41,41,
1,16,14,Devin Thomas makes free throw 1 of 2.,116010,,true,false,false,Devin,,Thomas,,Wake,,7,7,1,1,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
