half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,115,115,
1,19,37,Denzel Ingram makes a jump shot from 10 feet out. Ben Cherry with the assist.,116509,88976,true,true,false,Denzel,Ben,Ingram,Cherry,Char,Char,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,-9,5,115,115,
1,19,05,Trae Golden makes a 3-point jump shot from 30 feet out.,97522,,true,false,false,Trae,,Golden,,GaTech,,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,30,-15.6,25.1,13,13,
1,18,42,Terrence Williams with a lost ball turnover: Lost Ball,110253,,true,false,false,Terrence,,Williams,,Char,,2,3,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,115,115,
1,18,25,"Robert Carter, Jr. misses a jump shot from 14 feet out.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,2,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-11.3,7.7,13,13,
1,18,25,Daniel Miller with an offensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,2,3,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,18,01,Marcus Georges-Hunt misses a 3-point jump shot from 27 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,2,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,27,-20,19,13,13,
1,18,01,Willie Clayton with a defensive rebound.,116510,,true,false,false,Willie,,Clayton,,Char,,2,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,115,115,
1,17,44,Willie Clayton makes a layup shot.,116510,,true,false,false,Willie,,Clayton,,Char,,4,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,115,115,
1,17,13,Daniel Miller makes a hook shot from 13 feet out.,88211,,true,false,false,Daniel,,Miller,,GaTech,,4,5,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,13,-6,12,13,13,
1,16,55,Mike Thorne Jr. misses a jump shot from 20 feet out.,110252,,true,false,false,Mike,,Thorne Jr.,,Char,,4,5,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,-11,17,115,115,
1,16,55,Jason Morris with a defensive rebound.,97036,,true,false,false,Jason,,Morris,,GaTech,,4,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,16,41,"Robert Carter, Jr. with a bad pass turnover: Bad Pass",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,4,5,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,13,13,
1,16,27,Willie Clayton with a lost ball turnover: Lost Ball,116510,,true,false,false,Willie,,Clayton,,Char,,4,5,0,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,115,115,
