half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,35,Demetrius Jackson misses a 3-point jump shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,19,00,Jordan Heath misses a 3-point jump shot.,111478,,true,false,false,Jordan,,Heath,,Can,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,154,154,
1,18,46,Eric Atkins misses a 3-point jump shot.,97478,,true,false,false,Eric,,Atkins,,ND,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,18,31,Billy Baron makes a 3-point jump shot.,97109,,true,false,false,Billy,,Baron,,Can,,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,154,154,
1,18,14,Garrick Sherman misses a hook shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,3,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,46,46,
1,18,02,Dominique Raney makes a jump shot.,117796,,true,false,false,Dominique,,Raney,,Can,,0,5,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,154,154,
1,17,38,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,17,29,Chris Perez misses a 3-point jump shot.,88327,,true,false,false,Chris,,Perez,,Can,,0,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,154,154,
1,17,22,Demetrius Jackson misses a layup shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,0,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,17,22,Garrick Sherman misses a tip shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,5,0,0,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,,,,46,46,
1,17,11,Billy Baron misses a jump shot.,97109,,true,false,false,Billy,,Baron,,Can,,0,5,0,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,154,154,
1,17,10,Personal foul committed by Chris Manhertz.,98160,,true,false,false,Chris,,Manhertz,,Can,,0,5,1,0,1,,,,,0,,1,Personal,8,Foul,,,,154,154,
1,16,55,Eric Atkins makes a 3-point jump shot.,97478,,true,false,false,Eric,,Atkins,,ND,,3,5,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,16,32,Demetrius Jackson misses a layup shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,3,5,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,16,30,V.J. Beachem misses a layup shot.,120754,,true,false,false,V.J.,,Beachem,,ND,,3,5,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,16,20,Chris Manhertz makes a layup shot.,98160,,true,false,false,Chris,,Manhertz,,Can,,3,7,1,0,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,154,154,
1,16,08,Garrick Sherman makes a hook shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,7,1,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,46,46,
1,15,51,Chris Manhertz makes a hook shot.,98160,,true,false,false,Chris,,Manhertz,,Can,,5,9,1,0,1,,,,,4,2,55,Hook Shot,3,Field Goal Made,,,,154,154,
1,15,39,Garrick Sherman misses a hook shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,9,1,0,0,,,,,2,2,55,Hook Shot,4,Field Goal Missed,,,,46,46,
1,15,18,Chris Manhertz makes a layup shot.,98160,,true,false,false,Chris,,Manhertz,,Can,,5,11,1,0,1,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,154,154,
1,14,53,V.J. Beachem misses a 3-point jump shot.,120754,,true,false,false,V.J.,,Beachem,,ND,,5,11,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,14,41,Jordan Heath makes a 3-point jump shot.,111478,,true,false,false,Jordan,,Heath,,Can,,5,14,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,154,154,
1,14,40,ND take a 20-second timeout.,,,false,false,false,,,,,,,5,14,1,0,0,,,,,0,,2,Short,11,Timeout,,,,46,46,
1,14,21,Pat Connaughton misses a jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,14,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,14,15,Zach Auguste misses a layup shot.,116591,,true,false,false,Zach,,Auguste,,ND,,5,14,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,14,15,Zach Auguste makes a jump shot.,116591,,true,false,false,Zach,,Auguste,,ND,,7,14,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,13,49,Dominique Raney misses a 3-point jump shot.,117796,,true,false,false,Dominique,,Raney,,Can,,7,14,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,154,154,
1,13,31,V.J. Beachem misses a 3-point jump shot.,120754,,true,false,false,V.J.,,Beachem,,ND,,7,14,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,13,16,Billy Baron misses a 3-point jump shot.,97109,,true,false,false,Billy,,Baron,,Can,,7,14,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,154,154,
1,13,15,Personal foul committed by Phil Valenti.,116343,,true,false,false,Phil,,Valenti,,Can,,7,14,2,0,1,,,,,0,,1,Personal,8,Foul,,,,154,154,
1,13,15,Official TV timeout.,,,false,false,false,,,,,,,7,14,2,0,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,13,04,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,7,14,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,12,06,Zach Auguste makes a dunk shot.,116591,,true,false,false,Zach,,Auguste,,ND,,9,14,2,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,46,46,
1,11,20,Shooting foul committed by Pat Connaughton.,109491,,true,false,false,Pat,,Connaughton,,ND,,9,14,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,11,20,Official TV timeout.,,,false,false,false,,,,,,,9,14,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,11,20,Billy Baron makes free throw 1 of 2.,97109,,true,false,false,Billy,,Baron,,Can,,9,15,2,1,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,154,154,
1,11,20,Billy Baron makes free throw 2 of 2.,97109,,true,false,false,Billy,,Baron,,Can,,9,16,2,1,0,,,,,5,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,154,154,
1,11,12,Austin Burgett makes a layup shot.,116593,,true,false,false,Austin,,Burgett,,ND,,11,16,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
