half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,45,45,
1,19,38,Rion Brown misses a jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,19,21,Dylon Cormier misses a jump shot.,97901,,true,false,false,Dylon,,Cormier,,Ly-Md,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,157,157,
1,19,09,Garrius Adams makes a jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,18,54,Rion Brown makes a layup shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,4,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,45,45,
1,18,43,Personal foul committed by Donnavan Kirk.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,4,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,45,45,
1,18,43,Jarred Jones misses free throw 1 of 2.,117664,,true,false,false,Jarred,,Jones,,Ly-Md,,4,0,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,157,157,
1,18,43,Jarred Jones makes free throw 2 of 2.,117664,,true,false,false,Jarred,,Jones,,Ly-Md,,4,1,0,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,157,157,
1,18,35,James Kelly misses a jump shot.,120603,,true,false,false,James,,Kelly,,Mia-Fl,,4,1,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,18,35,Shooting foul committed by Jarred Jones.,117664,,true,false,false,Jarred,,Jones,,Ly-Md,,4,1,1,1,1,,,,,1,,2,Shooting,8,Foul,,,,157,157,
1,18,35,Donnavan Kirk makes free throw 1 of 2.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,5,1,1,1,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,45,45,
1,18,35,Donnavan Kirk misses free throw 2 of 2.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,5,1,1,1,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,45,45,
1,18,11,Personal foul committed by Garrius Adams.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,5,1,1,2,1,,,,,2,,1,Personal,8,Foul,,,,45,45,
1,18,11,Jordan Latham misses a layup shot.,97122,,true,false,false,Jordan,,Latham,,Ly-Md,,5,1,1,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,157,157,
