half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,263,263,
1,19,42,Jeronne Maymon misses a layup shot.,88277,,true,false,false,Jeronne,,Maymon,,Tenn,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,263,263,
1,19,36,Jeronne Maymon makes a layup shot.,88277,,true,false,false,Jeronne,,Maymon,,Tenn,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,263,263,
1,19,21,Justin Anderson misses a 3-point jump shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,18,50,Personal foul committed by Darion Atkins.,109419,,true,false,false,Darion,,Atkins,,UVa,,2,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,18,27,Jarnell Stokes misses a jump shot.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,2,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,18,23,Shooting foul committed by Darion Atkins.,109419,,true,false,false,Darion,,Atkins,,UVa,,2,0,2,0,2,,,,,0,,2,Shooting,8,Foul,,,,17,17,
1,18,23,Jarnell Stokes makes free throw 1 of 2.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,3,0,2,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,263,263,
1,18,23,Jarnell Stokes makes free throw 2 of 2.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,4,0,2,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,263,263,
1,18,03,Justin Anderson makes a layup shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,4,2,2,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
