half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,42,Ray Lee with a lost ball turnover: Lost Ball,117295,,true,false,false,Ray,,Lee,,EastMi,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,169,169,
1,19,25,Rakeem Christmas makes a jump shot from 16 feet out. C.J. Fair with the assist.,110466,97404,true,true,false,Rakeem,C.J.,Christmas,Fair,Syr,Syr,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-15.2,5.7,52,52,
1,18,58,Ray Lee makes a 3-point jump shot from 25 feet out. Mike Talley with the assist.,117295,97340,true,true,false,Ray,Mike,Lee,Talley,EastMi,EastMi,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,11.6,22.2,169,169,
1,18,44,Personal foul committed by Mike Talley.,97340,,true,false,false,Mike,,Talley,,EastMi,,2,3,1,0,1,,,,,0,,1,Personal,8,Foul,,,,169,169,
1,18,30,Jerami Grant makes a layup shot. C.J. Fair with the assist.,116757,97404,true,true,false,Jerami,C.J.,Grant,Fair,Syr,Syr,4,3,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,18,05,Glenn Bryant misses a layup shot.,88585,,true,false,false,Glenn,,Bryant,,EastMi,,4,3,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,169,169,
1,18,05,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,4,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,17,54,Jerami Grant makes a jump shot from 6 feet out. Trevor Cooney with the assist.,116757,110467,true,true,false,Jerami,Trevor,Grant,Cooney,Syr,Syr,6,3,1,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,6,-.1,6.4,52,52,
1,17,54,Shooting foul committed by Da'Shonte Riley.,88869,,true,false,false,Da'Shonte,,Riley,,EastMi,,6,3,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,169,169,
