half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,150,150,
1,19,46,Kyle Casey misses a layup shot.,89829,,true,false,false,Kyle,,Casey,,Harv,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,150,150,
1,19,13,Official's timeout.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,4,Official,11,Timeout,,,,150,150,
1,19,10,Shooting foul committed by Kyle Casey.,89829,,true,false,false,Kyle,,Casey,,Harv,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,150,150,
1,19,10,Ryan Anderson misses free throw 1 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,0,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,42,42,
1,19,10,Ryan Anderson makes free throw 2 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,1,0,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,18,56,Personal foul committed by Eddie Odio.,110078,,true,false,false,Eddie,,Odio,,BC,,0,1,1,1,1,,,,,0,,1,Personal,8,Foul,,,,42,42,
1,18,48,Siyani Chambers misses a 3-point jump shot.,116333,,true,false,false,Siyani,,Chambers,,Harv,,0,1,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,150,150,
1,18,37,Kyle Casey misses a jump shot.,89829,,true,false,false,Kyle,,Casey,,Harv,,0,1,1,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,150,150,
1,18,09,Patrick Heckmann misses a 3-point jump shot.,110086,,true,false,false,Patrick,,Heckmann,,BC,,0,1,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,17,53,Laurent Rivard makes a layup shot.,98289,,true,false,false,Laurent,,Rivard,,Harv,,2,1,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,150,150,
1,17,36,Ryan Anderson misses a jump shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,2,1,1,1,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,17,28,Kyle Casey makes a layup shot.,89829,,true,false,false,Kyle,,Casey,,Harv,,4,1,1,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,150,150,
1,17,03,Eddie Odio misses a layup shot.,110078,,true,false,false,Eddie,,Odio,,BC,,4,1,1,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,42,42,
1,16,50,Wesley Saunders makes a jump shot.,110754,,true,false,false,Wesley,,Saunders,,Harv,,6,1,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,150,150,
1,16,29,Joe Rahon misses a 3-point jump shot.,116004,,true,false,false,Joe,,Rahon,,BC,,6,1,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,16,21,Siyani Chambers makes a layup shot.,116333,,true,false,false,Siyani,,Chambers,,Harv,,8,1,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,150,150,
