half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,30,Okaro White misses a jump shot from 8 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,1.6,7.4,12,12,
1,19,30,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,19,14,Malcolm Brogdon misses a 3-point jump shot from 23 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-13,19,17,17,
1,19,14,Mike Tobey with an offensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,19,11,Mike Tobey misses a layup shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,19,11,FlaSt with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,41,Robert Gilchrist misses a jump shot from 8 feet out.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,6,5.9,12,12,
1,18,41,UVa with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,18,40,Personal foul committed by Boris Bojanovsky.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,18,16,Malcolm Brogdon with a stepped out of bounds turnover: Stepped Out of Bounds,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,0,0,1,0,,,,,0,,26,Stepped Out of Bounds,7,Turnover,,,,17,17,
1,17,50,Robert Gilchrist misses a hook shot from 7 feet out.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,0,0,0,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,7,-6,4.3,12,12,
1,17,50,Malcolm Brogdon with a defensive rebound.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,17,14,London Perrantes makes a 3-point jump shot from 23 feet out. Justin Anderson with the assist.,120610,116701,true,true,false,London,Justin,Perrantes,Anderson,UVa,UVa,0,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-5.9,22.4,17,17,
1,16,57,Okaro White misses a jump shot from 8 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,3,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-5.9,5.5,12,12,
1,16,57,UVa with a defensive rebound.,,,false,false,false,,,,,,,0,3,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,16,55,Personal foul committed by Montay Brandon.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,0,3,0,2,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,16,32,Justin Anderson misses a 3-point jump shot from 23 feet out.,116701,,true,false,false,Justin,,Anderson,,UVa,,0,3,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-.8,23.2,17,17,
1,16,32,FlaSt with a defensive rebound.,,,false,false,false,,,,,,,0,3,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,16,16,Michael Ojo with a lost ball out of bounds turnover: Lost Ball Out of Bounds,116530,,true,false,false,Michael,,Ojo,,FlaSt,,0,3,0,2,0,,,,,0,,23,Lost Ball Out of Bounds,7,Turnover,,,,12,12,
1,15,59,London Perrantes makes a 3-point jump shot from 23 feet out. Akil Mitchell with the assist.,120610,97111,true,true,false,London,Akil,Perrantes,Mitchell,UVa,UVa,0,6,0,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,-21,8.4,17,17,
1,15,40,Aaron Thomas misses a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,6,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,15,40,UVa with a defensive rebound.,,,false,false,false,,,,,,,0,6,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,15,38,Official TV timeout.,,,false,false,false,,,,,,,0,6,0,2,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,15,08,Mike Tobey misses a jump shot from 20 feet out.,116698,,true,false,false,Mike,,Tobey,,UVa,,0,6,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,3.1,19.5,17,17,
1,15,08,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,6,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,15,00,Okaro White makes a 3-point jump shot from 24 feet out. Ian Miller with the assist.,97445,97446,true,true,false,Okaro,Ian,White,Miller,FlaSt,FlaSt,3,6,0,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-6.4,23,12,12,
1,14,34,Anthony Gill with a traveling turnover: Traveling,109947,,true,false,false,Anthony,,Gill,,UVa,,3,6,0,2,0,,,,,0,,4,Traveling,7,Turnover,,,,17,17,
1,14,19,Jarquez Smith misses a 3-point jump shot from 22 feet out.,120597,,true,false,false,Jarquez,,Smith,,FlaSt,,3,6,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22.4,1.8,12,12,
1,14,19,Michael Ojo with an offensive rebound.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,3,6,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,14,16,Michael Ojo with a traveling turnover: Traveling,116530,,true,false,false,Michael,,Ojo,,FlaSt,,3,6,0,2,0,,,,,0,,4,Traveling,7,Turnover,,,,12,12,
1,13,51,Akil Mitchell misses a layup shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,3,6,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,13,51,UVa with an offensive rebound.,,,false,false,false,,,,,,,3,6,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,13,40,Justin Anderson makes a 3-point jump shot from 26 feet out.,116701,,true,false,false,Justin,,Anderson,,UVa,,3,9,0,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,18.8,18.1,17,17,
1,13,29,Ian Miller with a lost ball turnover: Lost Ball,97446,,true,false,false,Ian,,Miller,,FlaSt,,3,9,0,2,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,13,25,Personal foul committed by Aaron Thomas.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,3,9,0,3,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,13,14,Justin Anderson makes a jump shot from 19 feet out. Malcolm Brogdon with the assist.,116701,109418,true,true,false,Justin,Malcolm,Anderson,Brogdon,UVa,UVa,3,11,0,3,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,19,11.3,15.2,17,17,
1,13,04,Ian Miller misses a layup shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,3,11,0,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,13,04,Justin Anderson with a defensive rebound.,116701,,true,false,false,Justin,,Anderson,,UVa,,3,11,0,3,0,,,,,5,,,,6,Defensive Rebound,,,,17,17,
1,12,57,Malcolm Brogdon misses a 3-point jump shot from 24 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,3,11,0,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-8.1,22.5,17,17,
1,12,57,Ian Miller with a defensive rebound.,97446,,true,false,false,Ian,,Miller,,FlaSt,,3,11,0,3,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,12,49,Okaro White makes a dunk shot. Aaron Thomas with the assist.,97445,116531,true,true,false,Okaro,Aaron,White,Thomas,FlaSt,FlaSt,5,11,0,3,0,,,,,5,2,48,Dunk Shot,3,Field Goal Made,0,0,0,12,12,
1,12,20,Justin Anderson misses a jump shot from 19 feet out.,116701,,true,false,false,Justin,,Anderson,,UVa,,5,11,0,3,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,19,18.5,3.6,17,17,
1,12,20,Jarquez Smith with a defensive rebound.,120597,,true,false,false,Jarquez,,Smith,,FlaSt,,5,11,0,3,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,12,11,Okaro White with a bad pass turnover: Bad Pass,97445,,true,false,false,Okaro,,White,,FlaSt,,5,11,0,3,0,,,,,5,,1,Bad Pass,7,Turnover,,,,12,12,
1,11,50,Justin Anderson with a lost ball turnover: Lost Ball,116701,,true,false,false,Justin,,Anderson,,UVa,,5,11,0,3,0,,,,,5,,2,Lost Ball,7,Turnover,,,,17,17,
1,11,44,Ian Miller with a bad pass turnover: Bad Pass,97446,,true,false,false,Ian,,Miller,,FlaSt,,5,11,0,3,0,,,,,0,,1,Bad Pass,7,Turnover,,,,12,12,
1,11,44,Official TV timeout.,,,false,false,false,,,,,,,5,11,0,3,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,11,28,Evan Nolte makes a 3-point jump shot from 24 feet out. Justin Anderson with the assist.,116699,116701,true,true,false,Evan,Justin,Nolte,Anderson,UVa,UVa,5,14,0,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,11,21.2,17,17,
