half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,25,Shooting foul committed by Dez Wells.,109448,,true,false,false,Dez,,Wells,,MD,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,19,25,Marcus Georges-Hunt misses free throw 1 of 2.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,13,13,
1,19,25,GaTech with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,19,25,Marcus Georges-Hunt misses free throw 2 of 2.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,1,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,13,13,
1,19,25,Jake Layman with a defensive rebound.,116731,,true,false,false,Jake,,Layman,,MD,,0,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,19,10,Shaquille Cleare makes a hook shot from 6 feet out. Dez Wells with the assist.,116734,109448,true,true,false,Shaquille,Dez,Cleare,Wells,MD,MD,2,0,0,1,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,6,-.6,6.2,14,14,
1,18,51,Kammeon Holsey makes a layup shot.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,2,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,18,37,Shaquille Cleare misses a hook shot from 7 feet out.,116734,,true,false,false,Shaquille,,Cleare,,MD,,2,2,0,1,0,,,,,2,2,55,Hook Shot,4,Field Goal Missed,7,5.4,5.2,14,14,
1,18,37,Shaquille Cleare with an offensive rebound.,116734,,true,false,false,Shaquille,,Cleare,,MD,,2,2,0,1,0,,,,,2,,,,5,Offensive Rebound,,,,14,14,
1,18,33,Evan Smotrycz makes a layup shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,4,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,14,14,
1,18,21,Kammeon Holsey misses a layup shot.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,4,2,0,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,18,21,Evan Smotrycz with a defensive rebound.,97334,,true,false,false,Evan,,Smotrycz,,MD,,4,2,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,14,14,
1,18,12,Roddy Peters misses a layup shot.,120753,,true,false,false,Roddy,,Peters,,MD,,4,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,14,14,
1,18,12,Kammeon Holsey with a defensive rebound.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,4,2,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,13,13,
1,18,09,Marcus Georges-Hunt misses a jump shot from 11 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,4,2,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,6.7,8.6,13,13,
1,18,09,GaTech with an offensive rebound.,,,false,false,false,,,,,,,4,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,18,05,Daniel Miller with a traveling turnover: Traveling,88211,,true,false,false,Daniel,,Miller,,GaTech,,4,2,0,1,0,,,,,0,,4,Traveling,7,Turnover,,,,13,13,
1,17,53,Dez Wells makes a dunk shot.,109448,,true,false,false,Dez,,Wells,,MD,,6,2,0,1,1,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,14,14,
1,17,53,Shooting foul committed by Daniel Miller.,88211,,true,false,false,Daniel,,Miller,,GaTech,,6,2,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,13,13,
1,17,53,Dez Wells makes free throw 1 of 1.,109448,,true,false,false,Dez,,Wells,,MD,,7,2,1,1,1,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,14,14,
1,17,29,Trae Golden misses a layup shot.,97522,,true,false,false,Trae,,Golden,,GaTech,,7,2,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,17,29,Jake Layman with a defensive rebound.,116731,,true,false,false,Jake,,Layman,,MD,,7,2,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,17,21,Jake Layman makes a 3-point jump shot from 24 feet out. Roddy Peters with the assist.,116731,120753,true,true,false,Jake,Roddy,Layman,Peters,MD,MD,10,2,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-12.8,20.7,14,14,
1,17,05,Jason Morris misses a jump shot from 12 feet out.,97036,,true,false,false,Jason,,Morris,,GaTech,,10,2,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-10.3,5.5,13,13,
1,17,05,Shaquille Cleare with a defensive rebound.,116734,,true,false,false,Shaquille,,Cleare,,MD,,10,2,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,14,14,
1,16,57,Roddy Peters makes a layup shot.,120753,,true,false,false,Roddy,,Peters,,MD,,12,2,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,14,14,
1,16,56,GaTech take a 20-second timeout.,,,false,false,false,,,,,,,12,2,1,1,0,,,,,0,,2,Short,11,Timeout,,,,13,13,
1,16,26,Kammeon Holsey makes a jump shot from 13 feet out.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,12,4,1,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,13,12.3,4.7,13,13,
1,15,59,Jake Layman makes a 3-point jump shot from 24 feet out. Roddy Peters with the assist.,116731,120753,true,true,false,Jake,Roddy,Layman,Peters,MD,MD,15,4,1,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,24,17.8,15.7,14,14,
1,15,41,Kammeon Holsey makes a jump shot from 18 feet out. Trae Golden with the assist.,88210,97522,true,true,false,Kammeon,Trae,Holsey,Golden,GaTech,GaTech,15,6,1,1,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,18,-18.5,.6,13,13,
1,15,25,Jake Layman with a lost ball turnover: Lost Ball,116731,,true,false,false,Jake,,Layman,,MD,,15,6,1,1,0,,,,,6,,2,Lost Ball,7,Turnover,,,,14,14,
1,15,21,Trae Golden makes a layup shot. Chris Bolden with the assist.,97522,116542,true,true,false,Trae,Chris,Golden,Bolden,GaTech,GaTech,15,8,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,14,59,Nick Faust makes a 3-point jump shot from 24 feet out. Shaquille Cleare with the assist.,110907,116734,true,true,false,Nick,Shaquille,Faust,Cleare,MD,MD,18,8,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,14.7,19.5,14,14,
1,14,42,Personal foul committed by Nick Faust.,110907,,true,false,false,Nick,,Faust,,MD,,18,8,1,2,1,,,,,3,,1,Personal,8,Foul,,,,14,14,
1,14,42,Official TV timeout.,,,false,false,false,,,,,,,18,8,1,2,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,14,37,Shooting foul committed by Charles Mitchell.,116729,,true,false,false,Charles,,Mitchell,,MD,,18,8,1,3,1,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,14,37,Daniel Miller makes free throw 1 of 2.,88211,,true,false,false,Daniel,,Miller,,GaTech,,18,9,1,3,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,13,13,
1,14,37,Daniel Miller misses free throw 2 of 2.,88211,,true,false,false,Daniel,,Miller,,GaTech,,18,9,1,3,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,13,13,
1,14,37,Charles Mitchell with a defensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,18,9,1,3,1,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,14,19,Charles Mitchell makes a jump shot from 6 feet out.,116729,,true,false,false,Charles,,Mitchell,,MD,,20,9,1,3,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,.3,6.2,14,14,
1,13,54,Marcus Georges-Hunt makes a layup shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,20,11,1,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,13,34,Charles Mitchell misses a jump shot from 16 feet out.,116729,,true,false,false,Charles,,Mitchell,,MD,,20,11,1,3,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,16,15.2,4.7,14,14,
1,13,34,Quinton Stephens with a defensive rebound.,120599,,true,false,false,Quinton,,Stephens,,GaTech,,20,11,1,3,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,13,31,Personal foul committed by Jonathan Graham.,97094,,true,false,false,Jonathan,,Graham,,MD,,20,11,1,4,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,13,08,Kammeon Holsey misses a layup shot.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,20,11,1,4,0,,,,,6,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,13,08,GaTech with an offensive rebound.,,,false,false,false,,,,,,,20,11,1,4,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,12,54,Chris Bolden makes a jump shot from 10 feet out.,116542,,true,false,false,Chris,,Bolden,,GaTech,,20,13,1,4,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,-9.4,1.6,13,13,
1,12,35,Jonathan Graham misses a hook shot from 9 feet out.,97094,,true,false,false,Jonathan,,Graham,,MD,,20,13,1,4,1,,,,,0,2,55,Hook Shot,4,Field Goal Missed,9,-3.1,8.7,14,14,
1,12,35,Chris Bolden with a defensive rebound.,116542,,true,false,false,Chris,,Bolden,,GaTech,,20,13,1,4,0,,,,,2,,,,6,Defensive Rebound,,,,13,13,
1,12,14,Daniel Miller misses a jump shot from 13 feet out.,88211,,true,false,false,Daniel,,Miller,,GaTech,,20,13,1,4,1,,,,,1,2,45,Jump Shot,4,Field Goal Missed,13,12.8,3.8,13,13,
1,12,14,Nick Faust with a defensive rebound.,110907,,true,false,false,Nick,,Faust,,MD,,20,13,1,4,1,,,,,3,,,,6,Defensive Rebound,,,,14,14,
1,12,03,Dez Wells makes a hook shot from 9 feet out.,109448,,true,false,false,Dez,,Wells,,MD,,22,13,1,4,1,,,,,5,2,55,Hook Shot,3,Field Goal Made,9,-.6,9.3,14,14,
1,11,43,Marcus Georges-Hunt misses a 3-point jump shot from 24 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,22,13,1,4,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,15.6,18.3,13,13,
1,11,43,Charles Mitchell with a defensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,22,13,1,4,1,,,,,2,,,,6,Defensive Rebound,,,,14,14,
1,11,23,Seth Allen misses a 3-point jump shot from 23 feet out.,116730,,true,false,false,Seth,,Allen,,MD,,22,13,1,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,11.8,20,14,14,
1,11,23,Charles Mitchell with an offensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,22,13,1,4,1,,,,,2,,,,5,Offensive Rebound,,,,14,14,
1,11,21,Charles Mitchell misses a layup shot.,116729,,true,false,false,Charles,,Mitchell,,MD,,22,13,1,4,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,14,14,
1,11,21,MD with an offensive rebound.,,,false,false,false,,,,,,,22,13,1,4,0,,,,,0,,,,5,Offensive Rebound,,,,14,14,
1,11,20,Official TV timeout.,,,false,false,false,,,,,,,22,13,1,4,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,11,09,Personal foul committed by Chris Bolden.,116542,,true,false,false,Chris,,Bolden,,GaTech,,22,13,2,4,1,,,,,2,,1,Personal,8,Foul,,,,13,13,
1,11,09,MD take a 20-second timeout.,,,false,false,false,,,,,,,22,13,2,4,0,,,,,0,,2,Short,11,Timeout,,,,14,14,
1,11,02,Seth Allen misses a jump shot from 14 feet out.,116730,,true,false,false,Seth,,Allen,,MD,,22,13,2,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-4.8,13,14,14,
1,11,02,Quinton Stephens with a defensive rebound.,120599,,true,false,false,Quinton,,Stephens,,GaTech,,22,13,2,4,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,10,54,Chris Bolden misses a jump shot from 20 feet out.,116542,,true,false,false,Chris,,Bolden,,GaTech,,22,13,2,4,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,20,-7.1,18.3,13,13,
1,10,54,Evan Smotrycz with a defensive rebound.,97334,,true,false,false,Evan,,Smotrycz,,MD,,22,13,2,4,0,,,,,2,,,,6,Defensive Rebound,,,,14,14,
1,10,47,Evan Smotrycz with a lost ball turnover: Lost Ball,97334,,true,false,false,Evan,,Smotrycz,,MD,,22,13,2,4,0,,,,,2,,2,Lost Ball,7,Turnover,,,,14,14,
1,10,44,Chris Bolden with a lost ball turnover: Lost Ball,116542,,true,false,false,Chris,,Bolden,,GaTech,,22,13,2,4,1,,,,,2,,2,Lost Ball,7,Turnover,,,,13,13,
1,10,38,"Personal foul committed by Stacey Poole, Jr..",97676,,true,false,false,Stacey,,"Poole, Jr.",,GaTech,,22,13,3,4,1,,,,,0,,1,Personal,8,Foul,,,,13,13,
1,10,24,Evan Smotrycz makes a hook shot from 8 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,24,13,3,4,0,,,,,4,2,55,Hook Shot,3,Field Goal Made,8,-5.4,5.3,14,14,
1,10,01,Personal foul committed by Jake Layman.,116731,,true,false,false,Jake,,Layman,,MD,,24,13,3,5,1,,,,,6,,1,Personal,8,Foul,,,,14,14,
1,9,51,"Stacey Poole, Jr. makes a jump shot from 11 feet out.",97676,,true,false,false,Stacey,,"Poole, Jr.",,GaTech,,24,15,3,5,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,3.3,10.3,13,13,
1,9,28,Shooting foul committed by Kammeon Holsey.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,24,15,4,5,1,,,,,6,,2,Shooting,8,Foul,,,,13,13,
1,9,28,Shaquille Cleare makes free throw 1 of 2.,116734,,true,false,false,Shaquille,,Cleare,,MD,,25,15,4,5,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,14,14,
1,9,28,Shaquille Cleare misses free throw 2 of 2.,116734,,true,false,false,Shaquille,,Cleare,,MD,,25,15,4,5,0,,,,,3,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,14,14,
1,9,28,"Stacey Poole, Jr. with a defensive rebound.",97676,,true,false,false,Stacey,,"Poole, Jr.",,GaTech,,25,15,4,5,1,,,,,2,,,,6,Defensive Rebound,,,,13,13,
1,8,54,Trae Golden misses a 3-point jump shot from 24 feet out.,97522,,true,false,false,Trae,,Golden,,GaTech,,25,15,4,5,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-9.3,21.7,13,13,
1,8,54,MD with a defensive rebound.,,,false,false,false,,,,,,,25,15,4,5,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,8,52,GaTech with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,25,15,4,5,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,13,13,
1,8,35,Evan Smotrycz misses a 3-point jump shot from 23 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,25,15,4,5,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,23,-11.6,20.1,14,14,
1,8,35,Jason Morris with a defensive rebound.,97036,,true,false,false,Jason,,Morris,,GaTech,,25,15,4,5,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,8,33,Personal foul committed by Jake Layman.,116731,,true,false,false,Jake,,Layman,,MD,,25,15,4,6,2,,,,,6,,1,Personal,8,Foul,,,,14,14,
1,8,11,Jason Morris makes a 3-point jump shot from 23 feet out. Daniel Miller with the assist.,97036,88211,true,true,false,Jason,Daniel,Morris,Miller,GaTech,GaTech,25,18,4,6,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,10.1,21.2,13,13,
1,7,51,Dez Wells misses a layup shot.,109448,,true,false,false,Dez,,Wells,,MD,,25,18,4,6,1,,,,,5,2,40,Layup Shot,4,Field Goal Missed,0,0,0,14,14,
1,7,51,Kammeon Holsey with a defensive rebound.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,25,18,4,6,1,,,,,6,,,,6,Defensive Rebound,,,,13,13,
1,7,49,Trae Golden with a traveling turnover: Traveling,97522,,true,false,false,Trae,,Golden,,GaTech,,25,18,4,6,0,,,,,2,,4,Traveling,7,Turnover,,,,13,13,
1,7,49,Official TV timeout.,,,false,false,false,,,,,,,25,18,4,6,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,7,40,Evan Smotrycz makes a jump shot from 19 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,27,18,4,6,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,19,-7.2,17.8,14,14,
1,7,23,Marcus Georges-Hunt misses a layup shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,27,18,4,6,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,7,23,Charles Mitchell with a defensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,27,18,4,6,1,,,,,2,,,,6,Defensive Rebound,,,,14,14,
1,7,17,Evan Smotrycz misses a layup shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,27,18,4,6,0,,,,,6,2,40,Layup Shot,4,Field Goal Missed,0,0,0,14,14,
1,7,17,Jason Morris with a defensive rebound.,97036,,true,false,false,Jason,,Morris,,GaTech,,27,18,4,6,0,,,,,3,,,,6,Defensive Rebound,,,,13,13,
1,7,11,Shooting foul committed by Dez Wells.,109448,,true,false,false,Dez,,Wells,,MD,,27,18,4,7,2,,,,,5,,2,Shooting,8,Foul,,,,14,14,
1,7,11,Quinton Stephens makes free throw 1 of 2.,120599,,true,false,false,Quinton,,Stephens,,GaTech,,27,19,4,7,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,13,13,
1,7,11,Quinton Stephens makes free throw 2 of 2.,120599,,true,false,false,Quinton,,Stephens,,GaTech,,27,20,4,7,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,13,13,
1,6,49,Charles Mitchell misses a hook shot from 8 feet out.,116729,,true,false,false,Charles,,Mitchell,,MD,,27,20,4,7,1,,,,,2,2,55,Hook Shot,4,Field Goal Missed,8,-5.2,6.4,14,14,
1,6,49,Jason Morris with a defensive rebound.,97036,,true,false,false,Jason,,Morris,,GaTech,,27,20,4,7,0,,,,,3,,,,6,Defensive Rebound,,,,13,13,
1,6,46,Marcus Georges-Hunt with a bad pass turnover: Bad Pass,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,27,20,4,7,0,,,,,2,,1,Bad Pass,7,Turnover,,,,13,13,
1,6,32,Seth Allen misses a 3-point jump shot from 23 feet out.,116730,,true,false,false,Seth,,Allen,,MD,,27,20,4,7,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,21.7,6.5,14,14,
1,6,32,GaTech with a defensive rebound.,,,false,false,false,,,,,,,27,20,4,7,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,6,06,Daniel Miller makes a jump shot from 14 feet out.,88211,,true,false,false,Daniel,,Miller,,GaTech,,27,22,4,7,1,,,,,3,2,45,Jump Shot,3,Field Goal Made,14,6.7,12.2,13,13,
1,5,40,Charles Mitchell makes a hook shot from 7 feet out.,116729,,true,false,false,Charles,,Mitchell,,MD,,29,22,4,7,1,,,,,4,2,55,Hook Shot,3,Field Goal Made,7,-.4,6.9,14,14,
1,5,23,Daniel Miller misses a layup shot.,88211,,true,false,false,Daniel,,Miller,,GaTech,,29,22,4,7,1,,,,,3,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,5,23,Charles Mitchell with a defensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,29,22,4,7,1,,,,,4,,,,6,Defensive Rebound,,,,14,14,
1,5,15,Nick Faust makes a 3-point jump shot from 23 feet out. Roddy Peters with the assist.,110907,120753,true,true,false,Nick,Roddy,Faust,Peters,MD,MD,32,22,4,7,1,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,22.2,4.3,14,14,
1,4,43,Trae Golden misses a jump shot from 11 feet out.,97522,,true,false,false,Trae,,Golden,,GaTech,,32,22,4,7,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,11,5,10,13,13,
1,4,43,"Stacey Poole, Jr. with an offensive rebound.",97676,,true,false,false,Stacey,,"Poole, Jr.",,GaTech,,32,22,4,7,1,,,,,2,,,,5,Offensive Rebound,,,,13,13,
