half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,30,Davon Reed with a lost ball turnover: Lost Ball,120601,,true,false,false,Davon,,Reed,,Mia-Fl,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,45,45,
1,19,24,Rakeem Christmas misses a layup shot.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,52,52,
1,19,24,Syr with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,19,15,Tyler Ennis makes a jump shot from 11 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,7.2,8.6,52,52,
1,18,42,Davon Reed makes a 3-point jump shot from 25 feet out. Garrius Adams with the assist.,120601,88215,true,true,false,Davon,Garrius,Reed,Adams,Mia-Fl,Mia-Fl,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-1.8,24.9,45,45,
1,18,15,Shooting foul committed by Garrius Adams.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,2,3,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,45,45,
1,18,15,Trevor Cooney makes free throw 1 of 2.,110467,,true,false,false,Trevor,,Cooney,,Syr,,3,3,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,52,52,
1,18,15,Trevor Cooney makes free throw 2 of 2.,110467,,true,false,false,Trevor,,Cooney,,Syr,,4,3,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,52,52,
1,17,29,Mia-Fl with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,4,3,1,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,45,45,
1,17,00,Trevor Cooney misses a 3-point jump shot from 23 feet out.,110467,,true,false,false,Trevor,,Cooney,,Syr,,4,3,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-11.5,20.3,52,52,
1,17,00,Baye Moussa Keita with an offensive rebound.,97403,,true,false,false,Baye Moussa,,Keita,,Syr,,4,3,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
