half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,44,Kennedy Meeks misses a layup shot.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,19,44,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,19,20,Travis McKie with a lost ball turnover: Lost Ball,97115,,true,false,false,Travis,,McKie,,Wake,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,18,18,
1,19,19,Personal foul committed by Madison Jones.,116009,,true,false,false,Madison,,Jones,,Wake,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,18,59,Kennedy Meeks misses a jump shot from 9 feet out.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,0,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,-8.1,4.6,15,15,
1,18,59,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,18,55,Shooting foul committed by Marcus Paige.,116587,,true,false,false,Marcus,,Paige,,UNC,,0,0,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,18,55,Codi Miller-McIntyre makes free throw 1 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,1,0,1,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,18,55,Codi Miller-McIntyre misses free throw 2 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,1,0,1,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,18,18,
1,18,55,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,1,0,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,18,27,Marcus Paige makes a jump shot from 12 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,1,2,1,1,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,-5,11,15,15,
1,18,19,Shooting foul committed by James Michael McAdoo.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,1,2,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,18,19,Tyler Cavanaugh makes free throw 1 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,2,2,2,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,18,19,Tyler Cavanaugh makes free throw 2 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,3,2,2,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,18,10,James Michael McAdoo makes a jump shot from 13 feet out. J.P. Tokoto with the assist.,110437,116589,true,true,false,James Michael,J.P.,McAdoo,Tokoto,UNC,UNC,3,4,2,1,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,13,13,2,15,15,
1,17,46,Codi Miller-McIntyre misses a jump shot from 5 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,3,4,2,1,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,5,3.2,3.5,18,18,
1,17,46,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,3,4,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,17,45,Shooting foul committed by Tyler Cavanaugh.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,3,4,2,2,1,,,,,2,,2,Shooting,8,Foul,,,,18,18,
1,17,45,James Michael McAdoo makes free throw 1 of 2.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,3,5,2,2,1,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,15,15,
1,17,45,James Michael McAdoo makes free throw 2 of 2.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,3,6,2,2,1,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,15,15,
1,17,34,Devin Thomas makes a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,5,6,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,17,20,J.P. Tokoto makes a layup shot.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,5,8,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,16,54,Madison Jones misses a layup shot.,116009,,true,false,false,Madison,,Jones,,Wake,,5,8,2,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,16,54,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,5,8,2,2,1,,,,,4,,,,6,Defensive Rebound,,,,15,15,
1,16,49,Nate Britt makes a jump shot from 9 feet out.,121344,,true,false,false,Nate,,Britt,,UNC,,5,10,2,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,-6.2,6.8,15,15,
1,16,30,Travis McKie makes a layup shot. Devin Thomas with the assist.,97115,116010,true,true,false,Travis,Devin,McKie,Thomas,Wake,Wake,7,10,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,16,13,Kennedy Meeks makes a layup shot. Nate Britt with the assist.,121345,121344,true,true,false,Kennedy,Nate,Meeks,Britt,UNC,UNC,7,12,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,15,53,Codi Miller-McIntyre with a lost ball turnover: Lost Ball,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,7,12,2,2,0,,,,,1,,2,Lost Ball,7,Turnover,,,,18,18,
1,15,43,James Michael McAdoo misses a jump shot from 6 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,7,12,2,2,1,,,,,4,2,45,Jump Shot,4,Field Goal Missed,6,4,5,15,15,
1,15,43,J.P. Tokoto with an offensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,7,12,2,2,0,,,,,2,,,,5,Offensive Rebound,,,,15,15,
1,15,43,J.P. Tokoto misses a tip shot from 3 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,7,12,2,2,0,,,,,2,2,53,Tip Shot,4,Field Goal Missed,3,-1,3,15,15,
1,15,43,Kennedy Meeks with an offensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,7,12,2,2,0,,,,,2,,,,5,Offensive Rebound,,,,15,15,
1,15,32,Marcus Paige misses a 3-point jump shot from 24 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,7,12,2,2,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,2,24,15,15,
1,15,32,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,7,12,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
1,15,31,Personal foul committed by J.P. Tokoto.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,7,12,3,2,1,,,,,2,,1,Personal,8,Foul,,,,15,15,
1,15,30,Official TV timeout.,,,false,false,false,,,,,,,7,12,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,18,18,
1,15,15,Arnaud-William Adala Moto makes a jump shot from 8 feet out. Devin Thomas with the assist.,116014,116010,true,true,false,Arnaud-William,Devin,Adala Moto,Thomas,Wake,Wake,9,12,3,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,0,8,18,18,
1,15,15,Shooting foul committed by James Michael McAdoo.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,9,12,4,2,2,,,,,4,,2,Shooting,8,Foul,,,,15,15,
1,15,15,Arnaud-William Adala Moto misses free throw 1 of 1.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,9,12,4,2,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,18,18,
1,15,15,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,9,12,4,2,2,,,,,4,,,,6,Defensive Rebound,,,,15,15,
1,15,03,Shooting foul committed by Devin Thomas.,116010,,true,false,false,Devin,,Thomas,,Wake,,9,12,4,3,1,,,,,2,,2,Shooting,8,Foul,,,,18,18,
1,15,03,James Michael McAdoo makes free throw 1 of 2.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,9,13,4,3,2,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,15,15,
1,15,03,James Michael McAdoo misses free throw 2 of 2.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,9,13,4,3,2,,,,,5,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,15,15,
1,15,03,Arnaud-William Adala Moto with a defensive rebound.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,9,13,4,3,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
1,14,55,Coron Williams makes a 3-point jump shot from 26 feet out. Codi Miller-McIntyre with the assist.,89416,116008,true,true,false,Coron,Codi,Williams,Miller-McIntyre,Wake,Wake,12,13,4,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,16,20,18,18,
1,14,42,Brice Johnson makes a dunk shot. Marcus Paige with the assist.,116588,116587,true,true,false,Brice,Marcus,Johnson,Paige,UNC,UNC,12,15,4,3,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,15,15,
1,14,29,Codi Miller-McIntyre misses a jump shot from 12 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,12,15,4,3,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,12,4.9,10.7,18,18,
1,14,29,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,12,15,4,3,2,,,,,5,,,,6,Defensive Rebound,,,,15,15,
1,14,25,Marcus Paige with a lost ball turnover: Lost Ball,116587,,true,false,false,Marcus,,Paige,,UNC,,12,15,4,3,1,,,,,2,,2,Lost Ball,7,Turnover,,,,15,15,
1,14,10,Shooting foul committed by J.P. Tokoto.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,12,15,5,3,2,,,,,2,,2,Shooting,8,Foul,,,,15,15,
1,14,10,Arnaud-William Adala Moto misses free throw 1 of 2.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,12,15,5,3,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,18,18,
1,14,10,Wake with an offensive rebound.,,,false,false,false,,,,,,,12,15,5,3,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,14,10,Arnaud-William Adala Moto misses free throw 2 of 2.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,12,15,5,3,0,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,18,18,
1,14,10,Brice Johnson with a defensive rebound.,116588,,true,false,false,Brice,,Johnson,,UNC,,12,15,5,3,0,,,,,2,,,,6,Defensive Rebound,,,,15,15,
1,13,54,Brice Johnson makes a jump shot from 12 feet out.,116588,,true,false,false,Brice,,Johnson,,UNC,,12,17,5,3,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,12,1.8,11.6,15,15,
1,13,45,Arnaud-William Adala Moto misses a dunk shot.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,12,17,5,3,0,,,,,2,2,48,Dunk Shot,4,Field Goal Missed,0,0,0,18,18,
1,13,45,Isaiah Hicks with a defensive rebound.,121346,,true,false,false,Isaiah,,Hicks,,UNC,,12,17,5,3,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,13,32,Marcus Paige misses a 3-point jump shot from 25 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,12,17,5,3,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,-1.4,24.9,15,15,
1,13,32,Travis McKie with a defensive rebound.,97115,,true,false,false,Travis,,McKie,,Wake,,12,17,5,3,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
