half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,38,Personal foul committed by Amile Jefferson.,116520,,true,false,false,Amile,,Jefferson,,Duke,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,19,29,Kammeon Holsey misses a jump shot from 10 feet out.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,0,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,.1,9.8,13,13,
1,19,29,Rasheed Sulaimon with a defensive rebound.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,0,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,19,06,Rodney Hood makes a jump shot from 10 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,0,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,-5.6,8.8,11,11,
1,18,52,Marcus Georges-Hunt makes a layup shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,2,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,18,38,Jabari Parker misses a 3-point jump shot from 23 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-14.9,18.1,11,11,
1,18,38,GaTech with a defensive rebound.,,,false,false,false,,,,,,,2,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,21,Trae Golden with a backcourt turnover turnover: Backcourt Turnover,97522,,true,false,false,Trae,,Golden,,GaTech,,2,2,0,1,0,,,,,0,,13,Backcourt Turnover,7,Turnover,,,,13,13,
1,18,08,Rodney Hood with a lost ball turnover: Lost Ball,109781,,true,false,false,Rodney,,Hood,,Duke,,2,2,0,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,11,11,
1,17,45,Daniel Miller makes a jump shot from 12 feet out.,88211,,true,false,false,Daniel,,Miller,,GaTech,,2,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,4.5,11.2,13,13,
1,17,28,Jabari Parker misses a jump shot from 13 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,4,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,.1,12.9,11,11,
1,17,28,Rodney Hood with an offensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,4,0,1,0,,,,,2,,,,5,Offensive Rebound,,,,11,11,
1,17,09,Shooting foul committed by Kammeon Holsey.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,2,4,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,13,13,
1,17,09,Amile Jefferson misses free throw 1 of 2.,116520,,true,false,false,Amile,,Jefferson,,Duke,,2,4,1,1,1,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,11,11,
1,17,09,Duke with an offensive rebound.,,,false,false,false,,,,,,,2,4,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,17,09,Amile Jefferson makes free throw 2 of 2.,116520,,true,false,false,Amile,,Jefferson,,Duke,,3,4,1,1,1,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,11,11,
1,16,48,Trae Golden misses a 3-point jump shot from 23 feet out.,97522,,true,false,false,Trae,,Golden,,GaTech,,3,4,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-15.6,17.4,13,13,
1,16,48,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,4,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,16,13,Rasheed Sulaimon makes a 3-point jump shot from 24 feet out. Quinn Cook with the assist.,116519,109412,true,true,false,Rasheed,Quinn,Sulaimon,Cook,Duke,Duke,6,4,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-1.2,24,11,11,
1,15,56,Jason Morris misses a jump shot from 13 feet out.,97036,,true,false,false,Jason,,Morris,,GaTech,,6,4,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-4.2,12.2,13,13,
1,15,56,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,6,4,1,1,1,,,,,1,,,,6,Defensive Rebound,,,,11,11,
1,15,49,Jabari Parker misses a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,4,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,15,49,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,4,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,15,39,Jabari Parker misses a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,4,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,15,39,Marcus Georges-Hunt with a defensive rebound.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,6,4,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,13,13,
1,15,34,Offensive foul committed by Marcus Georges-Hunt.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,6,4,2,1,1,,,,,2,,4,Offensive,8,Foul,,,,13,13,
1,15,34,Marcus Georges-Hunt with a  turnover:,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,6,4,2,1,1,,,,,2,,,,7,Turnover,,,,13,13,
1,15,34,Official TV timeout.,,,false,false,false,,,,,,,6,4,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,11,11,
1,15,23,Andre Dawkins makes a 3-point jump shot from 23 feet out. Amile Jefferson with the assist.,88970,116520,true,true,false,Andre,Amile,Dawkins,Jefferson,Duke,Duke,9,4,2,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,8.2,21.6,11,11,
1,15,10,Quinton Stephens misses a 3-point jump shot from 23 feet out.,120599,,true,false,false,Quinton,,Stephens,,GaTech,,9,4,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-16.9,15.1,13,13,
1,15,10,Andre Dawkins with a defensive rebound.,88970,,true,false,false,Andre,,Dawkins,,Duke,,9,4,2,1,0,,,,,3,,,,6,Defensive Rebound,,,,11,11,
1,15,02,Jabari Parker misses a jump shot from 18 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,9,4,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,17.5,1.4,11,11,
1,15,02,Daniel Miller with a defensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,9,4,2,1,0,,,,,2,,,,6,Defensive Rebound,,,,13,13,
1,14,48,Marcus Georges-Hunt makes a jump shot from 7 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,9,6,2,1,1,,,,,4,2,45,Jump Shot,3,Field Goal Made,7,.1,6.6,13,13,
1,14,19,Jabari Parker makes a dunk shot. Quinn Cook with the assist.,121033,109412,true,true,false,Jabari,Quinn,Parker,Cook,Duke,Duke,11,6,2,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,11,11,
1,14,19,Shooting foul committed by Quinton Stephens.,120599,,true,false,false,Quinton,,Stephens,,GaTech,,11,6,3,1,1,,,,,0,,2,Shooting,8,Foul,,,,13,13,
1,14,19,Jabari Parker makes free throw 1 of 1.,121033,,true,false,false,Jabari,,Parker,,Duke,,12,6,3,1,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,11,11,
1,14,02,Personal foul committed by Tyler Thornton.,97330,,true,false,false,Tyler,,Thornton,,Duke,,12,6,3,2,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,13,49,Chris Bolden makes a 3-point jump shot from 24 feet out. Kammeon Holsey with the assist.,116542,88210,true,true,false,Chris,Kammeon,Bolden,Holsey,GaTech,GaTech,12,9,3,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-9.5,22,13,13,
