half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,22,T.J. Warren misses a 3-point jump shot from 24 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,15.2,19,16,16,
1,19,22,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,19,04,Garrick Sherman misses a hook shot from 4 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,4,-3.5,1.4,46,46,
1,19,04,Desmond Lee with a defensive rebound.,97477,,true,false,false,Desmond,,Lee,,NCSU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,57,Anthony Barber makes a jump shot from 17 feet out. Desmond Lee with the assist.,120606,97477,true,true,false,Anthony,Desmond,Barber,Lee,NCSU,NCSU,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,-15.7,6.7,16,16,
1,18,39,Pat Connaughton misses a jump shot from 3 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,3,-1.4,2.1,46,46,
1,18,39,Jordan Vandenberg with a defensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,04,Anthony Barber makes a jump shot from 19 feet out.,120606,,true,false,false,Anthony,,Barber,,NCSU,,0,4,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,19,-2,18.8,16,16,
1,17,44,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,17,18,T.J. Warren misses a jump shot from 15 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-14.9,1.9,16,16,
1,17,18,Jordan Vandenberg with an offensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,2,4,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,17,15,Jordan Vandenberg misses a tip shot from 3 feet out.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,2,4,0,0,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,3,-2.1,1.9,16,16,
1,17,15,Desmond Lee with an offensive rebound.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,4,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,17,15,Desmond Lee misses a jump shot from 4 feet out.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,4,-2,3,16,16,
1,17,15,Zach Auguste with a defensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,2,4,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,17,08,Eric Atkins makes a jump shot from 8 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,4,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,-7.2,2.8,46,46,
1,17,08,Shooting foul committed by Desmond Lee.,97477,,true,false,false,Desmond,,Lee,,NCSU,,4,4,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,17,08,Eric Atkins makes free throw 1 of 1.,97478,,true,false,false,Eric,,Atkins,,ND,,5,4,1,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,46,46,
1,16,56,Anthony Barber misses a jump shot from 18 feet out.,120606,,true,false,false,Anthony,,Barber,,NCSU,,5,4,1,0,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,18,13,13,16,16,
1,16,56,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,4,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,16,46,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,4,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,16,46,Jordan Vandenberg with a defensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,5,4,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,16,37,Anthony Barber misses a jump shot from 6 feet out.,120606,,true,false,false,Anthony,,Barber,,NCSU,,5,4,1,0,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,6,-5,3,16,16,
1,16,37,NCSU with an offensive rebound.,,,false,false,false,,,,,,,5,4,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,16,25,T.J. Warren with a traveling turnover: Traveling,116007,,true,false,false,T.J.,,Warren,,NCSU,,5,4,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,16,16,
1,16,07,Pat Connaughton misses a 3-point jump shot from 23 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,4,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-18.1,14.5,46,46,
1,16,07,NCSU with a defensive rebound.,,,false,false,false,,,,,,,5,4,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,15,41,Kyle Washington misses a jump shot from 5 feet out.,120608,,true,false,false,Kyle,,Washington,,NCSU,,5,4,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,5,.1,4.8,16,16,
1,15,41,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,4,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,15,36,Eric Atkins misses a 3-point jump shot from 23 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,5,4,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-17,15,46,46,
1,15,36,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,4,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,46,46,
1,15,33,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,7,4,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,15,33,Shooting foul committed by Jordan Vandenberg.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,7,4,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,15,33,Official TV timeout.,,,false,false,false,,,,,,,7,4,2,0,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,15,33,Garrick Sherman makes free throw 1 of 1.,88941,,true,false,false,Garrick,,Sherman,,ND,,8,4,2,0,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,46,46,
1,15,15,Shooting foul committed by Demetrius Jackson.,120755,,true,false,false,Demetrius,,Jackson,,ND,,8,4,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,15,15,Desmond Lee makes free throw 1 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,8,5,2,1,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,16,16,
1,15,15,Desmond Lee makes free throw 2 of 2.,97477,,true,false,false,Desmond,,Lee,,NCSU,,8,6,2,1,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,14,44,Eric Atkins makes a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,10,6,2,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,14,26,Desmond Lee makes a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,10,8,2,1,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,14,02,Garrick Sherman with a traveling turnover: Traveling,88941,,true,false,false,Garrick,,Sherman,,ND,,10,8,2,1,0,,,,,5,,4,Traveling,7,Turnover,,,,46,46,
