half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,48,C.J. Fair misses a 3-point jump shot from 23 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,12.3,20,52,52,
1,19,48,Rakeem Christmas with an offensive rebound.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,19,42,Jerami Grant misses a jump shot from 19 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-8.8,17.1,52,52,
1,19,42,Devin Wilson with a defensive rebound.,120763,,true,false,false,Devin,,Wilson,,VaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,19,24,Joey Van Zegeren misses a hook shot from 6 feet out.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,6,2,5.9,54,54,
1,19,24,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,19,06,Jerami Grant misses a jump shot from 10 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-6.9,7.7,52,52,
1,19,06,Rakeem Christmas with an offensive rebound.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,19,01,Trevor Cooney makes a 3-point jump shot from 24 feet out. Rakeem Christmas with the assist.,110467,110466,true,true,false,Trevor,Rakeem,Cooney,Christmas,Syr,Syr,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-14.9,19,52,52,
1,18,30,Personal foul committed by Rakeem Christmas.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,0,3,1,0,1,,,,,0,,1,Personal,8,Foul,,,,52,52,
1,18,17,Jarell Eddie makes a 3-point jump shot from 26 feet out. Trevor Thompson with the assist.,97464,120766,true,true,false,Jarell,Trevor,Eddie,Thompson,VaTech,VaTech,3,3,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,15,21,54,54,
1,18,00,Trevor Cooney misses a 3-point jump shot from 25 feet out.,110467,,true,false,false,Trevor,,Cooney,,Syr,,3,3,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,25,2.1,24.7,52,52,
1,18,00,Ben Emelogu with a defensive rebound.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,3,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,17,56,Ben Emelogu makes a 3-point jump shot from 24 feet out.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,6,3,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-16.4,17.9,54,54,
1,17,39,Jerami Grant makes a jump shot from 19 feet out. Trevor Cooney with the assist.,116757,110467,true,true,false,Jerami,Trevor,Grant,Cooney,Syr,Syr,6,5,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,6.5,18.3,52,52,
1,17,03,Jarell Eddie misses a 3-point jump shot from 24 feet out.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,6,5,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-4.7,23.5,54,54,
1,17,03,VaTech with an offensive rebound.,,,false,false,false,,,,,,,6,5,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,54,54,
1,16,28,Trevor Thompson makes a layup shot. Joey Van Zegeren with the assist.,120766,110222,true,true,false,Trevor,Joey,Thompson,Van Zegeren,VaTech,VaTech,8,5,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,54,54,
1,16,14,Tyler Ennis makes a jump shot from 13 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,8,7,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,13,-6.2,11.3,52,52,
