half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,42,Joe Harris makes a jump shot from 16 feet out. London Perrantes with the assist.,97108,120610,true,true,false,Joe,London,Harris,Perrantes,UVa,UVa,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,15.7,3.6,17,17,
1,19,21,Shooting foul committed by London Perrantes.,120610,,true,false,false,London,,Perrantes,,UVa,,0,2,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,17,17,
1,19,21,Anthony Barber misses free throw 1 of 2.,120606,,true,false,false,Anthony,,Barber,,NCSU,,0,2,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,16,16,
1,19,21,NCSU with an offensive rebound.,,,false,false,false,,,,,,,0,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,19,21,Anthony Barber makes free throw 2 of 2.,120606,,true,false,false,Anthony,,Barber,,NCSU,,1,2,1,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,19,02,Mike Tobey misses a hook shot from 5 feet out.,116698,,true,false,false,Mike,,Tobey,,UVa,,1,2,1,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,5,-4.5,2.5,17,17,
1,19,02,Desmond Lee with a defensive rebound.,97477,,true,false,false,Desmond,,Lee,,NCSU,,1,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,37,Desmond Lee misses a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,1,2,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,16,16,
1,18,37,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,1,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,18,24,Joe Harris misses a 3-point jump shot from 22 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,1,2,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,22,-21.9,1.9,17,17,
1,18,24,Mike Tobey with an offensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,1,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
