half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,35,James Michael McAdoo makes a jump shot from 9 feet out. Joel James with the assist.,110437,116586,true,true,false,James Michael,Joel,McAdoo,James,UNC,UNC,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,-4,7.7,15,15,
1,19,17,C.J. Fair with a lost ball turnover: Lost Ball,97404,,true,false,false,C.J.,,Fair,,Syr,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,52,52,
1,19,00,J.P. Tokoto makes a jump shot from 17 feet out. James Michael McAdoo with the assist.,116589,110437,true,true,false,J.P.,James Michael,Tokoto,McAdoo,UNC,UNC,0,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,.1,16.6,15,15,
1,18,40,C.J. Fair makes a layup shot. Tyler Ennis with the assist.,97404,121072,true,true,false,C.J.,Tyler,Fair,Ennis,Syr,Syr,2,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,18,15,Marcus Paige with a lost ball turnover: Lost Ball,116587,,true,false,false,Marcus,,Paige,,UNC,,2,4,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,17,53,C.J. Fair with a lost ball turnover: Lost Ball,97404,,true,false,false,C.J.,,Fair,,Syr,,2,4,0,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,52,52,
1,17,36,James Michael McAdoo makes a jump shot from 13 feet out. Marcus Paige with the assist.,110437,116587,true,true,false,James Michael,Marcus,McAdoo,Paige,UNC,UNC,2,6,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,13,2.8,13.2,15,15,
1,17,25,Tyler Ennis with a lost ball turnover: Lost Ball,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,6,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,52,52,
1,17,22,James Michael McAdoo makes a dunk shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,2,8,0,0,0,,,,,6,2,48,Dunk Shot,3,Field Goal Made,0,0,0,15,15,
1,17,04,Jerami Grant misses a jump shot from 8 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,2,8,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-1.6,7.9,52,52,
1,17,04,Syr with an offensive rebound.,,,false,false,false,,,,,,,2,8,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,16,49,Tyler Ennis makes a layup shot.,121072,,true,false,false,Tyler,,Ennis,,Syr,,4,8,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,16,36,James Michael McAdoo misses a jump shot from 10 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,4,8,0,0,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,10,9.6,2.8,15,15,
1,16,36,J.P. Tokoto with an offensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,4,8,0,0,0,,,,,2,,,,5,Offensive Rebound,,,,15,15,
1,16,33,J.P. Tokoto misses a tip shot from 3 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,4,8,0,0,0,,,,,2,2,53,Tip Shot,4,Field Goal Missed,3,.6,3,15,15,
1,16,33,Syr with a defensive rebound.,,,false,false,false,,,,,,,4,8,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,16,07,Personal foul committed by Nate Britt.,121344,,true,false,false,Nate,,Britt,,UNC,,4,8,1,0,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,15,51,Tyler Ennis with a bad pass turnover: Bad Pass,121072,,true,false,false,Tyler,,Ennis,,Syr,,4,8,1,0,0,,,,,2,,1,Bad Pass,7,Turnover,,,,52,52,
1,15,51,Official's timeout.,,,false,false,false,,,,,,,4,8,1,0,0,,,,,0,,4,Official,11,Timeout,,,,52,52,
1,15,24,James Michael McAdoo makes a layup shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,4,10,1,0,0,,,,,8,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,14,57,Shooting foul committed by Kennedy Meeks.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,4,10,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,14,57,C.J. Fair makes free throw 1 of 2.,97404,,true,false,false,C.J.,,Fair,,Syr,,5,10,2,0,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,52,52,
1,14,57,C.J. Fair misses free throw 2 of 2.,97404,,true,false,false,C.J.,,Fair,,Syr,,5,10,2,0,0,,,,,3,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,52,52,
1,14,57,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,5,10,2,0,0,,,,,8,,,,6,Defensive Rebound,,,,15,15,
1,14,43,Kennedy Meeks with a lost ball turnover: Lost Ball,121345,,true,false,false,Kennedy,,Meeks,,UNC,,5,10,2,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,14,24,Jerami Grant makes a jump shot from 19 feet out. Tyler Ennis with the assist.,116757,121072,true,true,false,Jerami,Tyler,Grant,Ennis,Syr,Syr,7,10,2,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,3.5,18.3,52,52,
1,14,08,Leslie McDonald misses a 3-point jump shot from 24 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,7,10,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-15.1,18.1,15,15,
1,14,08,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,7,10,2,0,0,,,,,3,,,,6,Defensive Rebound,,,,52,52,
1,13,57,Michael Gbinije misses a jump shot from 19 feet out.,109414,,true,false,false,Michael,,Gbinije,,Syr,,7,10,2,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-1.4,18.6,52,52,
1,13,57,Baye-Moussa Keita with an offensive rebound.,97403,,true,false,false,Baye-Moussa,,Keita,,Syr,,7,10,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,13,33,Baye-Moussa Keita misses a layup shot.,97403,,true,false,false,Baye-Moussa,,Keita,,Syr,,7,10,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,52,52,
1,13,33,Jerami Grant with an offensive rebound.,116757,,true,false,false,Jerami,,Grant,,Syr,,7,10,2,0,0,,,,,2,,,,5,Offensive Rebound,,,,52,52,
1,13,24,Jerami Grant makes a dunk shot.,116757,,true,false,false,Jerami,,Grant,,Syr,,9,10,2,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,52,52,
1,13,12,Kennedy Meeks misses a layup shot.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,9,10,2,0,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,13,12,Michael Gbinije with a defensive rebound.,109414,,true,false,false,Michael,,Gbinije,,Syr,,9,10,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,13,08,Jerami Grant misses a jump shot from 13 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,9,10,2,0,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,13,-10.1,8.6,52,52,
1,13,08,J.P. Tokoto with a defensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,9,10,2,0,0,,,,,2,,,,6,Defensive Rebound,,,,15,15,
1,13,04,Marcus Paige makes a jump shot from 11 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,9,12,2,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,1.4,11.3,15,15,
