half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,28,Ben Emelogu misses a 3-point jump shot from 24 feet out.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-2,24,54,54,
1,19,28,Joey Van Zegeren with an offensive rebound.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,54,54,
1,19,06,Shooting foul committed by Ryan Anderson.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,42,42,
1,19,06,Devin Wilson makes free throw 1 of 2.,120763,,true,false,false,Devin,,Wilson,,VaTech,,1,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,54,54,
1,19,06,Devin Wilson misses free throw 2 of 2.,120763,,true,false,false,Devin,,Wilson,,VaTech,,1,0,1,0,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,54,54,
1,19,06,Ryan Anderson with a defensive rebound.,110082,,true,false,false,Ryan,,Anderson,,BC,,1,0,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,48,Olivier Hanlan makes a 3-point jump shot from 24 feet out. Ryan Anderson with the assist.,116003,110082,true,true,false,Olivier,Ryan,Hanlan,Anderson,BC,BC,1,3,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,12.5,20,42,42,
1,18,23,Joey Van Zegeren makes a layup shot. Ben Emelogu with the assist.,110222,120764,true,true,false,Joey,Ben,Van Zegeren,Emelogu,VaTech,VaTech,3,3,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,54,54,
1,18,04,Personal foul committed by Ben Emelogu.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,3,3,1,1,1,,,,,0,,1,Personal,8,Foul,,,,54,54,
1,18,02,Ryan Anderson with a bad pass turnover: Bad Pass,110082,,true,false,false,Ryan,,Anderson,,BC,,3,3,1,1,1,,,,,0,,1,Bad Pass,7,Turnover,,,,42,42,
1,17,34,Jarell Eddie makes a jump shot from 12 feet out.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,5,3,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,7.7,9.8,54,54,
1,17,16,Shooting foul committed by Joey Van Zegeren.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,5,3,1,2,1,,,,,2,,2,Shooting,8,Foul,,,,54,54,
1,17,16,Ryan Anderson misses free throw 1 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,5,3,1,2,1,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,42,42,
1,17,16,BC with an offensive rebound.,,,false,false,false,,,,,,,5,3,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,17,16,Ryan Anderson misses free throw 2 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,5,3,1,2,1,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,42,42,
1,17,16,C.J. Barksdale with a defensive rebound.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,5,3,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,17,12,Ben Emelogu misses a layup shot.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,5,3,1,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,54,54,
1,17,12,Olivier Hanlan with a defensive rebound.,116003,,true,false,false,Olivier,,Hanlan,,BC,,5,3,1,2,0,,,,,3,,,,6,Defensive Rebound,,,,42,42,
1,17,00,Eddie Odio misses a 3-point jump shot from 22 feet out.,110078,,true,false,false,Eddie,,Odio,,BC,,5,3,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-20.3,8.2,42,42,
1,17,00,Ben Emelogu with a defensive rebound.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,5,3,1,2,1,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,16,45,Ben Emelogu misses a layup shot.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,5,3,1,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,54,54,
1,16,45,Devin Wilson with an offensive rebound.,120763,,true,false,false,Devin,,Wilson,,VaTech,,5,3,1,2,0,,,,,1,,,,5,Offensive Rebound,,,,54,54,
1,16,19,Jarell Eddie with a traveling turnover: Traveling,97464,,true,false,false,Jarell,,Eddie,,VaTech,,5,3,1,2,0,,,,,2,,4,Traveling,7,Turnover,,,,54,54,
1,15,55,Olivier Hanlan misses a 3-point jump shot from 23 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,5,3,1,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-19.8,11.6,42,42,
1,15,55,Jarell Eddie with a defensive rebound.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,5,3,1,2,0,,,,,2,,,,6,Defensive Rebound,,,,54,54,
1,15,44,Jarell Eddie misses a jump shot from 13 feet out.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,5,3,1,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,13,13,3,54,54,
1,15,44,Ryan Anderson with a defensive rebound.,110082,,true,false,false,Ryan,,Anderson,,BC,,5,3,1,2,1,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,15,31,Lonnie Jackson makes a layup shot.,110084,,true,false,false,Lonnie,,Jackson,,BC,,5,5,1,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,42,42,
1,15,10,Adam Smith misses a jump shot from 10 feet out.,110601,,true,false,false,Adam,,Smith,,VaTech,,5,5,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-9,3,54,54,
1,15,10,C.J. Barksdale with an offensive rebound.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,5,5,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,54,54,
1,15,10,C.J. Barksdale misses a tip shot from 6 feet out.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,5,5,1,2,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,6,5,1,54,54,
1,15,10,Ryan Anderson with a defensive rebound.,110082,,true,false,false,Ryan,,Anderson,,BC,,5,5,1,2,1,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,14,50,Lonnie Jackson makes a 3-point jump shot from 24 feet out. Dennis Clifford with the assist.,110084,110085,true,true,false,Lonnie,Dennis,Jackson,Clifford,BC,BC,5,8,1,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,20.3,12.7,42,42,
1,14,31,Shooting foul committed by Dennis Clifford.,110085,,true,false,false,Dennis,,Clifford,,BC,,5,8,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,42,42,
1,14,31,Official TV timeout.,,,false,false,false,,,,,,,5,8,2,2,0,,,,,0,,3,Official TV,11,Timeout,,,,54,54,
1,14,31,Trevor Thompson makes free throw 1 of 2.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,6,8,2,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,54,54,
1,14,31,Trevor Thompson makes free throw 2 of 2.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,7,8,2,2,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,54,54,
1,14,14,Patrick Heckmann misses a 3-point jump shot from 22 feet out.,110086,,true,false,false,Patrick,,Heckmann,,BC,,7,8,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,21.7,2.1,42,42,
1,14,14,Lonnie Jackson with an offensive rebound.,110084,,true,false,false,Lonnie,,Jackson,,BC,,7,8,2,2,0,,,,,5,,,,5,Offensive Rebound,,,,42,42,
1,14,09,Lonnie Jackson misses a layup shot.,110084,,true,false,false,Lonnie,,Jackson,,BC,,7,8,2,2,0,,,,,5,2,40,Layup Shot,4,Field Goal Missed,0,0,0,42,42,
1,14,09,Lonnie Jackson with an offensive rebound.,110084,,true,false,false,Lonnie,,Jackson,,BC,,7,8,2,2,0,,,,,5,,,,5,Offensive Rebound,,,,42,42,
1,13,56,Olivier Hanlan with a bad pass turnover: Bad Pass,116003,,true,false,false,Olivier,,Hanlan,,BC,,7,8,2,2,0,,,,,3,,1,Bad Pass,7,Turnover,,,,42,42,
1,13,34,Devin Wilson makes a 3-point jump shot from 23 feet out.,120763,,true,false,false,Devin,,Wilson,,VaTech,,10,8,2,2,0,,,,,4,3,45,Jump Shot,3,Field Goal Made,23,13.5,19.1,54,54,
1,13,23,Olivier Hanlan makes a layup shot.,116003,,true,false,false,Olivier,,Hanlan,,BC,,10,10,2,2,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,42,42,
1,13,17,Shooting foul committed by Olivier Hanlan.,116003,,true,false,false,Olivier,,Hanlan,,BC,,10,10,3,2,1,,,,,5,,2,Shooting,8,Foul,,,,42,42,
1,13,17,Devin Wilson misses free throw 1 of 2.,120763,,true,false,false,Devin,,Wilson,,VaTech,,10,10,3,2,0,,,,,4,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,54,54,
1,13,17,VaTech with an offensive rebound.,,,false,false,false,,,,,,,10,10,3,2,0,,,,,0,,,,5,Offensive Rebound,,,,54,54,
1,13,17,Devin Wilson misses free throw 2 of 2.,120763,,true,false,false,Devin,,Wilson,,VaTech,,10,10,3,2,0,,,,,4,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,54,54,
1,13,17,BC with a defensive rebound.,,,false,false,false,,,,,,,10,10,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,12,57,Eddie Odio with a traveling turnover: Traveling,110078,,true,false,false,Eddie,,Odio,,BC,,10,10,3,2,0,,,,,0,,4,Traveling,7,Turnover,,,,42,42,
1,12,42,Devin Wilson misses a layup shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,10,10,3,2,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,54,54,
1,12,42,BC with a defensive rebound.,,,false,false,false,,,,,,,10,10,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,12,34,Lonnie Jackson makes a 3-point jump shot from 24 feet out. Joe Rahon with the assist.,110084,116004,true,true,false,Lonnie,Joe,Jackson,Rahon,BC,BC,10,13,3,2,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,24,-4,24,42,42,
1,12,08,Adam Smith makes a 3-point jump shot from 24 feet out. Devin Wilson with the assist.,110601,120763,true,true,false,Adam,Devin,Smith,Wilson,VaTech,VaTech,13,13,3,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,.1,24.2,54,54,
1,11,54,Ryan Anderson makes a hook shot from 7 feet out. Patrick Heckmann with the assist.,110082,110086,true,true,false,Ryan,Patrick,Anderson,Heckmann,BC,BC,13,15,3,2,1,,,,,2,2,55,Hook Shot,3,Field Goal Made,7,6.5,2.8,42,42,
1,11,39,Adam Smith misses a 3-point jump shot from 24 feet out.,110601,,true,false,false,Adam,,Smith,,VaTech,,13,15,3,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-9.4,21.8,54,54,
1,11,39,Ryan Anderson with a defensive rebound.,110082,,true,false,false,Ryan,,Anderson,,BC,,13,15,3,2,1,,,,,2,,,,6,Defensive Rebound,,,,42,42,
1,11,26,Lonnie Jackson makes a 3-point jump shot from 24 feet out. Joe Rahon with the assist.,110084,116004,true,true,false,Lonnie,Joe,Jackson,Rahon,BC,BC,13,18,3,2,0,,,,,11,3,45,Jump Shot,3,Field Goal Made,24,-14,20,42,42,
1,11,25,VaTech take a 20-second timeout.,,,false,false,false,,,,,,,13,18,3,2,0,,,,,0,,2,Short,11,Timeout,,,,54,54,
