half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,34,Shooting foul committed by Jerami Grant.,116757,,true,false,false,Jerami,,Grant,,Syr,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,52,52,
1,19,34,Michael Young makes free throw 1 of 2.,120761,,true,false,false,Michael,,Young,,Pitt,,0,1,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,19,34,Michael Young misses free throw 2 of 2.,120761,,true,false,false,Michael,,Young,,Pitt,,0,1,0,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,47,47,
1,19,34,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,1,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,19,00,Jerami Grant misses a 3-point jump shot from 25 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,0,1,0,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,10.8,22.5,52,52,
1,19,00,Cameron Wright with a defensive rebound.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,1,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,18,51,James Robinson makes a jump shot from 8 feet out. Lamar Patterson with the assist.,116087,88282,true,true,false,James,Lamar,Robinson,Patterson,Pitt,Pitt,0,3,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,0,8,47,47,
1,18,27,Tyler Ennis with a lost ball turnover: Lost Ball,121072,,true,false,false,Tyler,,Ennis,,Syr,,0,3,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,52,52,
1,18,02,Lamar Patterson misses a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,3,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,18,02,Michael Young with an offensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,0,3,0,1,0,,,,,1,,,,5,Offensive Rebound,,,,47,47,
1,17,57,Michael Young misses a layup shot.,120761,,true,false,false,Michael,,Young,,Pitt,,0,3,0,1,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,17,57,Tyler Ennis with a defensive rebound.,121072,,true,false,false,Tyler,,Ennis,,Syr,,0,3,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,17,47,Jerami Grant makes a layup shot.,116757,,true,false,false,Jerami,,Grant,,Syr,,2,3,0,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
