half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,47,James Michael McAdoo makes a jump shot from 16 feet out. J.P. Tokoto with the assist.,110437,116589,true,true,false,James Michael,J.P.,McAdoo,Tokoto,UNC,UNC,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,15,3,15,15,
1,19,15,Ryan Anderson makes a dunk shot. Eddie Odio with the assist.,110082,110078,true,true,false,Ryan,Eddie,Anderson,Odio,BC,BC,2,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,42,42,
1,18,55,Leslie McDonald misses a layup shot.,88220,,true,false,false,Leslie,,McDonald,,UNC,,2,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,18,55,Joe Rahon with a defensive rebound.,116004,,true,false,false,Joe,,Rahon,,BC,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,20,Joe Rahon misses a jump shot from 10 feet out.,116004,,true,false,false,Joe,,Rahon,,BC,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,2.8,9.4,42,42,
1,18,20,J.P. Tokoto with a defensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,18,13,James Michael McAdoo makes a layup shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,4,2,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,18,13,Shooting foul committed by Ryan Anderson.,110082,,true,false,false,Ryan,,Anderson,,BC,,4,2,1,0,1,,,,,2,,2,Shooting,8,Foul,,,,42,42,
1,18,13,James Michael McAdoo misses free throw 1 of 1.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,4,2,1,0,0,,,,,4,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,15,15,
1,18,13,Marcus Paige with an offensive rebound.,116587,,true,false,false,Marcus,,Paige,,UNC,,4,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,18,05,J.P. Tokoto with a lost ball turnover: Lost Ball,116589,,true,false,false,J.P.,,Tokoto,,UNC,,4,2,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
