half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,43,Joe Harris misses a jump shot from 12 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-8.6,8.7,17,17,
1,19,43,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,19,18,Devon Bookert makes a 3-point jump shot from 24 feet out. Montay Brandon with the assist.,116526,116527,true,true,false,Devon,Montay,Bookert,Brandon,FlaSt,FlaSt,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-20.3,13.3,12,12,
1,18,57,Akil Mitchell misses a jump shot from 17 feet out.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,6.9,15.2,17,17,
1,18,57,London Perrantes with an offensive rebound.,120610,,true,false,false,London,,Perrantes,,UVa,,0,3,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,18,35,Malcolm Brogdon misses a jump shot from 14 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,13.9,1.6,17,17,
1,18,35,Mike Tobey with an offensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,0,3,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,18,20,Mike Tobey makes a layup shot. Joe Harris with the assist.,116698,97108,true,true,false,Mike,Joe,Tobey,Harris,UVa,UVa,2,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,17,39,Boris Bojanovsky misses a jump shot from 9 feet out.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,2,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,-7.9,3.8,12,12,
1,17,39,UVa with a defensive rebound.,,,false,false,false,,,,,,,2,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,17,38,Personal foul committed by Boris Bojanovsky.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,2,3,1,0,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,17,24,Malcolm Brogdon makes a 3-point jump shot from 24 feet out. London Perrantes with the assist.,109418,120610,true,true,false,Malcolm,London,Brogdon,Perrantes,UVa,UVa,5,3,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-18.3,15.4,17,17,
1,17,04,Michael Ojo with a bad pass turnover: Bad Pass,116530,,true,false,false,Michael,,Ojo,,FlaSt,,5,3,1,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,12,12,
1,16,51,Malcolm Brogdon misses a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,5,3,1,0,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,16,51,UVa with an offensive rebound.,,,false,false,false,,,,,,,5,3,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,16,34,Akil Mitchell makes a layup shot. Joe Harris with the assist.,97111,97108,true,true,false,Akil,Joe,Mitchell,Harris,UVa,UVa,7,3,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,16,24,Ian Miller with a traveling turnover: Traveling,97446,,true,false,false,Ian,,Miller,,FlaSt,,7,3,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,12,12,
1,16,03,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,9,3,1,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,15,40,FlaSt take a 20-second timeout.,,,false,false,false,,,,,,,9,3,1,0,0,,,,,0,,2,Short,11,Timeout,,,,12,12,
1,15,28,Michael Ojo misses a layup shot.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,9,3,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,15,28,Mike Tobey with a defensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,9,3,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,17,17,
1,15,11,London Perrantes misses a 3-point jump shot from 25 feet out.,120610,,true,false,false,London,,Perrantes,,UVa,,9,3,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,14.4,20.7,17,17,
1,15,11,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,9,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,15,00,Aaron Thomas misses a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,9,3,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,15,00,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,9,3,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,17,17,
1,14,48,Shooting foul committed by Michael Ojo.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,9,3,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,14,48,Official TV timeout.,,,false,false,false,,,,,,,9,3,2,0,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,14,48,London Perrantes makes free throw 1 of 2.,120610,,true,false,false,London,,Perrantes,,UVa,,10,3,2,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,14,48,London Perrantes makes free throw 2 of 2.,120610,,true,false,false,London,,Perrantes,,UVa,,11,3,2,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,17,17,
1,14,33,Ian Miller misses a 3-point jump shot from 24 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,11,3,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-17.1,16.9,12,12,
1,14,33,Malcolm Brogdon with a defensive rebound.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,11,3,2,0,0,,,,,5,,,,6,Defensive Rebound,,,,17,17,
1,14,15,Justin Anderson makes a 3-point jump shot from 24 feet out. Malcolm Brogdon with the assist.,116701,109418,true,true,false,Justin,Malcolm,Anderson,Brogdon,UVa,UVa,14,3,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,17.8,16.4,17,17,
1,13,46,Offensive foul committed by Montay Brandon.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,14,3,3,0,1,,,,,0,,4,Offensive,8,Foul,,,,12,12,
1,13,46,Montay Brandon with a  turnover:,116527,,true,false,false,Montay,,Brandon,,FlaSt,,14,3,3,0,1,,,,,0,,,,7,Turnover,,,,12,12,
1,13,26,Offensive foul committed by Justin Anderson.,116701,,true,false,false,Justin,,Anderson,,UVa,,14,3,3,1,1,,,,,3,,4,Offensive,8,Foul,,,,17,17,
1,13,26,Justin Anderson with a  turnover:,116701,,true,false,false,Justin,,Anderson,,UVa,,14,3,3,1,1,,,,,3,,,,7,Turnover,,,,17,17,
1,13,02,Okaro White makes a layup shot. Aaron Thomas with the assist.,97445,116531,true,true,false,Okaro,Aaron,White,Thomas,FlaSt,FlaSt,14,5,3,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,12,26,Mike Tobey misses a layup shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,14,5,3,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,12,26,Anthony Gill with an offensive rebound.,109947,,true,false,false,Anthony,,Gill,,UVa,,14,5,3,1,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,12,21,Personal foul committed by Okaro White.,97445,,true,false,false,Okaro,,White,,FlaSt,,14,5,4,1,1,,,,,2,,1,Personal,8,Foul,,,,12,12,
1,12,21,Anthony Gill misses free throw 1 of 2.,109947,,true,false,false,Anthony,,Gill,,UVa,,14,5,4,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,17,17,
1,12,21,UVa with an offensive rebound.,,,false,false,false,,,,,,,14,5,4,1,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,12,21,Anthony Gill makes free throw 2 of 2.,109947,,true,false,false,Anthony,,Gill,,UVa,,15,5,4,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,17,17,
1,12,08,Aaron Thomas misses a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,15,5,4,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,12,08,Boris Bojanovsky with an offensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,15,5,4,1,1,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,12,00,Boris Bojanovsky misses a layup shot.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,15,5,4,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,12,00,Ian Miller with an offensive rebound.,97446,,true,false,false,Ian,,Miller,,FlaSt,,15,5,4,1,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,11,55,Ian Miller makes a 3-point layup shot from 24 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,15,8,4,1,0,,,,,3,3,40,Layup Shot,3,Field Goal Made,24,-21,11,12,12,
1,11,38,Justin Anderson makes a jump shot from 18 feet out. Mike Tobey with the assist.,116701,116698,true,true,false,Justin,Mike,Anderson,Tobey,UVa,UVa,17,8,4,1,1,,,,,5,2,45,Jump Shot,3,Field Goal Made,18,13,12,17,17,
1,11,15,Devon Bookert misses a layup shot.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,17,8,4,1,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,11,15,Anthony Gill with a defensive rebound.,109947,,true,false,false,Anthony,,Gill,,UVa,,17,8,4,1,0,,,,,1,,,,6,Defensive Rebound,,,,17,17,
1,11,07,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,19,8,4,1,0,,,,,7,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,11,07,Shooting foul committed by Boris Bojanovsky.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,19,8,5,1,2,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,11,07,Official TV timeout.,,,false,false,false,,,,,,,19,8,5,1,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,11,07,Malcolm Brogdon makes free throw 1 of 1.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,20,8,5,1,0,,,,,8,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,17,17,
1,10,58,Ian Miller with a lost ball turnover: Lost Ball,97446,,true,false,false,Ian,,Miller,,FlaSt,,20,8,5,1,0,,,,,3,,2,Lost Ball,7,Turnover,,,,12,12,
1,10,54,Anthony Gill makes a dunk shot. Malcolm Brogdon with the assist.,109947,109418,true,true,false,Anthony,Malcolm,Gill,Brogdon,UVa,UVa,22,8,5,1,0,,,,,3,2,48,Dunk Shot,3,Field Goal Made,0,0,0,17,17,
1,10,12,Personal foul committed by Mike Tobey.,116698,,true,false,false,Mike,,Tobey,,UVa,,22,8,5,2,1,,,,,2,,1,Personal,8,Foul,,,,17,17,
1,10,12,Michael Ojo misses free throw 1 of 2.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,22,8,5,2,1,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,12,12,
1,10,12,FlaSt with an offensive rebound.,,,false,false,false,,,,,,,22,8,5,2,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,10,12,Michael Ojo makes free throw 2 of 2.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,22,9,5,2,1,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,12,12,
1,10,02,Joe Harris makes a 3-point jump shot from 25 feet out. Malcolm Brogdon with the assist.,97108,109418,true,true,false,Joe,Malcolm,Harris,Brogdon,UVa,UVa,25,9,5,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,20,15,17,17,
1,9,40,Personal foul committed by Anthony Gill.,109947,,true,false,false,Anthony,,Gill,,UVa,,25,9,5,3,1,,,,,3,,1,Personal,8,Foul,,,,17,17,
1,9,32,Aaron Thomas makes a jump shot from 10 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,25,11,5,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,-5.7,8.2,12,12,
1,9,09,Personal foul committed by Devon Bookert.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,25,11,6,3,1,,,,,3,,1,Personal,8,Foul,,,,12,12,
1,8,52,Malcolm Brogdon with a lost ball turnover: Lost Ball,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,25,11,6,3,0,,,,,8,,2,Lost Ball,7,Turnover,,,,17,17,
1,8,34,Montay Brandon misses a jump shot from 16 feet out.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,25,11,6,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-8.6,14,12,12,
1,8,34,FlaSt with an offensive rebound.,,,false,false,false,,,,,,,25,11,6,3,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,8,28,Personal foul committed by Akil Mitchell.,97111,,true,false,false,Akil,,Mitchell,,UVa,,25,11,6,4,1,,,,,2,,1,Personal,8,Foul,,,,17,17,
1,8,24,Devon Bookert misses a jump shot from 13 feet out.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,25,11,6,4,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,13,-11.1,6.2,12,12,
1,8,24,Malcolm Brogdon with a defensive rebound.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,25,11,6,4,0,,,,,8,,,,6,Defensive Rebound,,,,17,17,
1,8,08,Justin Anderson makes a 3-point jump shot from 24 feet out. Malcolm Brogdon with the assist.,116701,109418,true,true,false,Justin,Malcolm,Anderson,Brogdon,UVa,UVa,28,11,6,4,1,,,,,8,3,45,Jump Shot,3,Field Goal Made,24,18.6,14.5,17,17,
1,7,48,Michael Ojo makes a layup shot. Aaron Thomas with the assist.,116530,116531,true,true,false,Michael,Aaron,Ojo,Thomas,FlaSt,FlaSt,28,13,6,4,1,,,,,3,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,7,38,Akil Mitchell misses a layup shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,28,13,6,4,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,7,38,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,28,13,6,4,1,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,7,26,Okaro White makes a dunk shot. Devon Bookert with the assist.,97445,116526,true,true,false,Okaro,Devon,White,Bookert,FlaSt,FlaSt,28,15,6,4,1,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,12,12,
1,7,13,Justin Anderson misses a layup shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,28,15,6,4,1,,,,,8,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,7,13,Akil Mitchell with an offensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,28,15,6,4,1,,,,,2,,,,5,Offensive Rebound,,,,17,17,
1,7,13,Akil Mitchell misses a layup shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,28,15,6,4,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,7,13,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,28,15,6,4,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,7,06,Aaron Thomas with a lost ball turnover: Lost Ball,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,28,15,6,4,0,,,,,2,,2,Lost Ball,7,Turnover,,,,12,12,
1,7,02,Mike Tobey makes a dunk shot. Malcolm Brogdon with the assist.,116698,109418,true,true,false,Mike,Malcolm,Tobey,Brogdon,UVa,UVa,30,15,6,4,1,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,17,17,
