half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,49,Garrick Sherman makes a jump shot from 9 feet out. Eric Atkins with the assist.,88941,97478,true,true,false,Garrick,Eric,Sherman,Atkins,ND,ND,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,3.8,7.7,46,46,
1,19,24,Joey Van Zegeren makes a jump shot from 18 feet out. Devin Wilson with the assist.,110222,120763,true,true,false,Joey,Devin,Van Zegeren,Wilson,VaTech,VaTech,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,14.4,11,54,54,
1,19,07,Pat Connaughton misses a jump shot from 10 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,8.9,3.3,46,46,
1,19,07,ND with an offensive rebound.,,,false,false,false,,,,,,,2,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,18,59,Eric Atkins misses a jump shot from 9 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,6.2,5.9,46,46,
1,18,59,Pat Connaughton with an offensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,18,50,Garrick Sherman misses a jump shot from 9 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,9,7.1,5.7,46,46,
1,18,50,Devin Wilson with a defensive rebound.,120763,,true,false,false,Devin,,Wilson,,VaTech,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,18,40,Offensive foul committed by C.J. Barksdale.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,2,2,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,54,54,
1,18,40,C.J. Barksdale with a  turnover:,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,2,2,1,0,1,,,,,0,,,,7,Turnover,,,,54,54,
1,18,30,Demetrius Jackson makes a 3-point jump shot from 25 feet out.,120755,,true,false,false,Demetrius,,Jackson,,ND,,5,2,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,12.3,21.8,46,46,
1,18,00,C.J. Barksdale makes a 3-point jump shot from 24 feet out. Adam Smith with the assist.,110226,110601,true,true,false,C.J.,Adam,Barksdale,Smith,VaTech,VaTech,5,5,1,0,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-22,10.1,54,54,
1,17,38,Garrick Sherman misses a jump shot from 8 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,5,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,6.5,4.3,46,46,
1,17,38,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,5,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,46,46,
1,17,32,Garrick Sherman with a lost ball turnover: Lost Ball,88941,,true,false,false,Garrick,,Sherman,,ND,,5,5,1,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,46,46,
1,17,26,Joey Van Zegeren with a traveling turnover: Traveling,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,5,5,1,0,0,,,,,2,,4,Traveling,7,Turnover,,,,54,54,
1,17,09,Austin Burgett misses a 3-point jump shot from 26 feet out.,116593,,true,false,false,Austin,,Burgett,,ND,,5,5,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-15.6,21.2,46,46,
1,17,09,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,5,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,46,46,
1,17,07,Garrick Sherman with a traveling turnover: Traveling,88941,,true,false,false,Garrick,,Sherman,,ND,,5,5,1,0,0,,,,,2,,4,Traveling,7,Turnover,,,,46,46,
1,16,49,Adam Smith misses a 3-point jump shot from 25 feet out.,110601,,true,false,false,Adam,,Smith,,VaTech,,5,5,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-6.5,24.2,54,54,
1,16,49,Eric Atkins with a defensive rebound.,97478,,true,false,false,Eric,,Atkins,,ND,,5,5,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,16,46,Shooting foul committed by Adam Smith.,110601,,true,false,false,Adam,,Smith,,VaTech,,5,5,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,54,54,
1,16,46,Eric Atkins misses free throw 1 of 1.,97478,,true,false,false,Eric,,Atkins,,ND,,5,5,2,0,0,,,,,0,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,46,46,
1,16,46,ND with an offensive rebound.,,,false,false,false,,,,,,,5,5,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,16,45,Eric Atkins makes free throw 2 of 2.,97478,,true,false,false,Eric,,Atkins,,ND,,6,5,2,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,16,13,VaTech with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,6,5,2,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,54,54,
1,15,51,Personal foul committed by Christian Beyer.,110225,,true,false,false,Christian,,Beyer,,VaTech,,6,5,3,0,1,,,,,0,,1,Personal,8,Foul,,,,54,54,
1,15,37,Eric Atkins misses a 3-point jump shot from 26 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,6,5,3,0,0,,,,,1,3,45,Jump Shot,4,Field Goal Missed,26,-17.3,19.8,46,46,
1,15,37,VaTech with a defensive rebound.,,,false,false,false,,,,,,,6,5,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,15,23,C.J. Barksdale makes a jump shot from 16 feet out. Devin Wilson with the assist.,110226,120763,true,true,false,C.J.,Devin,Barksdale,Wilson,VaTech,VaTech,6,7,3,0,1,,,,,5,2,45,Jump Shot,3,Field Goal Made,16,10.8,11.6,54,54,
1,15,05,Garrick Sherman makes a jump shot from 8 feet out. Austin Burgett with the assist.,88941,116593,true,true,false,Garrick,Austin,Sherman,Burgett,ND,ND,8,7,3,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,8,7.6,2.3,46,46,
