half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,41,Leslie McDonald misses a 3-point jump shot from 26 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,16.4,19.8,15,15,
1,19,41,Marcus Paige with an offensive rebound.,116587,,true,false,false,Marcus,,Paige,,UNC,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,19,35,Leslie McDonald misses a 3-point jump shot from 24 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-18.5,15.2,15,15,
1,19,35,Joel James with an offensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,19,29,Leslie McDonald makes a layup shot. Joel James with the assist.,88220,116586,true,true,false,Leslie,Joel,McDonald,James,UNC,UNC,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,19,05,Joe Harris makes a 3-point jump shot from 23 feet out. London Perrantes with the assist.,97108,120610,true,true,false,Joe,London,Harris,Perrantes,UVa,UVa,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,19,13.3,17,17,
1,18,45,Personal foul committed by London Perrantes.,120610,,true,false,false,London,,Perrantes,,UVa,,3,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,18,28,J.P. Tokoto makes a 3-point jump shot from 23 feet out. Marcus Paige with the assist.,116589,116587,true,true,false,J.P.,Marcus,Tokoto,Paige,UNC,UNC,3,5,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.7,-.8,15,15,
1,18,01,Mike Tobey misses a layup shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,3,5,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,18,01,Joel James with a defensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,3,5,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,17,43,James Michael McAdoo makes a jump shot from 17 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,3,7,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,-12.8,11.8,15,15,
1,17,29,Personal foul committed by Marcus Paige.,116587,,true,false,false,Marcus,,Paige,,UNC,,3,7,1,1,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,17,24,Joe Harris makes a 3-point jump shot from 23 feet out. London Perrantes with the assist.,97108,120610,true,true,false,Joe,London,Harris,Perrantes,UVa,UVa,6,7,1,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,14.2,18.4,17,17,
1,17,04,Joel James with a out of bounds turnover: Out of Bounds,116586,,true,false,false,Joel,,James,,UNC,,6,7,1,1,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,15,15,
