half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,33,Boris Bojanovsky misses a layup shot.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,19,33,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,19,22,Austin Burgett makes a 3-point jump shot from 23 feet out. Eric Atkins with the assist.,116593,97478,true,true,false,Austin,Eric,Burgett,Atkins,ND,ND,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,21.3,7.7,46,46,
1,19,08,Aaron Thomas makes a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,2,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,18,44,Pat Connaughton misses a 3-point jump shot from 22 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,20.8,6.7,46,46,
1,18,44,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,2,3,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,18,18,Boris Bojanovsky with a lost ball turnover: Lost Ball,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,2,3,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,18,08,Eric Atkins misses a jump shot from 16 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,2,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-8.6,13.2,46,46,
1,18,08,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,3,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,18,00,Shooting foul committed by Devon Bookert.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,2,3,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,18,00,Pat Connaughton makes free throw 1 of 2.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,4,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,46,46,
1,18,00,Pat Connaughton makes free throw 2 of 2.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,5,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,17,42,Boris Bojanovsky makes a jump shot from 7 feet out.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,4,5,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,1.1,6.9,12,12,
1,17,14,Pat Connaughton misses a jump shot from 8 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,4,5,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,.6,8.4,46,46,
1,17,14,Boris Bojanovsky with a defensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,4,5,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,17,05,Aaron Thomas misses a jump shot from 15 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,4,5,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,15,-14.4,5.2,12,12,
1,17,05,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,4,5,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,16,35,Offensive foul committed by Garrick Sherman.,88941,,true,false,false,Garrick,,Sherman,,ND,,4,5,1,1,1,,,,,0,,4,Offensive,8,Foul,,,,46,46,
1,16,35,Garrick Sherman with a  turnover:,88941,,true,false,false,Garrick,,Sherman,,ND,,4,5,1,1,1,,,,,0,,,,7,Turnover,,,,46,46,
1,16,13,Michael Ojo makes a hook shot from 7 feet out.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,6,5,1,1,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,7,-.3,7.2,12,12,
1,15,52,Garrick Sherman makes a layup shot. Eric Atkins with the assist.,88941,97478,true,true,false,Garrick,Eric,Sherman,Atkins,ND,ND,6,7,1,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,15,25,Michael Ojo misses a layup shot.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,6,7,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,15,25,Okaro White with an offensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,6,7,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,15,23,Okaro White makes a tip shot.,97445,,true,false,false,Okaro,,White,,FlaSt,,8,7,1,1,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,0,0,0,12,12,
1,14,56,Pat Connaughton makes a 3-point jump shot from 24 feet out. Eric Atkins with the assist.,109491,97478,true,true,false,Pat,Eric,Connaughton,Atkins,ND,ND,8,10,1,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,-15.2,18.1,46,46,
1,14,34,Devon Bookert makes a 3-point jump shot from 23 feet out. Aaron Thomas with the assist.,116526,116531,true,true,false,Devon,Aaron,Bookert,Thomas,FlaSt,FlaSt,11,10,1,1,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-7.7,21.7,12,12,
1,14,07,Garrick Sherman misses a jump shot from 8 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,11,10,1,1,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,.3,7.7,46,46,
1,14,07,Eric Atkins with an offensive rebound.,97478,,true,false,false,Eric,,Atkins,,ND,,11,10,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,14,03,Shooting foul committed by Michael Ojo.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,11,10,1,2,1,,,,,2,,2,Shooting,8,Foul,,,,12,12,
1,14,03,Official TV timeout.,,,false,false,false,,,,,,,11,10,1,2,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,14,03,Eric Atkins makes free throw 1 of 2.,97478,,true,false,false,Eric,,Atkins,,ND,,11,11,1,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,46,46,
1,14,03,Eric Atkins makes free throw 2 of 2.,97478,,true,false,false,Eric,,Atkins,,ND,,11,12,1,2,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,13,42,Aaron Thomas makes a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,13,12,1,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,13,03,Pat Connaughton misses a 3-point jump shot from 22 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,13,12,1,2,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,22,22.2,2.3,46,46,
1,13,03,Boris Bojanovsky with a defensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,13,12,1,2,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,12,57,Personal foul committed by Pat Connaughton.,109491,,true,false,false,Pat,,Connaughton,,ND,,13,12,2,2,1,,,,,5,,1,Personal,8,Foul,,,,46,46,
1,12,45,Okaro White misses a 3-point jump shot from 23 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,13,12,2,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-22.4,4.2,12,12,
1,12,45,Steve Vasturia with a defensive rebound.,120756,,true,false,false,Steve,,Vasturia,,ND,,13,12,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,12,24,Pat Connaughton misses a 3-point jump shot from 24 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,13,12,2,2,1,,,,,5,3,45,Jump Shot,4,Field Goal Missed,24,12.3,20.5,46,46,
1,12,24,Boris Bojanovsky with a defensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,13,12,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,12,14,Ian Miller makes a 3-point jump shot from 24 feet out. Devon Bookert with the assist.,97446,116526,true,true,false,Ian,Devon,Miller,Bookert,FlaSt,FlaSt,16,12,2,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,18,16,12,12,
1,11,51,Steve Vasturia misses a 3-point jump shot from 23 feet out.,120756,,true,false,false,Steve,,Vasturia,,ND,,16,12,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19.8,12.5,46,46,
1,11,51,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,16,12,2,2,1,,,,,2,,,,5,Offensive Rebound,,,,46,46,
1,11,43,Zach Auguste misses a hook shot from 8 feet out.,116591,,true,false,false,Zach,,Auguste,,ND,,16,12,2,2,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,8,2.1,7.4,46,46,
1,11,43,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,16,12,2,2,1,,,,,2,,,,5,Offensive Rebound,,,,46,46,
1,11,42,Garrick Sherman makes a tip shot from 3 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,16,14,2,2,1,,,,,4,2,53,Tip Shot,3,Field Goal Made,3,-.6,2.8,46,46,
1,11,22,Shooting foul committed by Zach Auguste.,116591,,true,false,false,Zach,,Auguste,,ND,,16,14,3,2,1,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,11,22,Official TV timeout.,,,false,false,false,,,,,,,16,14,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,11,22,Okaro White makes free throw 1 of 2.,97445,,true,false,false,Okaro,,White,,FlaSt,,17,14,3,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,12,12,
1,11,22,Okaro White makes free throw 2 of 2.,97445,,true,false,false,Okaro,,White,,FlaSt,,18,14,3,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,12,12,
1,10,42,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,18,14,3,2,1,,,,,5,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,10,42,Pat Connaughton with an offensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,18,14,3,2,1,,,,,5,,,,5,Offensive Rebound,,,,46,46,
1,10,40,Steve Vasturia misses a 3-point jump shot from 23 feet out.,120756,,true,false,false,Steve,,Vasturia,,ND,,18,14,3,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,4,23,46,46,
1,10,40,Pat Connaughton with an offensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,18,14,3,2,1,,,,,5,,,,5,Offensive Rebound,,,,46,46,
1,10,39,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,18,14,3,2,1,,,,,5,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,10,39,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,18,14,3,2,0,,,,,4,,,,6,Defensive Rebound,,,,12,12,
1,10,29,Aaron Thomas makes a 3-point jump shot from 24 feet out. Devon Bookert with the assist.,116531,116526,true,true,false,Aaron,Devon,Thomas,Bookert,FlaSt,FlaSt,21,14,3,2,0,,,,,7,3,45,Jump Shot,3,Field Goal Made,24,-12.8,20.5,12,12,
1,10,25,ND take a 20-second timeout.,,,false,false,false,,,,,,,21,14,3,2,0,,,,,0,,2,Short,11,Timeout,,,,46,46,
1,10,04,Eric Atkins with a lost ball turnover: Lost Ball,97478,,true,false,false,Eric,,Atkins,,ND,,21,14,3,2,0,,,,,2,,2,Lost Ball,7,Turnover,,,,46,46,
1,9,43,Ian Miller with a lost ball turnover: Lost Ball,97446,,true,false,false,Ian,,Miller,,FlaSt,,21,14,3,2,0,,,,,3,,2,Lost Ball,7,Turnover,,,,12,12,
1,9,27,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,21,16,3,2,1,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,9,05,Jarquez Smith misses a layup shot.,120597,,true,false,false,Jarquez,,Smith,,FlaSt,,21,16,3,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,9,05,ND with a defensive rebound.,,,false,false,false,,,,,,,21,16,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,9,04,Personal foul committed by Jarquez Smith.,120597,,true,false,false,Jarquez,,Smith,,FlaSt,,21,16,3,3,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,8,45,Eric Atkins misses a 3-point jump shot from 23 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,21,16,3,3,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-22.9,2.5,46,46,
1,8,45,Pat Connaughton with an offensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,21,16,3,3,1,,,,,5,,,,5,Offensive Rebound,,,,46,46,
1,8,41,Shooting foul committed by Aaron Thomas.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,21,16,3,4,1,,,,,7,,2,Shooting,8,Foul,,,,12,12,
1,8,41,Pat Connaughton misses free throw 1 of 2.,109491,,true,false,false,Pat,,Connaughton,,ND,,21,16,3,4,1,,,,,5,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,46,46,
1,8,41,ND with an offensive rebound.,,,false,false,false,,,,,,,21,16,3,4,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,8,41,Pat Connaughton misses free throw 2 of 2.,109491,,true,false,false,Pat,,Connaughton,,ND,,21,16,3,4,1,,,,,5,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,46,46,
1,8,41,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,21,16,3,4,0,,,,,4,,,,6,Defensive Rebound,,,,12,12,
1,8,28,Montay Brandon misses a jump shot from 9 feet out.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,21,16,3,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,1.6,8.7,12,12,
1,8,28,FlaSt with an offensive rebound.,,,false,false,false,,,,,,,21,16,3,4,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,8,08,Ian Miller misses a jump shot from 15 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,21,16,3,4,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,15,6,14,12,12,
1,8,08,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,21,16,3,4,1,,,,,6,,,,6,Defensive Rebound,,,,46,46,
1,8,00,Eric Atkins makes a 3-point jump shot from 24 feet out. Demetrius Jackson with the assist.,97478,120755,true,true,false,Eric,Demetrius,Atkins,Jackson,ND,ND,21,19,3,4,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,-6.4,23,46,46,
1,7,48,Okaro White makes a layup shot. Boris Bojanovsky with the assist.,97445,116525,true,true,false,Okaro,Boris,White,Bojanovsky,FlaSt,FlaSt,23,19,3,4,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,7,48,Shooting foul committed by Demetrius Jackson.,120755,,true,false,false,Demetrius,,Jackson,,ND,,23,19,4,4,1,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,7,48,Official TV timeout.,,,false,false,false,,,,,,,23,19,4,4,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,7,48,Okaro White makes free throw 1 of 1.,97445,,true,false,false,Okaro,,White,,FlaSt,,24,19,4,4,0,,,,,7,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,12,12,
1,7,30,Austin Burgett makes a jump shot from 8 feet out.,116593,,true,false,false,Austin,,Burgett,,ND,,24,21,4,4,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,8,-7.6,2.8,46,46,
1,7,30,Shooting foul committed by Devon Bookert.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,24,21,4,5,2,,,,,3,,2,Shooting,8,Foul,,,,12,12,
1,7,30,Austin Burgett makes free throw 1 of 1.,116593,,true,false,false,Austin,,Burgett,,ND,,24,22,4,5,0,,,,,6,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,46,46,
1,7,07,Okaro White misses a layup shot.,97445,,true,false,false,Okaro,,White,,FlaSt,,24,22,4,5,0,,,,,7,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,7,07,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,24,22,4,5,1,,,,,5,,,,6,Defensive Rebound,,,,46,46,
1,6,55,V.J. Beachem misses a 3-point jump shot from 22 feet out.,120754,,true,false,false,V.J.,,Beachem,,ND,,24,22,4,5,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22,2.5,46,46,
1,6,55,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,24,22,4,5,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,6,33,Montay Brandon makes a jump shot from 10 feet out.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,26,22,4,5,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,1.6,10.3,12,12,
1,6,05,Garrick Sherman makes a layup shot. Eric Atkins with the assist.,88941,97478,true,true,false,Garrick,Eric,Sherman,Atkins,ND,ND,26,24,4,5,1,,,,,8,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,5,46,Ian Miller makes a layup shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,28,24,4,5,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,5,46,Shooting foul committed by Garrick Sherman.,88941,,true,false,false,Garrick,,Sherman,,ND,,28,24,5,5,2,,,,,8,,2,Shooting,8,Foul,,,,46,46,
1,5,46,Ian Miller makes free throw 1 of 1.,97446,,true,false,false,Ian,,Miller,,FlaSt,,29,24,5,5,0,,,,,6,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,12,12,
1,5,27,Zach Auguste misses a layup shot.,116591,,true,false,false,Zach,,Auguste,,ND,,29,24,5,5,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,5,27,Boris Bojanovsky with a defensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,29,24,5,5,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,5,19,Ian Miller misses a 3-point jump shot from 23 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,29,24,5,5,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,23,15.7,16.9,12,12,
1,5,19,Boris Bojanovsky with an offensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,29,24,5,5,0,,,,,2,,,,5,Offensive Rebound,,,,12,12,
1,5,14,Boris Bojanovsky makes a layup shot.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,31,24,5,5,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,5,14,Shooting foul committed by Austin Burgett.,116593,,true,false,false,Austin,,Burgett,,ND,,31,24,6,5,1,,,,,6,,2,Shooting,8,Foul,,,,46,46,
1,5,14,Boris Bojanovsky misses free throw 1 of 1.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,31,24,6,5,0,,,,,4,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,12,12,
1,5,14,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,31,24,6,5,2,,,,,8,,,,6,Defensive Rebound,,,,46,46,
1,4,48,Pat Connaughton misses a 3-point jump shot from 22 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,31,24,6,5,1,,,,,5,3,45,Jump Shot,4,Field Goal Missed,22,22.2,2.1,46,46,
1,4,48,Steve Vasturia with an offensive rebound.,120756,,true,false,false,Steve,,Vasturia,,ND,,31,24,6,5,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,4,45,Steve Vasturia misses a layup shot.,120756,,true,false,false,Steve,,Vasturia,,ND,,31,24,6,5,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,4,45,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,31,24,6,5,0,,,,,7,,,,6,Defensive Rebound,,,,12,12,
1,4,36,Montay Brandon makes a 3-point jump shot from 22 feet out. Ian Miller with the assist.,116527,97446,true,true,false,Montay,Ian,Brandon,Miller,FlaSt,FlaSt,34,24,6,5,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,22,22.2,1.9,12,12,
1,4,33,ND take a 20-second timeout.,,,false,false,false,,,,,,,34,24,6,5,0,,,,,0,,2,Short,11,Timeout,,,,46,46,
1,4,10,Pat Connaughton misses a 3-point jump shot from 23 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,34,24,6,5,1,,,,,5,3,45,Jump Shot,4,Field Goal Missed,23,-21.9,6,46,46,
1,4,10,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,34,24,6,5,2,,,,,8,,,,5,Offensive Rebound,,,,46,46,
1,4,09,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,34,26,6,5,2,,,,,10,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,3,53,Aaron Thomas makes a jump shot from 8 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,36,26,6,5,1,,,,,9,2,45,Jump Shot,3,Field Goal Made,8,-.4,8.4,12,12,
1,3,25,Eric Atkins makes a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,36,28,6,5,0,,,,,7,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
