half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,47,47,
1,19,30,K.J. McDaniels makes a jump shot from 6 feet out. Jaron Blossomgame with the assist.,110089,116770,true,true,false,K.J.,Jaron,McDaniels,Blossomgame,Clem,Clem,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,3,5,10,10,
1,19,07,James Robinson misses a layup shot.,116087,,true,false,false,James,,Robinson,,Pitt,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,19,07,Landry Nnoko with a defensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,18,56,K.J. McDaniels misses a 3-point jump shot from 22 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,22,-12.2,18.3,10,10,
1,18,56,Michael Young with a defensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,18,49,Talib Zanna makes a layup shot. Lamar Patterson with the assist.,88283,88282,true,true,false,Talib,Lamar,Zanna,Patterson,Pitt,Pitt,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,18,49,Shooting foul committed by K.J. McDaniels.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,2,2,1,0,1,,,,,2,,2,Shooting,8,Foul,,,,10,10,
1,18,49,Talib Zanna misses free throw 1 of 1.,88283,,true,false,false,Talib,,Zanna,,Pitt,,2,2,1,0,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,47,47,
1,18,49,K.J. McDaniels with a defensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,2,2,1,0,1,,,,,2,,,,6,Defensive Rebound,,,,10,10,
1,18,15,Jordan Roper misses a jump shot from 16 feet out.,116773,,true,false,false,Jordan,,Roper,,Clem,,2,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-4.5,15,10,10,
1,18,15,Cameron Wright with a defensive rebound.,97236,,true,false,false,Cameron,,Wright,,Pitt,,2,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,17,46,Lamar Patterson with a traveling turnover: Traveling,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,2,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,47,47,
1,17,19,Jaron Blossomgame misses a jump shot from 7 feet out.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,2,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-1.6,6.9,10,10,
1,17,19,Jaron Blossomgame with an offensive rebound.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,2,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,17,07,Jaron Blossomgame misses a jump shot from 9 feet out.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,2,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,-2,8.4,10,10,
1,17,07,Lamar Patterson with a defensive rebound.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,17,07,Shooting foul committed by Jordan Roper.,116773,,true,false,false,Jordan,,Roper,,Clem,,2,2,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,10,10,
1,17,07,Talib Zanna makes free throw 1 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,3,2,2,0,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,17,07,Talib Zanna makes free throw 2 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,2,2,0,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,16,51,Landry Nnoko with a traveling turnover: Traveling,116772,,true,false,false,Landry,,Nnoko,,Clem,,4,2,2,0,0,,,,,0,,4,Traveling,7,Turnover,,,,10,10,
1,16,19,Lamar Patterson makes a 3-point jump shot from 25 feet out. James Robinson with the assist.,88282,116087,true,true,false,Lamar,James,Patterson,Robinson,Pitt,Pitt,7,2,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-12,22,47,47,
1,16,07,Personal foul committed by James Robinson.,116087,,true,false,false,James,,Robinson,,Pitt,,7,2,2,1,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,15,49,K.J. McDaniels with a stepped out of bounds turnover: Stepped Out of Bounds,110089,,true,false,false,K.J.,,McDaniels,,Clem,,7,2,2,1,1,,,,,2,,26,Stepped Out of Bounds,7,Turnover,,,,10,10,
1,15,49,Official TV timeout.,,,false,false,false,,,,,,,7,2,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,47,47,
