half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,38,Okaro White with a lost ball turnover: Lost Ball,97445,,true,false,false,Okaro,,White,,FlaSt,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,19,31,Andre Dawkins makes a 3-point jump shot from 22 feet out. Quinn Cook with the assist.,88970,109412,true,true,false,Andre,Quinn,Dawkins,Cook,Duke,Duke,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-7,21,11,11,
1,19,07,Okaro White misses a layup shot.,97445,,true,false,false,Okaro,,White,,FlaSt,,3,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,19,07,Boris Bojanovsky with an offensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,3,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,19,00,Robert Gilchrist makes a layup shot.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,3,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,18,39,Matt Jones misses a layup shot.,121034,,true,false,false,Matt,,Jones,,Duke,,3,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,18,39,Devon Bookert with a defensive rebound.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,3,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,16,Devon Bookert with a lost ball turnover: Lost Ball,116526,,true,false,false,Devon,,Bookert,,FlaSt,,3,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,17,59,Andre Dawkins makes a 3-point jump shot from 23 feet out. Amile Jefferson with the assist.,88970,116520,true,true,false,Andre,Amile,Dawkins,Jefferson,Duke,Duke,6,2,0,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,-9.4,21,11,11,
1,17,53,Personal foul committed by Quinn Cook.,109412,,true,false,false,Quinn,,Cook,,Duke,,6,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,17,40,Okaro White with a lost ball turnover: Lost Ball,97445,,true,false,false,Okaro,,White,,FlaSt,,6,2,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,17,33,Matt Jones misses a layup shot.,121034,,true,false,false,Matt,,Jones,,Duke,,6,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,17,33,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,17,33,Jabari Parker misses a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,17,33,Devon Bookert with a defensive rebound.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,6,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,17,26,Robert Gilchrist makes a dunk shot. Devon Bookert with the assist.,116528,116526,true,true,false,Robert,Devon,Gilchrist,Bookert,FlaSt,FlaSt,6,4,0,1,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,12,12,
1,17,16,Offensive foul committed by Jabari Parker.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,4,0,2,1,,,,,0,,4,Offensive,8,Foul,,,,11,11,
1,17,16,Jabari Parker with a  turnover:,121033,,true,false,false,Jabari,,Parker,,Duke,,6,4,0,2,1,,,,,0,,,,7,Turnover,,,,11,11,
1,17,02,Jabari Parker misses a jump shot from 16 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,4,0,2,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,16.2,1.9,11,11,
1,17,02,Duke with an offensive rebound.,,,false,false,false,,,,,,,6,4,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,16,52,Devon Bookert misses a jump shot from 10 feet out.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,6,4,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,8.2,6.4,12,12,
1,16,52,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,6,4,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,16,44,Andre Dawkins misses a 3-point jump shot from 22 feet out.,88970,,true,false,false,Andre,,Dawkins,,Duke,,6,4,0,2,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,22,2.5,22.4,11,11,
1,16,44,Robert Gilchrist with a defensive rebound.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,6,4,0,2,0,,,,,4,,,,6,Defensive Rebound,,,,12,12,
1,16,40,Offensive foul committed by Montay Brandon.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,6,4,1,2,1,,,,,0,,4,Offensive,8,Foul,,,,12,12,
1,16,40,Montay Brandon with a  turnover:,116527,,true,false,false,Montay,,Brandon,,FlaSt,,6,4,1,2,1,,,,,0,,,,7,Turnover,,,,12,12,
1,16,22,Personal foul committed by Aaron Thomas.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,6,4,2,2,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,16,17,Rasheed Sulaimon misses a 3-point jump shot from 22 feet out.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,6,4,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22,1,11,11,
1,16,17,Boris Bojanovsky with a defensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,6,4,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,16,00,Personal foul committed by Marshall Plumlee.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,6,4,2,3,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,15,54,Okaro White with a traveling turnover: Traveling,97445,,true,false,false,Okaro,,White,,FlaSt,,6,4,2,3,0,,,,,0,,4,Traveling,7,Turnover,,,,12,12,
1,15,54,Official TV timeout.,,,false,false,false,,,,,,,6,4,2,3,0,,,,,0,,3,Official TV,11,Timeout,,,,11,11,
1,15,35,Rodney Hood misses a layup shot.,109781,,true,false,false,Rodney,,Hood,,Duke,,6,4,2,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,15,35,Josh Hairston with an offensive rebound.,97328,,true,false,false,Josh,,Hairston,,Duke,,6,4,2,3,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,15,35,Josh Hairston misses a layup shot.,97328,,true,false,false,Josh,,Hairston,,Duke,,6,4,2,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,15,35,Rodney Hood with an offensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,6,4,2,3,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,15,31,Tyler Thornton makes a 3-point jump shot from 23 feet out. Rodney Hood with the assist.,97330,109781,true,true,false,Tyler,Rodney,Thornton,Hood,Duke,Duke,9,4,2,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,0,23,11,11,
1,14,58,Personal foul committed by Marshall Plumlee.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,9,4,2,4,2,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,14,43,Aaron Thomas misses a jump shot from 9 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,9,4,2,4,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,.9,9.1,12,12,
1,14,43,Okaro White with an offensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,9,4,2,4,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,14,32,Devon Bookert misses a jump shot from 21 feet out.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,9,4,2,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,21,-1.6,21.2,12,12,
1,14,32,Rodney Hood with a defensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,9,4,2,4,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,14,03,Rodney Hood misses a jump shot from 17 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,9,4,2,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,-10.6,12.8,11,11,
1,14,03,Michael Ojo with a defensive rebound.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,9,4,2,4,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,13,53,Okaro White makes a jump shot from 10 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,9,6,2,4,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,1.1,10.1,12,12,
1,13,34,Ian Miller makes a layup shot. Aaron Thomas with the assist.,97446,116531,true,true,false,Ian,Aaron,Miller,Thomas,FlaSt,FlaSt,9,8,2,4,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,13,34,Shooting foul committed by Andre Dawkins.,88970,,true,false,false,Andre,,Dawkins,,Duke,,9,8,2,5,1,,,,,6,,2,Shooting,8,Foul,,,,11,11,
1,13,34,Ian Miller misses free throw 1 of 1.,97446,,true,false,false,Ian,,Miller,,FlaSt,,9,8,2,5,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,12,12,
1,13,34,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,9,8,2,5,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,13,14,Montay Brandon makes a layup shot.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,9,10,2,5,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,12,39,Rodney Hood misses a layup shot.,109781,,true,false,false,Rodney,,Hood,,Duke,,9,10,2,5,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,12,39,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,9,10,2,5,1,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,12,37,Ian Miller misses a 3-point jump shot from 23 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,9,10,2,5,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,15,18,12,12,
