half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,33,Marcus Georges-Hunt with a bad pass turnover: Bad Pass,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,13,13,
1,19,07,Anthony Barber makes a layup shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,18,48,Kammeon Holsey misses a jump shot from 7 feet out.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-1.8,6.9,13,13,
1,18,48,T.J. Warren with a defensive rebound.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,35,Kyle Washington misses a jump shot from 17 feet out.,120608,,true,false,false,Kyle,,Washington,,NCSU,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,17.4,-.6,16,16,
1,18,35,Daniel Miller with a defensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,26,Corey Heyward makes a 3-point jump shot from 24 feet out. Marcus Georges-Hunt with the assist.,116543,116540,true,true,false,Corey,Marcus,Heyward,Georges-Hunt,GaTech,GaTech,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-15.7,17.9,13,13,
1,17,59,T.J. Warren makes a layup shot. Jordan Vandenberg with the assist.,116007,88227,true,true,false,T.J.,Jordan,Warren,Vandenberg,NCSU,NCSU,4,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,17,53,Personal foul committed by T.J. Warren.,116007,,true,false,false,T.J.,,Warren,,NCSU,,4,3,0,1,1,,,,,2,,1,Personal,8,Foul,,,,16,16,
1,17,49,Trae Golden makes a 3-point jump shot from 24 feet out. Daniel Miller with the assist.,97522,88211,true,true,false,Trae,Daniel,Golden,Miller,GaTech,GaTech,4,6,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-16.4,17.9,13,13,
1,17,23,Ralston Turner makes a jump shot from 10 feet out. Anthony Barber with the assist.,97046,120606,true,true,false,Ralston,Anthony,Turner,Barber,NCSU,NCSU,6,6,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,0,10,16,16,
1,17,10,Marcus Georges-Hunt misses a jump shot from 8 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,6,6,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-.1,7.7,13,13,
1,17,10,Anthony Barber with a defensive rebound.,120606,,true,false,false,Anthony,,Barber,,NCSU,,6,6,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,16,16,
1,17,02,Ralston Turner makes a 3-point jump shot from 25 feet out. Anthony Barber with the assist.,97046,120606,true,true,false,Ralston,Anthony,Turner,Barber,NCSU,NCSU,9,6,0,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,25,14.5,20.3,16,16,
1,16,56,Offensive foul committed by Kammeon Holsey.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,9,6,1,1,1,,,,,0,,4,Offensive,8,Foul,,,,13,13,
1,16,56,Kammeon Holsey with a  turnover:,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,9,6,1,1,1,,,,,0,,,,7,Turnover,,,,13,13,
