half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,37,J.P. Tokoto makes a jump shot from 7 feet out. James Michael McAdoo with the assist.,116589,110437,true,true,false,J.P.,James Michael,Tokoto,McAdoo,UNC,UNC,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,3.8,5.7,15,15,
1,19,22,Rod Hall misses a 3-point jump shot from 24 feet out.,110088,,true,false,false,Rod,,Hall,,Clem,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-.1,24.4,10,10,
1,19,22,UNC with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,19,13,James Michael McAdoo misses a jump shot from 14 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-13.7,.9,15,15,
1,19,13,K.J. McDaniels with a defensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,19,13,K.J. McDaniels with a lost ball turnover: Lost Ball,110089,,true,false,false,K.J.,,McDaniels,,Clem,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,10,10,
1,19,05,Kennedy Meeks makes a jump shot from 12 feet out. Marcus Paige with the assist.,121345,116587,true,true,false,Kennedy,Marcus,Meeks,Paige,UNC,UNC,4,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,-12,3,15,15,
1,18,35,Rod Hall misses a layup shot.,110088,,true,false,false,Rod,,Hall,,Clem,,4,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,18,35,Clem with an offensive rebound.,,,false,false,false,,,,,,,4,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,18,31,Personal foul committed by Marcus Paige.,116587,,true,false,false,Marcus,,Paige,,UNC,,4,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,18,09,K.J. McDaniels makes a dunk shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,4,2,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,10,10,
1,17,52,James Michael McAdoo with a traveling turnover: Traveling,110437,,true,false,false,James Michael,,McAdoo,,UNC,,4,2,0,1,0,,,,,0,,4,Traveling,7,Turnover,,,,15,15,
1,17,39,Personal foul committed by James Michael McAdoo.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,4,2,0,2,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,17,39,Damarcus Harrison misses free throw 1 of 2.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,4,2,0,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,10,10,
1,17,39,Clem with an offensive rebound.,,,false,false,false,,,,,,,4,2,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,17,39,Damarcus Harrison makes free throw 2 of 2.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,4,3,0,2,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,10,10,
1,17,26,Leslie McDonald makes a jump shot from 14 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,6,3,0,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,14,3.1,13.9,15,15,
1,17,05,K.J. McDaniels makes a hook shot from 9 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,6,5,0,2,0,,,,,4,2,55,Hook Shot,3,Field Goal Made,9,-7.2,5.2,10,10,
1,16,57,Marcus Paige makes a layup shot.,116587,,true,false,false,Marcus,,Paige,,UNC,,8,5,0,2,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,16,29,Damarcus Harrison misses a layup shot.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,8,5,0,2,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,16,29,Josh Smith with an offensive rebound.,116774,,true,false,false,Josh,,Smith,,Clem,,8,5,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,16,20,Josh Smith misses a layup shot.,116774,,true,false,false,Josh,,Smith,,Clem,,8,5,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,16,20,K.J. McDaniels with an offensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,8,5,0,2,0,,,,,4,,,,5,Offensive Rebound,,,,10,10,
1,16,13,K.J. McDaniels makes a tip shot from 8 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,8,7,0,2,0,,,,,6,2,53,Tip Shot,3,Field Goal Made,8,2.3,7.7,10,10,
1,16,09,James Michael McAdoo makes a jump shot from 12 feet out. J.P. Tokoto with the assist.,110437,116589,true,true,false,James Michael,J.P.,McAdoo,Tokoto,UNC,UNC,10,7,0,2,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,-4,11,15,15,
1,15,42,Landry Nnoko misses a jump shot from 10 feet out.,116772,,true,false,false,Landry,,Nnoko,,Clem,,10,7,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,8.9,4.2,10,10,
1,15,42,J.P. Tokoto with a defensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,10,7,0,2,0,,,,,2,,,,6,Defensive Rebound,,,,15,15,
1,15,30,Kennedy Meeks misses a layup shot.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,10,7,0,2,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,15,30,Landry Nnoko with a defensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,10,7,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,15,24,K.J. McDaniels misses a 3-point jump shot from 23 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,10,7,0,2,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,23,-19.5,12.8,10,10,
1,15,24,Landry Nnoko with an offensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,10,7,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,15,01,Landry Nnoko makes a hook shot from 7 feet out. K.J. McDaniels with the assist.,116772,110089,true,true,false,Landry,K.J.,Nnoko,McDaniels,Clem,Clem,10,9,0,2,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,7,-3.8,6.4,10,10,
