half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,13,13,
1,19,46,James Michael McAdoo makes a jump shot from 15 feet out. Marcus Paige with the assist.,110437,116587,true,true,false,James Michael,Marcus,McAdoo,Paige,UNC,UNC,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,-14,3.8,15,15,
1,19,23,Kammeon Holsey misses a hook shot from 8 feet out.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,0,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,8,2.5,7.9,13,13,
1,19,23,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,19,18,Leslie McDonald with a lost ball turnover: Lost Ball,88220,,true,false,false,Leslie,,McDonald,,UNC,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,19,04,Trae Golden misses a layup shot.,97522,,true,false,false,Trae,,Golden,,GaTech,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,19,04,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,18,50,Kennedy Meeks makes a jump shot from 15 feet out. James Michael McAdoo with the assist.,121345,110437,true,true,false,Kennedy,James Michael,Meeks,McAdoo,UNC,UNC,0,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,-15,5,15,15,
1,18,38,Kammeon Holsey makes a layup shot. Daniel Miller with the assist.,88210,88211,true,true,false,Kammeon,Daniel,Holsey,Miller,GaTech,GaTech,2,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,18,13,Marcus Paige misses a 3-point jump shot from 24 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,2,4,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-12,20.5,15,15,
1,18,13,Kammeon Holsey with a defensive rebound.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,2,4,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,13,13,
1,18,05,Trae Golden misses a layup shot.,97522,,true,false,false,Trae,,Golden,,GaTech,,2,4,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
