half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,31,Donnavan Kirk misses a hook shot from 7 feet out.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,7,1.4,6.4,45,45,
1,19,31,Jonathan Graham with a defensive rebound.,97094,,true,false,false,Jonathan,,Graham,,MD,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,19,06,Evan Smotrycz misses a jump shot from 14 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,2.3,13.9,14,14,
1,19,06,Donnavan Kirk with a defensive rebound.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,18,51,Tonye Jekiri misses a jump shot from 14 feet out.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-13.5,2.1,45,45,
1,18,51,Donnavan Kirk with an offensive rebound.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,18,43,Personal foul committed by Dez Wells.,109448,,true,false,false,Dez,,Wells,,MD,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,18,25,Rion Brown makes a jump shot from 11 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,2,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,-2.1,11,45,45,
1,17,58,Seth Allen misses a 3-point jump shot from 24 feet out.,116730,,true,false,false,Seth,,Allen,,MD,,0,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-8.4,22.2,14,14,
1,17,58,Tonye Jekiri with a defensive rebound.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,0,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,17,33,Garrius Adams makes a jump shot from 9 feet out.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,0,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,.1,9.1,45,45,
1,17,09,Jake Layman makes a 3-point jump shot from 24 feet out. Dez Wells with the assist.,116731,109448,true,true,false,Jake,Dez,Layman,Wells,MD,MD,3,4,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,12,21,14,14,
1,16,42,Garrius Adams with a lost ball out of bounds turnover: Lost Ball Out of Bounds,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,3,4,0,1,0,,,,,2,,23,Lost Ball Out of Bounds,7,Turnover,,,,45,45,
1,16,29,Jake Layman misses a jump shot from 19 feet out.,116731,,true,false,false,Jake,,Layman,,MD,,3,4,0,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,19,10.5,16.2,14,14,
1,16,29,Garrius Adams with a defensive rebound.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,3,4,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,45,45,
1,16,22,Shooting foul committed by Dez Wells.,109448,,true,false,false,Dez,,Wells,,MD,,3,4,0,2,2,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,16,22,Garrius Adams misses free throw 1 of 2.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,3,4,0,2,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,45,45,
1,16,22,Mia-Fl with an offensive rebound.,,,false,false,false,,,,,,,3,4,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,16,22,Garrius Adams makes free throw 2 of 2.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,3,5,0,2,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,45,45,
1,15,51,Evan Smotrycz makes a jump shot from 9 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,5,5,0,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,7.6,5.3,14,14,
