half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,45,45,
1,19,55,Anell Alexis misses a jump shot.,91407,,true,false,false,Anell,,Alexis,,Nor,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,19,31,Rion Brown misses a 3-point jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,19,15,Rion Brown misses a 3-point jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,19,08,Manu Lecomte makes a 3-point jump shot.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,18,18,Tonye Jekiri makes a jump shot.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,5,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,17,46,Kievyn Lila-St. Rose makes a 3-point jump shot.,110919,,true,false,false,Kievyn,,Lila-St. Rose,,Nor,,5,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,193,193,
1,17,14,Manu Lecomte makes a 3-point jump shot.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,8,3,0,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,16,47,Pendarvis Williams makes a 3-point jump shot.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,8,6,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,193,193,
1,16,07,Donnavan Kirk misses a 3-point jump shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,8,6,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,15,48,Official TV timeout.,,,false,false,false,,,,,,,8,6,0,0,0,,,,,0,,3,Official TV,11,Timeout,,,,45,45,
1,15,48,Shooting foul committed by Kievyn Lila-St. Rose.,110919,,true,false,false,Kievyn,,Lila-St. Rose,,Nor,,8,6,1,0,1,,,,,3,,2,Shooting,8,Foul,,,,193,193,
1,15,48,Donnavan Kirk makes free throw 1 of 2.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,9,6,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,45,45,
1,15,48,Donnavan Kirk makes free throw 2 of 2.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,10,6,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,45,45,
1,15,27,Kievyn Lila-St. Rose misses a 3-point jump shot.,110919,,true,false,false,Kievyn,,Lila-St. Rose,,Nor,,10,6,1,0,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,15,16,Offensive foul committed by Manu Lecomte.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,10,6,1,1,1,,,,,6,,4,Offensive,8,Foul,,,,45,45,
1,15,16,Anell Alexis makes free throw 1 of 2.,91407,,true,false,false,Anell,,Alexis,,Nor,,10,7,1,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,193,193,
1,15,16,Anell Alexis makes free throw 2 of 2.,91407,,true,false,false,Anell,,Alexis,,Nor,,10,8,1,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,193,193,
1,14,49,Donnavan Kirk makes a jump shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,12,8,1,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,14,17,Brandon Goode misses a hook shot.,98400,,true,false,false,Brandon,,Goode,,Nor,,12,8,1,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,193,193,
1,14,00,Davon Reed makes a 3-point jump shot.,120601,,true,false,false,Davon,,Reed,,Mia-Fl,,15,8,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,13,27,Rashid Gaston misses a hook shot.,117577,,true,false,false,Rashid,,Gaston,,Nor,,15,8,1,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,193,193,
1,12,53,Tonye Jekiri misses a jump shot.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,15,8,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,12,43,Brandon Goode makes a dunk shot.,98400,,true,false,false,Brandon,,Goode,,Nor,,15,10,1,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,193,193,
1,12,38,Nor take a 20-second timeout.,,,false,false,false,,,,,,,15,10,1,1,0,,,,,0,,2,Short,11,Timeout,,,,193,193,
1,12,07,Rion Brown misses a 3-point jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,15,10,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,11,44,Official TV timeout.,,,false,false,false,,,,,,,15,10,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,45,45,
1,10,53,Anell Alexis misses a jump shot.,91407,,true,false,false,Anell,,Alexis,,Nor,,15,10,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,193,193,
1,10,41,Rion Brown makes a 3-point jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,18,10,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,10,22,Shooting foul committed by Davon Reed.,120601,,true,false,false,Davon,,Reed,,Mia-Fl,,18,10,1,2,1,,,,,3,,2,Shooting,8,Foul,,,,45,45,
1,10,22,Brandon Goode makes free throw 1 of 2.,98400,,true,false,false,Brandon,,Goode,,Nor,,18,11,1,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,193,193,
1,10,22,Brandon Goode makes free throw 2 of 2.,98400,,true,false,false,Brandon,,Goode,,Nor,,18,12,1,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,193,193,
1,10,03,Pendarvis Williams makes a 3-point jump shot.,98398,,true,false,false,Pendarvis,,Williams,,Nor,,18,15,1,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,193,193,
1,9,46,Personal foul committed by Paulius Vinogradovas.,117576,,true,false,false,Paulius,,Vinogradovas,,Nor,,18,15,2,2,1,,,,,0,,1,Personal,8,Foul,,,,193,193,
1,9,37,Rion Brown misses a jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,18,15,2,2,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
