half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,32,Devin Thomas misses a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,19,32,Daniel Miller with a defensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,19,09,Kammeon Holsey misses a layup shot.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,19,09,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,18,44,Tyler Cavanaugh with a lost ball turnover: Lost Ball,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,18,18,
1,18,27,Daniel Miller misses a layup shot.,88211,,true,false,false,Daniel,,Miller,,GaTech,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,18,27,Daniel Miller with an offensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,18,24,Marcus Georges-Hunt misses a 3-point jump shot from 24 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-14.4,19.1,13,13,
1,18,24,Daniel Miller with an offensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,18,19,Trae Golden makes a 3-point jump shot from 23 feet out. Daniel Miller with the assist.,97522,88211,true,true,false,Trae,Daniel,Golden,Miller,GaTech,GaTech,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.9,-1.5,13,13,
1,18,04,Madison Jones with a bad pass turnover: Bad Pass,116009,,true,false,false,Madison,,Jones,,Wake,,0,3,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,18,18,
1,17,50,Personal foul committed by Travis McKie.,97115,,true,false,false,Travis,,McKie,,Wake,,0,3,0,1,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,17,34,Marcus Georges-Hunt misses a jump shot from 15 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,3,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-12.8,7.7,13,13,
1,17,34,Marcus Georges-Hunt with an offensive rebound.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,3,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,17,32,Marcus Georges-Hunt makes a jump shot from 16 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,5,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-16.4,.6,13,13,
1,17,25,Devin Thomas makes a layup shot. Travis McKie with the assist.,116010,97115,true,true,false,Devin,Travis,Thomas,McKie,Wake,Wake,2,5,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,17,11,Daniel Miller makes a layup shot. Corey Heyward with the assist.,88211,116543,true,true,false,Daniel,Corey,Miller,Heyward,GaTech,GaTech,2,7,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,16,46,Personal foul committed by Kammeon Holsey.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,2,7,1,1,1,,,,,0,,1,Personal,8,Foul,,,,13,13,
1,16,46,Tyler Cavanaugh makes free throw 1 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,3,7,1,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,16,46,Tyler Cavanaugh makes free throw 2 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,4,7,1,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,16,29,Trae Golden misses a 3-point jump shot from 24 feet out.,97522,,true,false,false,Trae,,Golden,,GaTech,,4,7,1,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-19.1,14.2,13,13,
1,16,29,Codi Miller-McIntyre with a defensive rebound.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,4,7,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,16,21,Codi Miller-McIntyre makes a layup shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,6,7,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,16,15,Personal foul committed by Madison Jones.,116009,,true,false,false,Madison,,Jones,,Wake,,6,7,1,2,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,16,11,Offensive foul committed by Quinton Stephens.,120599,,true,false,false,Quinton,,Stephens,,GaTech,,6,7,2,2,1,,,,,0,,4,Offensive,8,Foul,,,,13,13,
1,16,11,Quinton Stephens with a  turnover:,120599,,true,false,false,Quinton,,Stephens,,GaTech,,6,7,2,2,1,,,,,0,,,,7,Turnover,,,,13,13,
1,15,55,Devin Thomas misses a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,6,7,2,2,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,15,55,Daniel Miller with a defensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,6,7,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,13,13,
1,15,47,Quinton Stephens makes a 3-point jump shot from 24 feet out. Trae Golden with the assist.,120599,97522,true,true,false,Quinton,Trae,Stephens,Golden,GaTech,GaTech,6,10,2,2,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-16.2,17.9,13,13,
