half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,47,47,
1,19,31,Lamar Patterson with a double dribble turnover: Double Dribble,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,0,0,0,0,,,,,0,,6,Double Dribble,7,Turnover,,,,47,47,
1,19,05,Mike Tobey with a lost ball turnover: Lost Ball,116698,,true,false,false,Mike,,Tobey,,UVa,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,17,17,
1,18,51,Michael Young misses a jump shot from 17 feet out.,120761,,true,false,false,Michael,,Young,,Pitt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,16.6,2.8,47,47,
1,18,51,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,18,39,Personal foul committed by Lamar Patterson.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,18,21,Malcolm Brogdon misses a jump shot from 12 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,11.6,4,17,17,
1,18,21,Akil Mitchell with an offensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,18,13,Akil Mitchell with a lost ball turnover: Lost Ball,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,17,17,
1,18,07,Cameron Wright makes a jump shot from 8 feet out. Lamar Patterson with the assist.,97236,88282,true,true,false,Cameron,Lamar,Wright,Patterson,Pitt,Pitt,2,0,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,.8,8.2,47,47,
1,17,47,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,17,23,Talib Zanna misses a jump shot from 9 feet out.,88283,,true,false,false,Talib,,Zanna,,Pitt,,2,2,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,-8.1,3.8,47,47,
1,17,23,Michael Young with an offensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,2,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,17,20,Michael Young with a bad pass turnover: Bad Pass,120761,,true,false,false,Michael,,Young,,Pitt,,2,2,0,1,0,,,,,0,,1,Bad Pass,7,Turnover,,,,47,47,
1,17,11,Personal foul committed by Cameron Wright.,97236,,true,false,false,Cameron,,Wright,,Pitt,,2,2,0,2,1,,,,,2,,1,Personal,8,Foul,,,,47,47,
1,16,49,Akil Mitchell misses a jump shot from 9 feet out.,97111,,true,false,false,Akil,,Mitchell,,UVa,,2,2,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,7.6,4.8,17,17,
1,16,49,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,2,2,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
