half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,41,Okaro White makes a jump shot from 15 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,-.4,15.4,12,12,
1,19,06,Ben Emelogu makes a jump shot from 19 feet out.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,13,13.5,54,54,
1,18,49,Michael Ojo with a lost ball turnover: Lost Ball,116530,,true,false,false,Michael,,Ojo,,FlaSt,,2,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,18,29,Trevor Thompson with a lost ball turnover: Lost Ball,120766,,true,false,false,Trevor,,Thompson,,VaTech,,2,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,54,54,
1,18,15,Shooting foul committed by Trevor Thompson.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,2,2,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,54,54,
1,18,15,Michael Ojo misses free throw 1 of 2.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,2,2,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,12,12,
1,18,15,FlaSt with an offensive rebound.,,,false,false,false,,,,,,,2,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,18,15,Michael Ojo misses free throw 2 of 2.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,2,2,1,0,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,12,12,
1,18,15,Jarell Eddie with a defensive rebound.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,2,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
