half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,42,42,
1,19,26,Ryan Anderson misses a layup shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,42,42,
1,19,26,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,58,Jabari Parker misses a 3-point jump shot from 22 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22.3,2.2,11,11,
1,18,58,Amile Jefferson with an offensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,18,49,Rodney Hood makes a 3-point jump shot from 23 feet out. Amile Jefferson with the assist.,109781,116520,true,true,false,Rodney,Amile,Hood,Jefferson,Duke,Duke,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,8.2,21.4,11,11,
1,18,36,Personal foul committed by Tyler Thornton.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,3,1,0,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,18,29,Olivier Hanlan misses a 3-point jump shot from 25 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,0,3,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-16.9,17.7,42,42,
1,18,29,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,16,Rasheed Sulaimon with a lost ball turnover: Lost Ball,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,0,3,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,11,11,
1,18,08,Olivier Hanlan misses a 3-point jump shot from 24 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,0,3,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-19.2,13.7,42,42,
1,18,08,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,17,49,Rasheed Sulaimon misses a layup shot.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,0,3,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,17,49,Lonnie Jackson with a defensive rebound.,110084,,true,false,false,Lonnie,,Jackson,,BC,,0,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,17,38,Lonnie Jackson makes a layup shot.,110084,,true,false,false,Lonnie,,Jackson,,BC,,2,3,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,42,42,
1,17,25,Jabari Parker makes a dunk shot. Tyler Thornton with the assist.,121033,97330,true,true,false,Jabari,Tyler,Parker,Thornton,Duke,Duke,2,5,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,11,11,
1,16,59,Joe Rahon misses a 3-point jump shot from 24 feet out.,116004,,true,false,false,Joe,,Rahon,,BC,,2,5,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-18.4,14.8,42,42,
1,16,59,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,2,5,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,16,51,Tyler Thornton makes a 3-point jump shot from 24 feet out. Rasheed Sulaimon with the assist.,97330,116519,true,true,false,Tyler,Rasheed,Thornton,Sulaimon,Duke,Duke,2,8,1,0,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-18,16,11,11,
1,16,49,BC take a 20-second timeout.,,,false,false,false,,,,,,,2,8,1,0,0,,,,,0,,2,Short,11,Timeout,,,,42,42,
1,16,25,Alex Dragicevich misses a layup shot.,97479,,true,false,false,Alex,,Dragicevich,,BC,,2,8,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,42,42,
1,16,25,Rodney Hood with a defensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,8,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,11,11,
1,16,16,Quinn Cook misses a 3-point jump shot from 22 feet out.,109412,,true,false,false,Quinn,,Cook,,Duke,,2,8,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22.1,4,11,11,
1,16,16,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,8,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,11,11,
1,16,04,Jabari Parker misses a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,8,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
