half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,54,J.P. Tokoto makes a layup shot.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,19,20,Zach Auguste makes a jump shot from 17 feet out.,116591,,true,false,false,Zach,,Auguste,,ND,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,15,8,46,46,
1,19,00,Kennedy Meeks misses a jump shot from 14 feet out.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-13.4,3.5,15,15,
1,19,00,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,18,45,Garrick Sherman makes a layup shot. Pat Connaughton with the assist.,88941,109491,true,true,false,Garrick,Pat,Sherman,Connaughton,ND,ND,4,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,18,33,J.P. Tokoto misses a jump shot from 8 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,4,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,-5.1,5.7,15,15,
1,18,33,Steve Vasturia with a defensive rebound.,120756,,true,false,false,Steve,,Vasturia,,ND,,4,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,18,16,Eric Atkins misses a jump shot from 14 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,4,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,14,3.7,46,46,
1,18,16,J.P. Tokoto with a defensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,4,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,15,15,
1,17,55,Kennedy Meeks misses a layup shot.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,4,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,17,55,Steve Vasturia with a defensive rebound.,120756,,true,false,false,Steve,,Vasturia,,ND,,4,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,17,36,Garrick Sherman makes a jump shot from 9 feet out. Steve Vasturia with the assist.,88941,120756,true,true,false,Garrick,Steve,Sherman,Vasturia,ND,ND,6,2,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,9,7,5,46,46,
1,17,24,Kennedy Meeks with a lost ball turnover: Lost Ball,121345,,true,false,false,Kennedy,,Meeks,,UNC,,6,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,17,01,Personal foul committed by J.P. Tokoto.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,6,2,1,0,1,,,,,2,,1,Personal,8,Foul,,,,15,15,
1,16,58,ND take a 20-second timeout.,,,false,false,false,,,,,,,6,2,1,0,0,,,,,0,,2,Short,11,Timeout,,,,46,46,
1,16,33,Pat Connaughton makes a 3-point jump shot from 23 feet out. Eric Atkins with the assist.,109491,97478,true,true,false,Pat,Eric,Connaughton,Atkins,ND,ND,9,2,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-19,13.1,46,46,
1,16,15,Leslie McDonald misses a 3-point jump shot from 25 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,9,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-.3,25.3,15,15,
1,16,15,James Michael McAdoo with an offensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,9,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,16,03,James Michael McAdoo misses a layup shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,9,2,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,16,03,Steve Vasturia with a defensive rebound.,120756,,true,false,false,Steve,,Vasturia,,ND,,9,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,15,40,Shooting foul committed by Joel James.,116586,,true,false,false,Joel,,James,,UNC,,9,2,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,15,40,Official TV timeout.,,,false,false,false,,,,,,,9,2,2,0,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,15,40,Steve Vasturia misses free throw 1 of 2.,120756,,true,false,false,Steve,,Vasturia,,ND,,9,2,2,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,46,46,
1,15,40,ND with an offensive rebound.,,,false,false,false,,,,,,,9,2,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,15,40,Steve Vasturia makes free throw 2 of 2.,120756,,true,false,false,Steve,,Vasturia,,ND,,10,2,2,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,15,20,J.P. Tokoto misses a 3-point jump shot from 24 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,10,2,2,0,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-.5,23.8,15,15,
1,15,20,Steve Vasturia with a defensive rebound.,120756,,true,false,false,Steve,,Vasturia,,ND,,10,2,2,0,0,,,,,1,,,,6,Defensive Rebound,,,,46,46,
