half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,30,Okaro White with a lost ball turnover: Lost Ball,97445,,true,false,false,Okaro,,White,,FlaSt,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,19,15,Garrius Adams misses a layup shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,45,45,
1,19,15,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,19,06,Aaron Thomas with a lost ball turnover: Lost Ball,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,18,51,Garrius Adams misses a layup shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,45,45,
1,18,51,Devon Bookert with a defensive rebound.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,18,Devon Bookert misses a 3-point jump shot from 24 feet out.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-1.6,23.5,12,12,
1,18,18,Donnavan Kirk with a defensive rebound.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,18,05,Personal foul committed by Michael Ojo.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,12,12,
1,17,42,Donnavan Kirk makes a 3-point jump shot from 23 feet out. Rion Brown with the assist.,88217,97135,true,true,false,Donnavan,Rion,Kirk,Brown,Mia-Fl,Mia-Fl,0,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-19,13,45,45,
1,17,28,Aaron Thomas makes a 3-point jump shot from 23 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,3,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-12.3,19.3,12,12,
