half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,45,Travis McKie makes a layup shot.,97115,,true,false,false,Travis,,McKie,,Wake,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,19,10,Tyler Lewis misses a 3-point jump shot from 23 feet out.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.9,1.3,16,16,
1,19,10,Travis McKie with a defensive rebound.,97115,,true,false,false,Travis,,McKie,,Wake,,0,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
1,19,01,Devin Thomas misses a dunk shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,2,0,0,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,0,0,0,18,18,
1,19,01,Arnaud-William Adala Moto with an offensive rebound.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,18,54,Devin Thomas misses a jump shot from 13 feet out.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-12.8,.8,18,18,
1,18,54,Jordan Vandenberg with a defensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,36,Ralston Turner misses a 3-point jump shot from 24 feet out.,97046,,true,false,false,Ralston,,Turner,,NCSU,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-7.2,22.7,16,16,
1,18,36,Jordan Vandenberg with an offensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,18,31,Tyler Lewis makes a layup shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,18,25,Offensive foul committed by Madison Jones.,116009,,true,false,false,Madison,,Jones,,Wake,,2,2,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,18,18,
1,18,25,Madison Jones with a  turnover:,116009,,true,false,false,Madison,,Jones,,Wake,,2,2,1,0,1,,,,,0,,,,7,Turnover,,,,18,18,
1,18,09,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,4,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,17,41,Madison Jones with a lost ball turnover: Lost Ball,116009,,true,false,false,Madison,,Jones,,Wake,,4,2,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,18,18,
1,17,34,T.J. Warren makes a layup shot. Tyler Lewis with the assist.,116007,116006,true,true,false,T.J.,Tyler,Warren,Lewis,NCSU,NCSU,6,2,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,17,11,Travis McKie misses a 3-point jump shot from 25 feet out.,97115,,true,false,false,Travis,,McKie,,Wake,,6,2,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,-4.2,24.4,18,18,
1,17,11,Ralston Turner with a defensive rebound.,97046,,true,false,false,Ralston,,Turner,,NCSU,,6,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,17,03,Kyle Washington misses a layup shot.,120608,,true,false,false,Kyle,,Washington,,NCSU,,6,2,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,16,16,
1,17,03,Travis McKie with a defensive rebound.,97115,,true,false,false,Travis,,McKie,,Wake,,6,2,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
1,16,56,Devin Thomas makes a dunk shot. Madison Jones with the assist.,116010,116009,true,true,false,Devin,Madison,Thomas,Jones,Wake,Wake,6,4,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,18,18,
1,16,39,T.J. Warren misses a 3-point jump shot from 24 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,6,4,1,0,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,24,18.5,15.2,16,16,
1,16,39,Arnaud-William Adala Moto with a defensive rebound.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,6,4,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,16,23,Travis McKie makes a layup shot.,97115,,true,false,false,Travis,,McKie,,Wake,,6,6,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,16,23,Shooting foul committed by Jordan Vandenberg.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,6,6,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,16,23,Travis McKie makes free throw 1 of 1.,97115,,true,false,false,Travis,,McKie,,Wake,,6,7,1,1,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,18,18,
1,16,05,T.J. Warren with a traveling turnover: Traveling,116007,,true,false,false,T.J.,,Warren,,NCSU,,6,7,1,1,0,,,,,4,,4,Traveling,7,Turnover,,,,16,16,
1,15,46,Madison Jones with a traveling turnover: Traveling,116009,,true,false,false,Madison,,Jones,,Wake,,6,7,1,1,1,,,,,0,,4,Traveling,7,Turnover,,,,18,18,
1,15,46,Official TV timeout.,,,false,false,false,,,,,,,6,7,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,15,24,T.J. Warren makes a jump shot from 14 feet out. Tyler Lewis with the assist.,116007,116006,true,true,false,T.J.,Tyler,Warren,Lewis,NCSU,NCSU,8,7,1,1,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,14,-4,13,16,16,
1,15,05,Devin Thomas misses a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,8,7,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,15,05,T.J. Warren with a defensive rebound.,116007,,true,false,false,T.J.,,Warren,,NCSU,,8,7,1,1,0,,,,,6,,,,6,Defensive Rebound,,,,16,16,
1,14,43,Jordan Vandenberg makes a layup shot.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,10,7,1,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,14,37,Personal foul committed by Tyler Lewis.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,10,7,1,2,1,,,,,2,,1,Personal,8,Foul,,,,16,16,
1,14,34,Codi Miller-McIntyre with a lost ball turnover: Lost Ball,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,10,7,1,2,0,,,,,0,,2,Lost Ball,7,Turnover,,,,18,18,
1,14,30,T.J. Warren makes a dunk shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,12,7,1,2,0,,,,,8,2,48,Dunk Shot,3,Field Goal Made,0,0,0,16,16,
1,14,04,Codi Miller-McIntyre makes a jump shot from 16 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,12,9,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-.9,16.2,18,18,
1,13,38,Ralston Turner makes a jump shot from 20 feet out.,97046,,true,false,false,Ralston,,Turner,,NCSU,,14,9,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,10.5,17.1,16,16,
1,13,25,Codi Miller-McIntyre misses a jump shot from 19 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,14,9,1,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,19,-1.4,19.3,18,18,
1,13,25,Wake with an offensive rebound.,,,false,false,false,,,,,,,14,9,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,13,23,Travis McKie makes a jump shot from 16 feet out. Codi Miller-McIntyre with the assist.,97115,116008,true,true,false,Travis,Codi,McKie,Miller-McIntyre,Wake,Wake,14,11,1,2,0,,,,,7,2,45,Jump Shot,3,Field Goal Made,16,-16.4,.8,18,18,
1,13,07,Ralston Turner makes a jump shot from 9 feet out.,97046,,true,false,false,Ralston,,Turner,,NCSU,,16,11,1,2,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,9,-8.6,3.3,16,16,
1,12,34,Travis McKie with a out of bounds turnover: Out of Bounds,97115,,true,false,false,Travis,,McKie,,Wake,,16,11,1,2,0,,,,,7,,3,Out of Bounds,7,Turnover,,,,18,18,
1,12,08,Desmond Lee misses a jump shot from 8 feet out.,97477,,true,false,false,Desmond,,Lee,,NCSU,,16,11,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-.3,7.7,16,16,
1,12,08,Miles Overton with a defensive rebound.,120612,,true,false,false,Miles,,Overton,,Wake,,16,11,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,11,56,Tyler Cavanaugh makes a jump shot from 8 feet out.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,16,13,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,5.7,5.5,18,18,
