half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,36,Adonis Filer misses a 3-point jump shot from 26 feet out.,116771,,true,false,false,Adonis,,Filer,,Clem,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,14.7,21,10,10,
1,19,36,K.J. McDaniels with an offensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,19,29,K.J. McDaniels makes a dunk shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,10,10,
1,19,15,Zach Auguste makes a layup shot. Pat Connaughton with the assist.,116591,109491,true,true,false,Zach,Pat,Auguste,Connaughton,ND,ND,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,18,45,K.J. McDaniels misses a 3-point jump shot from 22 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,2,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,22,-22,-1.8,10,10,
1,18,45,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,18,29,Zach Auguste makes a jump shot from 20 feet out. Pat Connaughton with the assist.,116591,109491,true,true,false,Zach,Pat,Auguste,Connaughton,ND,ND,4,2,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,20,.4,20,46,46,
1,18,02,Adonis Filer misses a layup shot.,116771,,true,false,false,Adonis,,Filer,,Clem,,4,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,18,02,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,4,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,17,52,Zach Auguste makes a layup shot. Eric Atkins with the assist.,116591,97478,true,true,false,Zach,Eric,Auguste,Atkins,ND,ND,6,2,0,0,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,17,35,Rod Hall misses a jump shot from 8 feet out.,110088,,true,false,false,Rod,,Hall,,Clem,,6,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-.3,8.4,10,10,
