half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,42,K.J. McDaniels makes a jump shot from 15 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,12.7,7.7,10,10,
1,18,40,Jaron Blossomgame makes a dunk shot. Josh Smith with the assist.,116770,116774,true,true,false,Jaron,Josh,Blossomgame,Smith,Clem,Clem,4,0,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,10,10,
1,18,03,Joe Harris misses a 3-point jump shot from 24 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,4,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-23.7,1.3,17,17,
1,18,03,Akil Mitchell with an offensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,4,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,17,56,Mike Tobey makes a jump shot from 4 feet out. Joe Harris with the assist.,116698,97108,true,true,false,Mike,Joe,Tobey,Harris,UVa,UVa,4,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,4,-2.5,3.5,17,17,
1,17,37,Mike Tobey with a lost ball turnover: Lost Ball,116698,,true,false,false,Mike,,Tobey,,UVa,,4,2,0,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,17,17,
1,17,33,Jaron Blossomgame makes a jump shot from 13 feet out. Rod Hall with the assist.,116770,110088,true,true,false,Jaron,Rod,Blossomgame,Hall,Clem,Clem,6,2,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,13,-1,13,10,10,
1,16,43,Damarcus Harrison makes a jump shot from 13 feet out. Jaron Blossomgame with the assist.,110531,116770,true,true,false,Damarcus,Jaron,Harrison,Blossomgame,Clem,Clem,8,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,13,9.1,9.8,10,10,
1,16,36,Personal foul committed by Jaron Blossomgame.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,8,2,0,1,1,,,,,4,,1,Personal,8,Foul,,,,10,10,
