half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,46,Jerami Grant misses a jump shot from 8 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,.1,7.7,52,52,
1,19,46,C.J. Fair with an offensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,19,37,C.J. Fair misses a jump shot from 19 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,16.1,9.9,52,52,
1,19,37,Jerami Grant with an offensive rebound.,116757,,true,false,false,Jerami,,Grant,,Syr,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,19,32,Trevor Cooney makes a 3-point jump shot from 22 feet out.,110467,,true,false,false,Trevor,,Cooney,,Syr,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-17.9,12.3,52,52,
1,18,57,Tyler Lewis misses a 3-point jump shot from 22 feet out.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-20.7,7,16,16,
1,18,57,Jordan Vandenberg with an offensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,3,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,18,47,Ralston Turner misses a 3-point jump shot from 25 feet out.,97046,,true,false,false,Ralston,,Turner,,NCSU,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,11,22,16,16,
1,18,47,Syr with a defensive rebound.,,,false,false,false,,,,,,,3,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,18,36,C.J. Fair misses a 3-point jump shot from 23 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,10.5,20.7,52,52,
1,18,36,Kyle Washington with a defensive rebound.,120608,,true,false,false,Kyle,,Washington,,NCSU,,3,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,07,Kyle Washington makes a jump shot from 12 feet out. T.J. Warren with the assist.,120608,116007,true,true,false,Kyle,T.J.,Washington,Warren,NCSU,NCSU,3,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,0,12,16,16,
1,17,51,Rakeem Christmas makes a jump shot from 12 feet out. Trevor Cooney with the assist.,110466,110467,true,true,false,Rakeem,Trevor,Christmas,Cooney,Syr,Syr,5,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,11,4,52,52,
1,17,33,T.J. Warren misses a 3-point jump shot from 23 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,5,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,16.8,15.6,16,16,
1,17,33,Jerami Grant with a defensive rebound.,116757,,true,false,false,Jerami,,Grant,,Syr,,5,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,17,20,C.J. Fair misses a jump shot from 8 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,5,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-2.8,7.7,52,52,
1,17,20,Kyle Washington with a defensive rebound.,120608,,true,false,false,Kyle,,Washington,,NCSU,,5,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,16,16,
1,17,12,Ralston Turner makes a 3-point jump shot from 22 feet out. Tyler Lewis with the assist.,97046,116006,true,true,false,Ralston,Tyler,Turner,Lewis,NCSU,NCSU,5,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-20.3,8.4,16,16,
