half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,30,Shooting foul committed by Michael Ojo.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,0,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,19,30,Arnaud-William Adala Moto makes free throw 1 of 2.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,1,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,19,30,Arnaud-William Adala Moto misses free throw 2 of 2.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,1,0,1,0,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,18,18,
1,19,30,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,1,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,19,02,Aaron Thomas misses a 3-point jump shot from 24 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,1,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-18.6,15.4,12,12,
1,19,02,Aaron Thomas with an offensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,1,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,18,57,Devon Bookert misses a 3-point jump shot from 24 feet out.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,1,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,18.1,15.4,12,12,
1,18,57,Arnaud-William Adala Moto with a defensive rebound.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,1,0,1,0,0,,,,,1,,,,6,Defensive Rebound,,,,18,18,
1,18,47,Codi Miller-McIntyre makes a layup shot. Travis McKie with the assist.,116008,97115,true,true,false,Codi,Travis,Miller-McIntyre,McKie,Wake,Wake,3,0,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,18,16,Personal foul committed by Arnaud-William Adala Moto.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,3,0,1,1,1,,,,,1,,1,Personal,8,Foul,,,,18,18,
