half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,43,James Michael McAdoo misses a layup shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,19,43,Michael Ojo with a defensive rebound.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,19,16,Ian Miller makes a jump shot from 18 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,16.6,5.9,12,12,
1,19,06,Leslie McDonald misses a 3-point jump shot from 23 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,18.5,14.5,15,15,
1,19,06,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,40,Aaron Thomas misses a 3-point jump shot from 24 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-9.4,22,12,12,
1,18,40,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,18,26,Kennedy Meeks misses a jump shot from 17 feet out.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,13.7,9.3,15,15,
1,18,26,Michael Ojo with a defensive rebound.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,21,Shooting foul committed by James Michael McAdoo.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,2,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,18,21,Aaron Thomas makes free throw 1 of 2.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,3,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,12,12,
1,18,21,Aaron Thomas makes free throw 2 of 2.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,4,0,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,12,12,
1,18,08,J.P. Tokoto misses a jump shot from 14 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,4,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,13.7,3,15,15,
1,18,08,Ian Miller with a defensive rebound.,97446,,true,false,false,Ian,,Miller,,FlaSt,,4,0,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,17,52,Ian Miller makes a 3-point jump shot from 24 feet out. Montay Brandon with the assist.,97446,116527,true,true,false,Ian,Montay,Miller,Brandon,FlaSt,FlaSt,7,0,1,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,18.1,15.4,12,12,
1,17,33,Marcus Paige misses a jump shot from 11 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,7,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,.6,10.6,15,15,
1,17,33,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,7,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,17,26,Ian Miller misses a layup shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,7,0,1,0,0,,,,,5,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,17,26,Michael Ojo with an offensive rebound.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,7,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,17,24,Shooting foul committed by Kennedy Meeks.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,7,0,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,17,24,Michael Ojo makes free throw 1 of 2.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,8,0,2,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,12,12,
1,17,24,Michael Ojo makes free throw 2 of 2.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,9,0,2,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,12,12,
1,17,08,Brice Johnson misses a jump shot from 12 feet out.,116588,,true,false,false,Brice,,Johnson,,UNC,,9,0,2,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,9.8,6.4,15,15,
1,17,08,Kennedy Meeks with an offensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,9,0,2,0,1,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,17,02,Kennedy Meeks makes a layup shot.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,9,2,2,0,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,16,42,Ian Miller makes a 3-point jump shot from 23 feet out. Aaron Thomas with the assist.,97446,116531,true,true,false,Ian,Aaron,Miller,Thomas,FlaSt,FlaSt,12,2,2,0,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,23,21,9,12,12,
1,16,31,Shooting foul committed by Okaro White.,97445,,true,false,false,Okaro,,White,,FlaSt,,12,2,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,16,31,Brice Johnson makes free throw 1 of 2.,116588,,true,false,false,Brice,,Johnson,,UNC,,12,3,2,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,15,15,
1,16,31,Brice Johnson misses free throw 2 of 2.,116588,,true,false,false,Brice,,Johnson,,UNC,,12,3,2,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,15,15,
1,16,31,Boris Bojanovsky with a defensive rebound.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,12,3,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,16,03,Personal foul committed by J.P. Tokoto.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,12,3,3,1,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,15,47,Boris Bojanovsky misses a jump shot from 14 feet out.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,12,3,3,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-13.7,3.8,12,12,
1,15,47,Montay Brandon with an offensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,12,3,3,1,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,15,47,Shooting foul committed by J.P. Tokoto.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,12,3,4,1,2,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,15,47,Official TV timeout.,,,false,false,false,,,,,,,12,3,4,1,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,15,47,Montay Brandon misses free throw 1 of 2.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,12,3,4,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,12,12,
1,15,47,FlaSt with an offensive rebound.,,,false,false,false,,,,,,,12,3,4,1,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,15,47,Montay Brandon makes free throw 2 of 2.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,13,3,4,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,12,12,
1,15,38,Marcus Paige misses a 3-point jump shot from 24 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,13,3,4,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-17.1,16.4,15,15,
1,15,38,Joel James with an offensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,13,3,4,1,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,15,34,Joel James misses a tip shot from 6 feet out.,116586,,true,false,false,Joel,,James,,UNC,,13,3,4,1,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,6,-4.3,4.8,15,15,
1,15,34,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,13,3,4,1,1,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,15,13,Okaro White misses a jump shot from 8 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,13,3,4,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-4.8,6,12,12,
1,15,13,Joel James with a defensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,13,3,4,1,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,14,46,James Michael McAdoo misses a jump shot from 18 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,13,3,4,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,4.8,17.4,15,15,
1,14,46,Ian Miller with a defensive rebound.,97446,,true,false,false,Ian,,Miller,,FlaSt,,13,3,4,1,0,,,,,8,,,,6,Defensive Rebound,,,,12,12,
