half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,31,Charles Mitchell makes a layup shot. Seth Allen with the assist.,116729,116730,true,true,false,Charles,Seth,Mitchell,Allen,MD,MD,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,14,14,
1,18,51,Wake with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,18,18,
1,18,41,Seth Allen misses a jump shot from 16 feet out.,116730,,true,false,false,Seth,,Allen,,MD,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,8.1,14.4,14,14,
1,18,41,Seth Allen with an offensive rebound.,116730,,true,false,false,Seth,,Allen,,MD,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,14,14,
1,18,34,Personal foul committed by Arnaud-William Adala Moto.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,2,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,18,18,Dez Wells misses a layup shot.,109448,,true,false,false,Dez,,Wells,,MD,,2,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,14,14,
1,18,18,Charles Mitchell with an offensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,2,0,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,14,14,
1,18,17,Charles Mitchell makes a layup shot.,116729,,true,false,false,Charles,,Mitchell,,MD,,4,0,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,14,14,
1,17,48,Arnaud-William Adala Moto makes a jump shot from 15 feet out. Codi Miller-McIntyre with the assist.,116014,116008,true,true,false,Arnaud-William,Codi,Adala Moto,Miller-McIntyre,Wake,Wake,4,2,1,0,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,14.5,2.1,18,18,
1,17,25,Evan Smotrycz misses a jump shot from 7 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,4,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-.9,7.2,14,14,
1,17,25,Jake Layman with an offensive rebound.,116731,,true,false,false,Jake,,Layman,,MD,,4,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,14,14,
1,17,17,Evan Smotrycz misses a 3-point jump shot from 23 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,4,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17,16,14,14,
