half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,44,Leslie McDonald makes a 3-point jump shot from 25 feet out. James Michael McAdoo with the assist.,88220,110437,true,true,false,Leslie,James Michael,McDonald,McAdoo,UNC,UNC,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-12.8,21.7,15,15,
1,19,27,Rasheed Sulaimon with a traveling turnover: Traveling,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,3,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,11,11,
1,19,17,James Michael McAdoo makes a layup shot. Marcus Paige with the assist.,110437,116587,true,true,false,James Michael,Marcus,McAdoo,Paige,UNC,UNC,5,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,19,02,Jabari Parker with a lost ball turnover: Lost Ball,121033,,true,false,false,Jabari,,Parker,,Duke,,5,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,11,11,
1,18,59,Shooting foul committed by Tyler Thornton.,97330,,true,false,false,Tyler,,Thornton,,Duke,,5,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,11,11,
1,18,59,J.P. Tokoto misses free throw 1 of 2.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,5,0,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,15,15,
1,18,59,UNC with an offensive rebound.,,,false,false,false,,,,,,,5,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,18,59,J.P. Tokoto makes free throw 2 of 2.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,6,0,1,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,15,15,
1,18,39,Rodney Hood misses a jump shot from 21 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,6,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,21,4.8,20.3,11,11,
1,18,39,Rasheed Sulaimon with an offensive rebound.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,6,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,18,36,Tyler Thornton with a bad pass turnover: Bad Pass,97330,,true,false,false,Tyler,,Thornton,,Duke,,6,0,1,0,1,,,,,0,,1,Bad Pass,7,Turnover,,,,11,11,
1,18,22,Leslie McDonald misses a 3-point jump shot from 22 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,6,0,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,22,22,2.1,15,15,
1,18,22,Kennedy Meeks with an offensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,6,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,18,18,Kennedy Meeks misses a layup shot.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,6,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,18,18,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,16,Jabari Parker with a out of bounds turnover: Out of Bounds,121033,,true,false,false,Jabari,,Parker,,Duke,,6,0,1,0,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,11,11,
1,18,11,Kennedy Meeks misses a layup shot.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,6,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,18,11,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,08,Personal foul committed by James Michael McAdoo.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,6,0,1,1,1,,,,,2,,1,Personal,8,Foul,,,,15,15,
