half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,34,Joe Harris misses a jump shot from 12 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-11.5,1.8,17,17,
1,19,34,Steve Vasturia with a defensive rebound.,120756,,true,false,false,Steve,,Vasturia,,ND,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,19,16,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,19,16,Garrick Sherman with an offensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,19,16,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,19,16,Mike Tobey with a defensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,18,53,Malcolm Brogdon makes a jump shot from 19 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,-10.1,15.6,17,17,
1,18,30,Pat Connaughton makes a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,17,55,Malcolm Brogdon makes a 3-point jump shot from 23 feet out. London Perrantes with the assist.,109418,120610,true,true,false,Malcolm,London,Brogdon,Perrantes,UVa,UVa,5,2,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,1.1,23.4,17,17,
1,17,17,Pat Connaughton makes a 3-point jump shot from 24 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,5,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,-16.4,17.3,46,46,
1,16,59,Joe Harris misses a 3-point jump shot from 24 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,5,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-15.4,17.9,17,17,
1,16,59,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,16,43,Pat Connaughton misses a jump shot from 15 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,5,0,0,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,15,.4,14.7,46,46,
1,16,43,Pat Connaughton with an offensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,5,0,0,0,,,,,5,,,,5,Offensive Rebound,,,,46,46,
1,16,39,Tom Knight makes a jump shot from 9 feet out. Pat Connaughton with the assist.,88670,109491,true,true,false,Tom,Pat,Knight,Connaughton,ND,ND,5,7,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,-8.4,2.1,46,46,
1,16,16,Akil Mitchell makes a layup shot. Joe Harris with the assist.,97111,97108,true,true,false,Akil,Joe,Mitchell,Harris,UVa,UVa,7,7,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,16,02,Eric Atkins misses a jump shot from 13 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,7,7,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-11.1,6.9,46,46,
1,16,02,Mike Tobey with a defensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,7,7,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,15,49,Akil Mitchell with a lost ball turnover: Lost Ball,97111,,true,false,false,Akil,,Mitchell,,UVa,,7,7,0,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,17,17,
1,15,30,Garrick Sherman misses a hook shot from 5 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,7,7,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,5,2,5,46,46,
1,15,30,Mike Tobey with a defensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,7,7,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,15,15,Joe Harris makes a 3-point jump shot from 24 feet out. Mike Tobey with the assist.,97108,116698,true,true,false,Joe,Mike,Harris,Tobey,UVa,UVa,10,7,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,17.8,16.6,17,17,
1,14,50,Steve Vasturia misses a layup shot.,120756,,true,false,false,Steve,,Vasturia,,ND,,10,7,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
