half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,29,T.J. Warren makes a 3-point jump shot from 24 feet out. Tyler Lewis with the assist.,116007,116006,true,true,false,T.J.,Tyler,Warren,Lewis,NCSU,NCSU,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-20.2,12.3,16,16,
1,18,53,Will Johnston misses a 3-point jump shot from 23 feet out.,114787,,true,false,false,Will,,Johnston,,VaTech,,0,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,17.1,14.9,54,54,
1,18,53,T.J. Warren with a defensive rebound.,116007,,true,false,false,T.J.,,Warren,,NCSU,,0,3,0,0,0,,,,,3,,,,6,Defensive Rebound,,,,16,16,
1,18,43,T.J. Warren makes a 3-point jump shot from 23 feet out. Tyler Lewis with the assist.,116007,116006,true,true,false,T.J.,Tyler,Warren,Lewis,NCSU,NCSU,0,6,0,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,15.2,17.6,16,16,
1,18,13,Trevor Thompson makes a dunk shot.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,2,6,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,54,54,
1,17,55,Kyle Washington misses a jump shot from 8 feet out.,120608,,true,false,false,Kyle,,Washington,,NCSU,,2,6,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,2.1,7.4,16,16,
1,17,55,Will Johnston with a defensive rebound.,114787,,true,false,false,Will,,Johnston,,VaTech,,2,6,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,17,33,Offensive foul committed by Trevor Thompson.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,2,6,0,1,1,,,,,2,,4,Offensive,8,Foul,,,,54,54,
1,17,33,Trevor Thompson with a  turnover:,120766,,true,false,false,Trevor,,Thompson,,VaTech,,2,6,0,1,1,,,,,2,,,,7,Turnover,,,,54,54,
1,17,24,Kyle Washington makes a jump shot from 8 feet out. Tyler Lewis with the assist.,120608,116006,true,true,false,Kyle,Tyler,Washington,Lewis,NCSU,NCSU,2,8,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,-1.4,7.4,16,16,
1,16,55,Jarell Eddie makes a 3-point jump shot from 24 feet out. Devin Wilson with the assist.,97464,120763,true,true,false,Jarell,Devin,Eddie,Wilson,VaTech,VaTech,5,8,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,17.6,16.2,54,54,
1,16,43,Jordan Vandenberg makes a dunk shot. Tyler Lewis with the assist.,88227,116006,true,true,false,Jordan,Tyler,Vandenberg,Lewis,NCSU,NCSU,5,10,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,16,16,
1,16,29,Devin Wilson with a lost ball turnover: Lost Ball,120763,,true,false,false,Devin,,Wilson,,VaTech,,5,10,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,54,54,
1,16,19,T.J. Warren misses a 3-point jump shot from 24 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,5,10,0,1,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,24,14.7,18.4,16,16,
