half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,47,47,
1,19,36,James Robinson misses a jump shot from 17 feet out.,116087,,true,false,false,James,,Robinson,,Pitt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,16.8,3,47,47,
1,19,36,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,19,09,Okaro White makes a 3-point jump shot from 24 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,14.4,19.1,12,12,
1,18,32,Lamar Patterson misses a 3-point jump shot from 24 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-23.7,1.8,47,47,
1,18,32,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,0,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,23,Ian Miller makes a layup shot.,97446,,true,false,false,Ian,,Miller,,FlaSt,,0,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,18,09,Cameron Wright misses a jump shot from 16 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,5,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,6.4,14.4,47,47,
1,18,09,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,17,43,Aaron Thomas misses a 3-point jump shot from 24 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,12.5,20,12,12,
1,17,43,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,17,32,Cameron Wright makes a layup shot. Lamar Patterson with the assist.,97236,88282,true,true,false,Cameron,Lamar,Wright,Patterson,Pitt,Pitt,2,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,16,59,Ian Miller misses a 3-point jump shot from 25 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,2,5,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,17.6,17.9,12,12,
1,16,59,Michael Young with a defensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,2,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,16,54,Shooting foul committed by Ian Miller.,97446,,true,false,false,Ian,,Miller,,FlaSt,,2,5,1,0,1,,,,,2,,2,Shooting,8,Foul,,,,12,12,
1,16,54,Michael Young makes free throw 1 of 2.,120761,,true,false,false,Michael,,Young,,Pitt,,3,5,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,16,54,Michael Young makes free throw 2 of 2.,120761,,true,false,false,Michael,,Young,,Pitt,,4,5,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,16,43,Aaron Thomas with a lost ball turnover: Lost Ball,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,4,5,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,16,24,Talib Zanna misses a layup shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,5,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,16,24,Michael Young with an offensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,4,5,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,47,47,
1,16,17,Michael Young misses a tip shot from 3 feet out.,120761,,true,false,false,Michael,,Young,,Pitt,,4,5,1,0,0,,,,,2,2,53,Tip Shot,4,Field Goal Missed,3,2.1,1.6,47,47,
1,16,17,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,4,5,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,16,09,Montay Brandon with a lost ball turnover: Lost Ball,116527,,true,false,false,Montay,,Brandon,,FlaSt,,4,5,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,16,08,Offensive foul committed by Talib Zanna.,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,5,1,1,1,,,,,0,,4,Offensive,8,Foul,,,,47,47,
1,16,08,Talib Zanna with a  turnover:,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,5,1,1,1,,,,,0,,,,7,Turnover,,,,47,47,
1,15,43,Boris Bojanovsky makes a layup shot. Devon Bookert with the assist.,116525,116526,true,true,false,Boris,Devon,Bojanovsky,Bookert,FlaSt,FlaSt,4,7,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,15,26,James Robinson makes a 3-point jump shot from 23 feet out. Cameron Wright with the assist.,116087,97236,true,true,false,James,Cameron,Robinson,Wright,Pitt,Pitt,7,7,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-18.8,13,47,47,
1,14,56,Official TV timeout.,,,false,false,false,,,,,,,7,7,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,47,47,
