half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,39,Jake Layman misses a jump shot from 21 feet out.,116731,,true,false,false,Jake,,Layman,,MD,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,21,6.9,19.5,14,14,
1,19,39,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,19,22,C.J. Fair misses a jump shot from 10 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,.9,9.6,52,52,
1,19,22,Charles Mitchell with a defensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,19,02,Jake Layman with a lost ball turnover: Lost Ball,116731,,true,false,false,Jake,,Layman,,MD,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,14,14,
1,18,50,Trevor Cooney makes a 3-point jump shot from 23 feet out. Rakeem Christmas with the assist.,110467,110466,true,true,false,Trevor,Rakeem,Cooney,Christmas,Syr,Syr,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,9.4,20.8,52,52,
1,18,26,Seth Allen makes a 3-point jump shot from 23 feet out. Jake Layman with the assist.,116730,116731,true,true,false,Seth,Jake,Allen,Layman,MD,MD,3,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,4.5,22.9,14,14,
1,18,07,Rakeem Christmas with a lost ball turnover: Lost Ball,110466,,true,false,false,Rakeem,,Christmas,,Syr,,3,3,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,52,52,
1,18,04,Charles Mitchell makes a dunk shot. Dez Wells with the assist.,116729,109448,true,true,false,Charles,Dez,Mitchell,Wells,MD,MD,5,3,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,14,14,
1,17,39,Rakeem Christmas misses a layup shot.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,5,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,52,52,
1,17,39,Jake Layman with a defensive rebound.,116731,,true,false,false,Jake,,Layman,,MD,,5,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,17,36,Seth Allen with a lost ball turnover: Lost Ball,116730,,true,false,false,Seth,,Allen,,MD,,5,3,0,0,0,,,,,3,,2,Lost Ball,7,Turnover,,,,14,14,
1,17,12,Tyler Ennis makes a jump shot from 14 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,5,5,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,14,.3,13.9,52,52,
1,16,44,Dez Wells misses a 3-point jump shot from 23 feet out.,109448,,true,false,false,Dez,,Wells,,MD,,5,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,9.6,21,14,14,
1,16,44,Seth Allen with an offensive rebound.,116730,,true,false,false,Seth,,Allen,,MD,,5,5,0,0,0,,,,,3,,,,5,Offensive Rebound,,,,14,14,
1,16,41,Seth Allen with a traveling turnover: Traveling,116730,,true,false,false,Seth,,Allen,,MD,,5,5,0,0,0,,,,,3,,4,Traveling,7,Turnover,,,,14,14,
1,16,16,Jerami Grant makes a layup shot.,116757,,true,false,false,Jerami,,Grant,,Syr,,5,7,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,16,07,Seth Allen misses a 3-point jump shot from 25 feet out.,116730,,true,false,false,Seth,,Allen,,MD,,5,7,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,25,-11,22.2,14,14,
1,16,07,Syr with a defensive rebound.,,,false,false,false,,,,,,,5,7,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,16,05,Personal foul committed by Charles Mitchell.,116729,,true,false,false,Charles,,Mitchell,,MD,,5,7,0,1,1,,,,,2,,1,Personal,8,Foul,,,,14,14,
1,15,48,Jerami Grant makes a dunk shot. Tyler Ennis with the assist.,116757,121072,true,true,false,Jerami,Tyler,Grant,Ennis,Syr,Syr,5,9,0,1,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,52,52,
1,15,27,Charles Mitchell misses a layup shot.,116729,,true,false,false,Charles,,Mitchell,,MD,,5,9,0,1,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,14,14,
1,15,27,MD with an offensive rebound.,,,false,false,false,,,,,,,5,9,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,14,14,
1,15,25,Official TV timeout.,,,false,false,false,,,,,,,5,9,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,14,14,
1,15,07,Evan Smotrycz misses a 3-point jump shot from 25 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,5,9,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-11.1,22.7,14,14,
1,15,07,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,5,9,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,14,45,Jerami Grant misses a layup shot.,116757,,true,false,false,Jerami,,Grant,,Syr,,5,9,0,1,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,52,52,
1,14,45,Evan Smotrycz with a defensive rebound.,97334,,true,false,false,Evan,,Smotrycz,,MD,,5,9,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,14,36,Evan Smotrycz misses a 3-point jump shot from 23 feet out.,97334,,true,false,false,Evan,,Smotrycz,,MD,,5,9,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,6.5,22.2,14,14,
1,14,36,Baye-Moussa Keita with a defensive rebound.,97403,,true,false,false,Baye-Moussa,,Keita,,Syr,,5,9,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,14,17,C.J. Fair makes a jump shot from 19 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,5,11,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,-.1,19.1,52,52,
