half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,37,Tyler Thornton misses a 3-point jump shot from 23 feet out.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.5,3.5,11,11,
1,19,37,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,19,37,Personal foul committed by Devin Wilson.,120763,,true,false,false,Devin,,Wilson,,VaTech,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,54,54,
1,19,23,Rasheed Sulaimon misses a 3-point jump shot from 24 feet out.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,0,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,.9,23.7,11,11,
1,19,23,Tyler Thornton with an offensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,19,18,Rodney Hood makes a 3-point jump shot from 24 feet out. Tyler Thornton with the assist.,109781,97330,true,true,false,Rodney,Tyler,Hood,Thornton,Duke,Duke,3,0,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-1.1,24.4,11,11,
1,18,42,Jarell Eddie misses a 3-point jump shot from 25 feet out.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,3,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,11,22,54,54,
1,18,42,Trevor Thompson with an offensive rebound.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,3,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,54,54,
1,18,32,Trevor Thompson makes a hook shot from 7 feet out.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,3,2,1,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,7,6.2,2.8,54,54,
1,18,28,Jabari Parker misses a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,2,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,18,28,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,18,28,Jabari Parker with a stepped out of bounds turnover: Stepped Out of Bounds,121033,,true,false,false,Jabari,,Parker,,Duke,,3,2,1,0,0,,,,,0,,26,Stepped Out of Bounds,7,Turnover,,,,11,11,
1,18,03,Trevor Thompson with a traveling turnover: Traveling,120766,,true,false,false,Trevor,,Thompson,,VaTech,,3,2,1,0,0,,,,,2,,4,Traveling,7,Turnover,,,,54,54,
1,17,55,Jabari Parker makes a layup shot. Rodney Hood with the assist.,121033,109781,true,true,false,Jabari,Rodney,Parker,Hood,Duke,Duke,5,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,17,07,Devin Wilson with a lost ball turnover: Lost Ball,120763,,true,false,false,Devin,,Wilson,,VaTech,,5,2,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,54,54,
1,16,58,Rasheed Sulaimon misses a 3-point jump shot from 25 feet out.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,5,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-4.3,24.2,11,11,
1,16,58,Amile Jefferson with an offensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,5,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,16,40,Tyler Thornton misses a 3-point jump shot from 26 feet out.,97330,,true,false,false,Tyler,,Thornton,,Duke,,5,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-.1,25.8,11,11,
1,16,40,Jarell Eddie with a defensive rebound.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,5,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,16,28,Trevor Thompson misses a jump shot from 6 feet out.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,5,2,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,6,2.6,5.5,54,54,
1,16,28,Trevor Thompson with an offensive rebound.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,5,2,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,54,54,
1,16,22,Trevor Thompson misses a layup shot.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,5,2,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,54,54,
1,16,22,Rodney Hood with a defensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,5,2,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,11,11,
