half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,35,Travis McKie misses a 3-point jump shot from 23 feet out.,97115,,true,false,false,Travis,,McKie,,Wake,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,15.7,16.6,18,18,
1,19,35,Landry Nnoko with a defensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,19,11,K.J. McDaniels misses a 3-point jump shot from 26 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,16.1,20.7,10,10,
1,19,11,Arnaud-William Adala Moto with a defensive rebound.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,18,50,Coron Williams misses a 3-point jump shot from 23 feet out.,89416,,true,false,false,Coron,,Williams,,Wake,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17.3,14.9,18,18,
1,18,50,K.J. McDaniels with a defensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,18,35,Landry Nnoko makes a layup shot. Jaron Blossomgame with the assist.,116772,116770,true,true,false,Landry,Jaron,Nnoko,Blossomgame,Clem,Clem,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,10,10,
1,18,34,Shooting foul committed by Coron Williams.,89416,,true,false,false,Coron,,Williams,,Wake,,0,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,18,18,
1,18,34,Landry Nnoko misses free throw 1 of 1.,116772,,true,false,false,Landry,,Nnoko,,Clem,,0,2,0,1,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,10,10,
1,18,34,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,18,03,Codi Miller-McIntyre misses a jump shot from 18 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,0,2,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,16.4,7.4,18,18,
1,18,03,Jaron Blossomgame with a defensive rebound.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,0,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,17,52,Rod Hall makes a jump shot from 10 feet out.,110088,,true,false,false,Rod,,Hall,,Clem,,0,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,-.3,10.1,10,10,
1,17,26,Devin Thomas makes a dunk shot. Codi Miller-McIntyre with the assist.,116010,116008,true,true,false,Devin,Codi,Thomas,Miller-McIntyre,Wake,Wake,2,4,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,18,18,
1,17,03,Rod Hall misses a jump shot from 9 feet out.,110088,,true,false,false,Rod,,Hall,,Clem,,2,4,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,9,1.4,8.4,10,10,
1,17,03,Landry Nnoko with an offensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,2,4,0,1,0,,,,,2,,,,5,Offensive Rebound,,,,10,10,
1,16,56,Landry Nnoko misses a layup shot from 3 feet out.,116772,,true,false,false,Landry,,Nnoko,,Clem,,2,4,0,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,3,0,3,10,10,
1,16,56,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,2,4,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
