half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,42,42,
1,19,32,Talib Zanna misses a jump shot from 15 feet out.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,7.9,12.7,47,47,
1,19,32,Cameron Wright with an offensive rebound.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,19,26,Cameron Wright makes a layup shot.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,19,08,Ryan Anderson with a traveling turnover: Traveling,110082,,true,false,false,Ryan,,Anderson,,BC,,0,2,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,42,42,
1,18,40,Michael Young misses a dunk shot.,120761,,true,false,false,Michael,,Young,,Pitt,,0,2,0,0,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,0,0,0,47,47,
1,18,40,Olivier Hanlan with a defensive rebound.,116003,,true,false,false,Olivier,,Hanlan,,BC,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,34,Patrick Heckmann makes a layup shot.,110086,,true,false,false,Patrick,,Heckmann,,BC,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,42,42,
1,18,24,Cameron Wright with a lost ball turnover: Lost Ball,97236,,true,false,false,Cameron,,Wright,,Pitt,,2,2,0,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,47,47,
1,18,21,Shooting foul committed by James Robinson.,116087,,true,false,false,James,,Robinson,,Pitt,,2,2,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,47,47,
1,18,21,Olivier Hanlan misses free throw 1 of 2.,116003,,true,false,false,Olivier,,Hanlan,,BC,,2,2,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,42,42,
1,18,21,BC with an offensive rebound.,,,false,false,false,,,,,,,2,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,18,21,Olivier Hanlan makes free throw 2 of 2.,116003,,true,false,false,Olivier,,Hanlan,,BC,,3,2,1,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,18,06,Lamar Patterson with a lost ball turnover: Lost Ball,88282,,true,false,false,Lamar,,Patterson,,Pitt,,3,2,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,47,47,
1,18,03,Olivier Hanlan makes a dunk shot.,116003,,true,false,false,Olivier,,Hanlan,,BC,,5,2,1,0,0,,,,,3,2,48,Dunk Shot,3,Field Goal Made,0,0,0,42,42,
1,17,49,Cameron Wright with a lost ball turnover: Lost Ball,97236,,true,false,false,Cameron,,Wright,,Pitt,,5,2,1,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,47,47,
1,17,45,Patrick Heckmann makes a dunk shot.,110086,,true,false,false,Patrick,,Heckmann,,BC,,7,2,1,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,42,42,
1,17,44,Pitt take a 20-second timeout.,,,false,false,false,,,,,,,7,2,1,0,0,,,,,0,,2,Short,11,Timeout,,,,47,47,
1,17,16,Michael Young misses a jump shot from 14 feet out.,120761,,true,false,false,Michael,,Young,,Pitt,,7,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,.8,14.4,47,47,
1,17,16,Talib Zanna with an offensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,7,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,17,13,Talib Zanna makes a tip shot from 4 feet out.,88283,,true,false,false,Talib,,Zanna,,Pitt,,7,4,1,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,4,-.3,3.6,47,47,
1,16,51,Ryan Anderson with a lost ball turnover: Lost Ball,110082,,true,false,false,Ryan,,Anderson,,BC,,7,4,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,42,42,
1,16,30,Cameron Wright makes a layup shot. James Robinson with the assist.,97236,116087,true,true,false,Cameron,James,Wright,Robinson,Pitt,Pitt,7,6,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,16,17,Will Magarity misses a 3-point jump shot from 23 feet out.,122015,,true,false,false,Will,,Magarity,,BC,,7,6,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,17.4,15.6,42,42,
1,16,17,James Robinson with a defensive rebound.,116087,,true,false,false,James,,Robinson,,Pitt,,7,6,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,15,57,Lamar Patterson makes a 3-point jump shot from 23 feet out. Talib Zanna with the assist.,88282,88283,true,true,false,Lamar,Talib,Patterson,Zanna,Pitt,Pitt,7,9,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,22.9,.6,47,47,
1,15,30,Personal foul committed by Talib Zanna.,88283,,true,false,false,Talib,,Zanna,,Pitt,,7,9,2,0,1,,,,,2,,1,Personal,8,Foul,,,,47,47,
1,15,30,Official TV timeout.,,,false,false,false,,,,,,,7,9,2,0,0,,,,,0,,3,Official TV,11,Timeout,,,,42,42,
1,15,28,Shooting foul committed by Derrick Randall.,110181,,true,false,false,Derrick,,Randall,,Pitt,,7,9,3,0,1,,,,,0,,2,Shooting,8,Foul,,,,47,47,
1,15,28,Ryan Anderson makes free throw 1 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,8,9,3,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,42,42,
1,15,28,Ryan Anderson makes free throw 2 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,9,9,3,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,14,53,Cameron Wright makes a jump shot from 21 feet out. Lamar Patterson with the assist.,97236,88282,true,true,false,Cameron,Lamar,Wright,Patterson,Pitt,Pitt,9,11,3,0,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,21,-7.7,19.1,47,47,
1,14,29,Garland Owens makes a layup shot. Olivier Hanlan with the assist.,120748,116003,true,true,false,Garland,Olivier,Owens,Hanlan,BC,BC,11,11,3,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,42,42,
1,13,58,Jamel Artis makes a 3-point jump shot from 22 feet out. Cameron Wright with the assist.,120758,97236,true,true,false,Jamel,Cameron,Artis,Wright,Pitt,Pitt,11,14,3,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,20.8,8.2,47,47,
1,13,37,Garland Owens with a lost ball turnover: Lost Ball,120748,,true,false,false,Garland,,Owens,,BC,,11,14,3,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,42,42,
1,13,27,Josh Newkirk misses a 3-point jump shot from 24 feet out.,120759,,true,false,false,Josh,,Newkirk,,Pitt,,11,14,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,.1,23.7,47,47,
1,13,27,Cameron Wright with an offensive rebound.,97236,,true,false,false,Cameron,,Wright,,Pitt,,11,14,3,0,0,,,,,6,,,,5,Offensive Rebound,,,,47,47,
1,13,19,Lamar Patterson makes a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,11,16,3,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,12,56,Eddie Odio misses a 3-point jump shot from 23 feet out.,110078,,true,false,false,Eddie,,Odio,,BC,,11,16,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-11,20,42,42,
1,12,56,Lonnie Jackson with an offensive rebound.,110084,,true,false,false,Lonnie,,Jackson,,BC,,11,16,3,0,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,12,50,Olivier Hanlan misses a 3-point jump shot from 23 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,11,16,3,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-13.5,18.1,42,42,
1,12,50,Josh Newkirk with a defensive rebound.,120759,,true,false,false,Josh,,Newkirk,,Pitt,,11,16,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
