half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,27,Jordan Vandenberg misses a layup shot.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,16,16,
1,19,27,Kyle Washington with an offensive rebound.,120608,,true,false,false,Kyle,,Washington,,NCSU,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,19,15,Ralston Turner with a lost ball turnover: Lost Ball,97046,,true,false,false,Ralston,,Turner,,NCSU,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,16,16,
1,18,57,Tonye Jekiri makes a jump shot from 16 feet out. Garrius Adams with the assist.,117672,88215,true,true,false,Tonye,Garrius,Jekiri,Adams,Mia-Fl,Mia-Fl,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,4,15.9,45,45,
1,18,29,T.J. Warren misses a jump shot from 17 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,-3.8,16.7,16,16,
1,18,29,Jordan Vandenberg with an offensive rebound.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,16,16,
1,18,21,T.J. Warren makes a jump shot from 7 feet out. Jordan Vandenberg with the assist.,116007,88227,true,true,false,T.J.,Jordan,Warren,Vandenberg,NCSU,NCSU,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,-1.1,6.5,16,16,
1,18,04,Garrius Adams misses a jump shot from 7 feet out.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-.3,6.5,45,45,
1,18,04,Tonye Jekiri with an offensive rebound.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,2,2,0,0,0,,,,,2,,,,5,Offensive Rebound,,,,45,45,
