half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,32,London Perrantes with a bad pass turnover: Bad Pass,120610,,true,false,false,London,,Perrantes,,UVa,,0,0,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,17,17,
1,19,10,C.J. Fair makes a hook shot from 9 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,2,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,9,-3.7,7.7,52,52,
1,18,56,Malcolm Brogdon misses a jump shot from 11 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,.9,11.1,17,17,
1,18,56,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,0,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,52,52,
1,18,23,Tyler Ennis misses a jump shot from 14 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,5,13.3,52,52,
1,18,23,Mike Tobey with a defensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,18,01,Malcolm Brogdon misses a 3-point jump shot from 23 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-15.2,16.9,17,17,
1,18,01,Rakeem Christmas with a defensive rebound.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,17,53,Tyler Ennis makes a jump shot from 10 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,0,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,-3.3,9.6,52,52,
1,17,18,Joe Harris misses a 3-point jump shot from 23 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,0,4,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,20.5,10.6,17,17,
1,17,18,Akil Mitchell with an offensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,4,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,17,15,Akil Mitchell makes a layup shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,2,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,16,59,Trevor Cooney misses a 3-point jump shot from 22 feet out.,110467,,true,false,false,Trevor,,Cooney,,Syr,,2,4,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-19.1,9.9,52,52,
1,16,59,London Perrantes with a defensive rebound.,120610,,true,false,false,London,,Perrantes,,UVa,,2,4,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,16,37,Mike Tobey misses a jump shot from 15 feet out.,116698,,true,false,false,Mike,,Tobey,,UVa,,2,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-7.2,13.2,17,17,
1,16,37,C.J. Fair with a defensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,4,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,52,52,
1,16,12,Jerami Grant misses a jump shot from 14 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,2,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-13.7,4.3,52,52,
1,16,12,Syr with an offensive rebound.,,,false,false,false,,,,,,,2,4,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,16,09,Shooting foul committed by Malcolm Brogdon.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,4,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,17,17,
