half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,28,Shooting foul committed by Will Magarity.,122015,,true,false,false,Will,,Magarity,,BC,,0,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,42,42,
1,19,28,Devin Thomas makes free throw 1 of 2.,116010,,true,false,false,Devin,,Thomas,,Wake,,1,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,19,28,Devin Thomas makes free throw 2 of 2.,116010,,true,false,false,Devin,,Thomas,,Wake,,2,0,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,18,54,Patrick Heckmann misses a jump shot from 13 feet out.,110086,,true,false,false,Patrick,,Heckmann,,BC,,2,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-1.6,12.7,42,42,
1,18,54,Patrick Heckmann with an offensive rebound.,110086,,true,false,false,Patrick,,Heckmann,,BC,,2,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,18,49,Olivier Hanlan misses a 3-point jump shot from 24 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,2,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,14.7,18.8,42,42,
1,18,49,Wake with a defensive rebound.,,,false,false,false,,,,,,,2,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,18,23,Travis McKie misses a 3-point jump shot from 24 feet out.,97115,,true,false,false,Travis,,McKie,,Wake,,2,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,20.7,12.2,18,18,
1,18,23,Joe Rahon with a defensive rebound.,116004,,true,false,false,Joe,,Rahon,,BC,,2,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,15,Patrick Heckmann with a lost ball turnover: Lost Ball,110086,,true,false,false,Patrick,,Heckmann,,BC,,2,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,42,42,
1,18,08,Travis McKie with a lost ball turnover: Lost Ball,97115,,true,false,false,Travis,,McKie,,Wake,,2,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,18,18,
1,17,53,Ryan Anderson makes a hook shot from 10 feet out.,110082,,true,false,false,Ryan,,Anderson,,BC,,2,2,1,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,10,-8.1,5,42,42,
1,17,32,Coron Williams makes a 3-point jump shot from 23 feet out. Codi Miller-McIntyre with the assist.,89416,116008,true,true,false,Coron,Codi,Williams,Miller-McIntyre,Wake,Wake,5,2,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,19.8,12.3,18,18,
1,17,17,Patrick Heckmann misses a 3-point jump shot from 24 feet out.,110086,,true,false,false,Patrick,,Heckmann,,BC,,5,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-24,2,42,42,
1,17,17,KC Caudill with an offensive rebound.,110079,,true,false,false,KC,,Caudill,,BC,,5,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,17,17,Personal foul committed by Tyler Cavanaugh.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,5,2,1,1,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,17,11,Ryan Anderson with a lost ball turnover: Lost Ball,110082,,true,false,false,Ryan,,Anderson,,BC,,5,2,1,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,42,42,
1,16,57,Tyler Cavanaugh with a lost ball turnover: Lost Ball,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,5,2,1,1,1,,,,,0,,2,Lost Ball,7,Turnover,,,,18,18,
1,16,24,Joe Rahon misses a jump shot from 8 feet out.,116004,,true,false,false,Joe,,Rahon,,BC,,5,2,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-.6,8.4,42,42,
1,16,24,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,5,2,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
1,16,12,Devin Thomas misses a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,5,2,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,16,12,KC Caudill with a defensive rebound.,110079,,true,false,false,KC,,Caudill,,BC,,5,2,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,16,03,Patrick Heckmann with a lost ball turnover: Lost Ball,110086,,true,false,false,Patrick,,Heckmann,,BC,,5,2,1,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,42,42,
1,15,59,Devin Thomas with a lost ball turnover: Lost Ball,116010,,true,false,false,Devin,,Thomas,,Wake,,5,2,1,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,18,18,
1,15,55,Olivier Hanlan makes a 3-point jump shot from 22 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,5,5,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-15.9,15.9,42,42,
1,15,34,Tyler Cavanaugh misses a layup shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,5,5,1,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,15,34,KC Caudill with a defensive rebound.,110079,,true,false,false,KC,,Caudill,,BC,,5,5,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,15,11,Joe Rahon misses a 3-point jump shot from 22 feet out.,116004,,true,false,false,Joe,,Rahon,,BC,,5,5,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,21.9,2.6,42,42,
