half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,34,Personal foul committed by Nick Faust.,110907,,true,false,false,Nick,,Faust,,MD,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,19,18,K.J. McDaniels misses a jump shot from 18 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,17.1,5.3,10,10,
1,19,18,Jake Layman with a defensive rebound.,116731,,true,false,false,Jake,,Layman,,MD,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,18,48,Dez Wells with a lost ball turnover: Lost Ball,109448,,true,false,false,Dez,,Wells,,MD,,0,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,14,14,
1,18,43,Damarcus Harrison misses a layup shot.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,0,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,18,43,Landry Nnoko with an offensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,0,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,18,28,Landry Nnoko with a lost ball turnover: Lost Ball,116772,,true,false,false,Landry,,Nnoko,,Clem,,0,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,10,10,
1,18,09,Charles Mitchell misses a hook shot from 5 feet out.,116729,,true,false,false,Charles,,Mitchell,,MD,,0,0,1,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,5,3.3,4,14,14,
1,18,09,Jaron Blossomgame with a defensive rebound.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,18,01,Rod Hall misses a layup shot.,110088,,true,false,false,Rod,,Hall,,Clem,,0,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,18,01,Charles Mitchell with a defensive rebound.,116729,,true,false,false,Charles,,Mitchell,,MD,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,17,52,Jake Layman misses a 3-point jump shot from 24 feet out.,116731,,true,false,false,Jake,,Layman,,MD,,0,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,14.7,18.6,14,14,
1,17,52,K.J. McDaniels with a defensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,17,34,Jaron Blossomgame with a lost ball turnover: Lost Ball,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,0,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,10,10,
1,17,28,Nick Faust makes a dunk shot. Seth Allen with the assist.,110907,116730,true,true,false,Nick,Seth,Faust,Allen,MD,MD,0,2,1,0,1,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,14,14,
1,17,06,Damarcus Harrison misses a jump shot from 20 feet out.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,0,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,3.7,19.6,10,10,
1,17,06,Seth Allen with a defensive rebound.,116730,,true,false,false,Seth,,Allen,,MD,,0,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
