half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,37,Daniel Miller makes a jump shot from 16 feet out. Marcus Georges-Hunt with the assist.,88211,116540,true,true,false,Daniel,Marcus,Miller,Georges-Hunt,GaTech,GaTech,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-14.9,4.8,13,13,
1,19,08,Okaro White misses a layup shot.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,19,08,"Robert Carter, Jr. with a defensive rebound.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,48,"Robert Carter, Jr. misses a 3-point jump shot from 23 feet out.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,15.2,17.1,13,13,
1,18,48,GaTech with an offensive rebound.,,,false,false,false,,,,,,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,18,45,Daniel Miller misses a jump shot from 15 feet out.,88211,,true,false,false,Daniel,,Miller,,GaTech,,0,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,15,-11.3,10.1,13,13,
1,18,45,Ian Miller with a defensive rebound.,97446,,true,false,false,Ian,,Miller,,FlaSt,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,34,Aaron Thomas makes a layup shot. Ian Miller with the assist.,116531,97446,true,true,false,Aaron,Ian,Thomas,Miller,FlaSt,FlaSt,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,18,25,"Robert Carter, Jr. makes a layup shot.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,2,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,18,04,Aaron Thomas misses a jump shot from 20 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,2,4,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,20,-6.9,18.6,12,12,
1,18,04,GaTech with a defensive rebound.,,,false,false,false,,,,,,,2,4,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,17,40,Kammeon Holsey misses a jump shot from 6 feet out.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,2,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,-5,3.8,13,13,
1,17,40,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,2,4,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,17,32,Montay Brandon misses a jump shot from 4 feet out.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,2,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,4,.4,4.3,12,12,
1,17,32,Okaro White with an offensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,2,4,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,17,31,Okaro White makes a layup shot.,97445,,true,false,false,Okaro,,White,,FlaSt,,4,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,17,10,Trae Golden makes a 3-point jump shot from 23 feet out.,97522,,true,false,false,Trae,,Golden,,GaTech,,4,7,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,8.8,20.8,13,13,
1,16,55,Shooting foul committed by Trae Golden.,97522,,true,false,false,Trae,,Golden,,GaTech,,4,7,1,0,1,,,,,3,,2,Shooting,8,Foul,,,,13,13,
1,16,55,Aaron Thomas makes free throw 1 of 2.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,5,7,1,0,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,12,12,
