half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,35,Steve Vasturia with a lost ball turnover: Lost Ball,120756,,true,false,false,Steve,,Vasturia,,ND,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,46,46,
1,19,07,Wade Moody makes a 3-point jump shot from 24 feet out. James Manor with the assist.,118844,118842,true,true,false,Wade,James,Moody,Manor,UNC,UNC,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,13.2,19.8,15,15,
1,18,51,Pat Connaughton makes a jump shot from 13 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,3,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,13,-2.3,12.3,46,46,
1,18,37,James Michael McAdoo makes a jump shot from 10 feet out. Denzel Robinson with the assist.,110437,118846,true,true,false,James Michael,Denzel,McAdoo,Robinson,UNC,UNC,5,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,7.4,7.4,15,15,
1,18,25,Zach Auguste misses a jump shot from 16 feet out.,116591,,true,false,false,Zach,,Auguste,,ND,,5,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-13.7,8.1,46,46,
1,18,25,Denzel Robinson with a defensive rebound.,118846,,true,false,false,Denzel,,Robinson,,UNC,,5,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,18,04,Leslie McDonald misses a 3-point jump shot from 24 feet out.,88220,,true,false,false,Leslie,,McDonald,,UNC,,5,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-18.6,15.4,15,15,
1,18,04,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,17,49,Zach Auguste misses a layup shot.,116591,,true,false,false,Zach,,Auguste,,ND,,5,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,17,49,Zach Auguste with an offensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,5,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,17,47,Zach Auguste makes a layup shot.,116591,,true,false,false,Zach,,Auguste,,ND,,5,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,17,42,James Michael McAdoo misses a jump shot from 9 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,5,4,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,9,-7.7,4.8,15,15,
1,17,42,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,4,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,17,35,Steve Vasturia misses a 3-point jump shot from 23 feet out.,120756,,true,false,false,Steve,,Vasturia,,ND,,5,4,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19.8,11.3,46,46,
1,17,35,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,5,4,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,15,15,
1,17,21,James Michael McAdoo makes a jump shot from 12 feet out. Leslie McDonald with the assist.,110437,88220,true,true,false,James Michael,Leslie,McAdoo,McDonald,UNC,UNC,7,4,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,12,-7.6,9.4,15,15,
1,17,21,Shooting foul committed by Zach Auguste.,116591,,true,false,false,Zach,,Auguste,,ND,,7,4,1,0,1,,,,,2,,2,Shooting,8,Foul,,,,46,46,
1,17,21,James Michael McAdoo makes free throw 1 of 1.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,8,4,1,0,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,15,15,
1,16,48,Pat Connaughton misses a jump shot from 12 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,8,4,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,12,9.1,7.2,46,46,
1,16,48,Zach Auguste with an offensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,8,4,1,0,1,,,,,2,,,,5,Offensive Rebound,,,,46,46,
1,16,45,ND with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,8,4,1,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,46,46,
1,16,32,Kennedy Meeks makes a layup shot. James Michael McAdoo with the assist.,121345,110437,true,true,false,Kennedy,James Michael,Meeks,McAdoo,UNC,UNC,10,4,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,16,12,Eric Atkins misses a 3-point jump shot from 25 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,10,4,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-16.8,18.3,46,46,
1,16,12,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,10,4,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,15,15,
1,16,06,Shooting foul committed by Pat Connaughton.,109491,,true,false,false,Pat,,Connaughton,,ND,,10,4,2,0,1,,,,,2,,2,Shooting,8,Foul,,,,46,46,
1,16,06,James Michael McAdoo makes free throw 1 of 2.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,11,4,2,0,0,,,,,6,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,15,15,
1,16,06,James Michael McAdoo misses free throw 2 of 2.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,11,4,2,0,0,,,,,6,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,15,15,
1,16,06,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,11,4,2,0,1,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,15,39,Official TV timeout.,,,false,false,false,,,,,,,11,4,2,0,0,,,,,0,,3,Official TV,11,Timeout,,,,15,15,
1,15,32,Pat Connaughton with a lost ball turnover: Lost Ball,109491,,true,false,false,Pat,,Connaughton,,ND,,11,4,2,0,1,,,,,2,,2,Lost Ball,7,Turnover,,,,46,46,
1,15,18,James Michael McAdoo misses a jump shot from 16 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,11,4,2,0,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,16,15.6,3.8,15,15,
1,15,18,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,11,4,2,0,1,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,14,58,Austin Burgett makes a 3-point jump shot from 22 feet out. Eric Atkins with the assist.,116593,97478,true,true,false,Austin,Eric,Burgett,Atkins,ND,ND,11,7,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,22.2,3.3,46,46,
1,14,43,Shooting foul committed by Tom Knight.,88670,,true,false,false,Tom,,Knight,,ND,,11,7,3,0,1,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,14,43,Kennedy Meeks misses free throw 1 of 2.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,11,7,3,0,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,15,15,
1,14,43,UNC with an offensive rebound.,,,false,false,false,,,,,,,11,7,3,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,14,43,Kennedy Meeks makes free throw 2 of 2.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,12,7,3,0,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,15,15,
1,14,31,Offensive foul committed by Tom Knight.,88670,,true,false,false,Tom,,Knight,,ND,,12,7,4,0,2,,,,,0,,4,Offensive,8,Foul,,,,46,46,
1,14,31,Tom Knight with a  turnover:,88670,,true,false,false,Tom,,Knight,,ND,,12,7,4,0,2,,,,,0,,,,7,Turnover,,,,46,46,
1,14,18,Brice Johnson with a traveling turnover: Traveling,116588,,true,false,false,Brice,,Johnson,,UNC,,12,7,4,0,0,,,,,0,,4,Traveling,7,Turnover,,,,15,15,
1,14,05,Pat Connaughton makes a jump shot from 9 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,12,9,4,0,1,,,,,4,2,45,Jump Shot,3,Field Goal Made,9,6.9,6,46,46,
1,14,05,Shooting foul committed by Leslie McDonald.,88220,,true,false,false,Leslie,,McDonald,,UNC,,12,9,4,1,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,14,05,Pat Connaughton misses free throw 1 of 1.,109491,,true,false,false,Pat,,Connaughton,,ND,,12,9,4,1,1,,,,,4,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,46,46,
1,14,05,J.P. Tokoto with a defensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,12,9,4,1,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,13,49,J.P. Tokoto makes a jump shot. Marcus Paige with the assist.,116589,116587,true,true,false,J.P.,Marcus,Tokoto,Paige,UNC,UNC,14,9,4,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,0,0,0,15,15,
1,13,31,Pat Connaughton misses a 3-point jump shot from 24 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,14,9,4,1,1,,,,,4,3,45,Jump Shot,4,Field Goal Missed,24,21.2,10.4,46,46,
1,13,31,J.P. Tokoto with a defensive rebound.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,14,9,4,1,0,,,,,2,,,,6,Defensive Rebound,,,,15,15,
1,13,18,Marcus Paige misses a 3-point jump shot from 27 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,14,9,4,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,27,-16.9,20.5,15,15,
1,13,18,Zach Auguste with a defensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,14,9,4,1,1,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,12,54,Eric Atkins makes a hook shot from 7 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,14,11,4,1,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,7,.9,6.9,46,46,
1,12,41,Brice Johnson misses a jump shot from 8 feet out.,116588,,true,false,false,Brice,,Johnson,,UNC,,14,11,4,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,6,6,15,15,
