half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,42,42,
1,19,34,Aaron Thomas misses a 3-point jump shot from 23 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,17.4,14.7,12,12,
1,19,34,Okaro White with an offensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,19,27,Okaro White makes a tip shot from 7 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,2,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,7,4,6,12,12,
1,19,10,Joe Rahon makes a layup shot.,116004,,true,false,false,Joe,,Rahon,,BC,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,42,42,
1,18,51,Okaro White misses a 3-point jump shot from 23 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,2,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-21,10,12,12,
1,18,51,Montay Brandon with an offensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,2,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,12,12,
1,18,33,Aaron Thomas misses a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,2,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,18,33,Olivier Hanlan with a defensive rebound.,116003,,true,false,false,Olivier,,Hanlan,,BC,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,30,Danny Rubin makes a 3-point jump shot from 22 feet out. Olivier Hanlan with the assist.,97498,116003,true,true,false,Danny,Olivier,Rubin,Hanlan,BC,BC,5,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,16,15,42,42,
1,18,06,Ian Miller makes a 3-point jump shot from 23 feet out. Aaron Thomas with the assist.,97446,116531,true,true,false,Ian,Aaron,Miller,Thomas,FlaSt,FlaSt,5,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,4,23,12,12,
1,17,29,Olivier Hanlan misses a 3-point jump shot from 25 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,5,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,19.5,16.2,42,42,
1,17,29,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,5,5,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,17,19,Ian Miller makes a jump shot from 15 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,5,7,0,0,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,15,-6.9,13.5,12,12,
1,16,58,Danny Rubin misses a 3-point jump shot from 24 feet out.,97498,,true,false,false,Danny,,Rubin,,BC,,5,7,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-15.7,18.3,42,42,
1,16,58,Ian Miller with a defensive rebound.,97446,,true,false,false,Ian,,Miller,,FlaSt,,5,7,0,0,0,,,,,5,,,,6,Defensive Rebound,,,,12,12,
1,16,48,Okaro White misses a 3-point jump shot from 24 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,5,7,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-2.8,23.4,12,12,
1,16,48,Joe Rahon with a defensive rebound.,116004,,true,false,false,Joe,,Rahon,,BC,,5,7,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,42,42,
1,16,37,Olivier Hanlan misses a jump shot from 17 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,5,7,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,-9.8,13.3,42,42,
1,16,37,BC with an offensive rebound.,,,false,false,false,,,,,,,5,7,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,16,30,Olivier Hanlan makes a 3-point jump shot from 24 feet out. Joe Rahon with the assist.,116003,116004,true,true,false,Olivier,Joe,Hanlan,Rahon,BC,BC,8,7,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,14,20,42,42,
1,16,05,Aaron Thomas makes a 3-point jump shot from 22 feet out. Ian Miller with the assist.,116531,97446,true,true,false,Aaron,Ian,Thomas,Miller,FlaSt,FlaSt,8,10,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-19.5,11,12,12,
1,15,32,Olivier Hanlan with a bad pass turnover: Bad Pass,116003,,true,false,false,Olivier,,Hanlan,,BC,,8,10,0,0,0,,,,,3,,1,Bad Pass,7,Turnover,,,,42,42,
1,15,32,Official TV timeout.,,,false,false,false,,,,,,,8,10,0,0,0,,,,,0,,3,Official TV,11,Timeout,,,,42,42,
1,15,06,Devon Bookert with a traveling turnover: Traveling,116526,,true,false,false,Devon,,Bookert,,FlaSt,,8,10,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,12,12,
1,14,59,Will Magarity misses a 3-point jump shot from 24 feet out.,122015,,true,false,false,Will,,Magarity,,BC,,8,10,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,22.4,7.2,42,42,
1,14,59,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,8,10,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,14,48,Personal foul committed by Will Magarity.,122015,,true,false,false,Will,,Magarity,,BC,,8,10,0,1,1,,,,,0,,1,Personal,8,Foul,,,,42,42,
1,14,38,Devon Bookert misses a 3-point jump shot from 22 feet out.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,8,10,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,15,16,12,12,
1,14,38,Patrick Heckmann with a defensive rebound.,110086,,true,false,false,Patrick,,Heckmann,,BC,,8,10,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,14,33,Offensive foul committed by Patrick Heckmann.,110086,,true,false,false,Patrick,,Heckmann,,BC,,8,10,0,2,1,,,,,0,,4,Offensive,8,Foul,,,,42,42,
1,14,33,Patrick Heckmann with a  turnover:,110086,,true,false,false,Patrick,,Heckmann,,BC,,8,10,0,2,1,,,,,0,,,,7,Turnover,,,,42,42,
1,14,21,Personal foul committed by Olivier Hanlan.,116003,,true,false,false,Olivier,,Hanlan,,BC,,8,10,0,3,1,,,,,3,,1,Personal,8,Foul,,,,42,42,
