half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,45,Travis McKie makes a 3-point jump shot from 25 feet out. Arnaud-William Adala Moto with the assist.,97115,116014,true,true,false,Travis,Arnaud-William,McKie,Adala Moto,Wake,Wake,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,8.8,23.4,18,18,
1,19,18,Jabari Parker misses a 3-point jump shot from 24 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,18.6,15.4,11,11,
1,19,18,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,19,12,Jabari Parker misses a jump shot from 6 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,-.1,5.9,11,11,
1,19,12,Duke with an offensive rebound.,,,false,false,false,,,,,,,3,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,19,05,Personal foul committed by Devin Thomas.,116010,,true,false,false,Devin,,Thomas,,Wake,,3,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,18,56,Rasheed Sulaimon misses a jump shot from 20 feet out.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,3,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,12.5,16.2,11,11,
1,18,56,Travis McKie with a defensive rebound.,97115,,true,false,false,Travis,,McKie,,Wake,,3,0,0,1,0,,,,,3,,,,6,Defensive Rebound,,,,18,18,
1,18,45,Codi Miller-McIntyre misses a jump shot from 19 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,3,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,16.2,9.3,18,18,
1,18,45,Duke with a defensive rebound.,,,false,false,false,,,,,,,3,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,27,Tyler Thornton with a lost ball turnover: Lost Ball,97330,,true,false,false,Tyler,,Thornton,,Duke,,3,0,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,11,11,
1,18,21,Codi Miller-McIntyre misses a layup shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,3,0,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,18,21,Duke with a defensive rebound.,,,false,false,false,,,,,,,3,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,06,Amile Jefferson misses a layup shot.,116520,,true,false,false,Amile,,Jefferson,,Duke,,3,0,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,18,06,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,3,0,0,1,1,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,17,51,Wake take a 20-second timeout.,,,false,false,false,,,,,,,3,0,0,1,0,,,,,0,,2,Short,11,Timeout,,,,18,18,
1,17,44,Devin Thomas misses a jump shot from 10 feet out.,116010,,true,false,false,Devin,,Thomas,,Wake,,3,0,0,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,2.6,9.3,18,18,
1,17,44,Arnaud-William Adala Moto with an offensive rebound.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,3,0,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,17,39,Arnaud-William Adala Moto makes a layup shot.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,5,0,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,17,21,Tyler Thornton with a traveling turnover: Traveling,97330,,true,false,false,Tyler,,Thornton,,Duke,,5,0,0,1,0,,,,,0,,4,Traveling,7,Turnover,,,,11,11,
1,17,04,Devin Thomas with a lost ball turnover: Lost Ball,116010,,true,false,false,Devin,,Thomas,,Wake,,5,0,0,1,1,,,,,0,,2,Lost Ball,7,Turnover,,,,18,18,
1,17,00,Rodney Hood with a lost ball turnover: Lost Ball,109781,,true,false,false,Rodney,,Hood,,Duke,,5,0,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,11,11,
1,16,50,Personal foul committed by Amile Jefferson.,116520,,true,false,false,Amile,,Jefferson,,Duke,,5,0,1,1,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,16,28,Arnaud-William Adala Moto with a lost ball turnover: Lost Ball,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,5,0,1,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,18,18,
1,16,20,Jabari Parker misses a jump shot from 8 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,5,0,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,2.8,7.7,11,11,
1,16,20,Marshall Plumlee with an offensive rebound.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,5,0,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,16,17,Shooting foul committed by Coron Williams.,89416,,true,false,false,Coron,,Williams,,Wake,,5,0,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,18,18,
1,16,17,Marshall Plumlee makes free throw 1 of 2.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,5,1,1,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,11,11,
1,16,17,Marshall Plumlee makes free throw 2 of 2.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,5,2,1,2,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,11,11,
1,15,56,Arnaud-William Adala Moto makes a 3-point jump shot from 23 feet out. Coron Williams with the assist.,116014,89416,true,true,false,Arnaud-William,Coron,Adala Moto,Williams,Wake,Wake,8,2,1,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,18.6,13.7,18,18,
1,15,36,Shooting foul committed by Arnaud-William Adala Moto.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,8,2,1,3,1,,,,,5,,2,Shooting,8,Foul,,,,18,18,
1,15,36,Official TV timeout.,,,false,false,false,,,,,,,8,2,1,3,0,,,,,0,,3,Official TV,11,Timeout,,,,18,18,
1,15,36,Jabari Parker makes free throw 1 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,3,1,3,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,11,11,
1,15,36,Jabari Parker makes free throw 2 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,4,1,3,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,11,11,
1,15,19,Tyler Cavanaugh misses a layup shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,8,4,1,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,15,19,Wake with an offensive rebound.,,,false,false,false,,,,,,,8,4,1,3,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,15,11,Tyler Cavanaugh misses a jump shot from 20 feet out.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,8,4,1,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,18.3,8.2,18,18,
1,15,11,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,4,1,3,0,,,,,2,,,,6,Defensive Rebound,,,,11,11,
1,14,55,Marshall Plumlee makes a layup shot. Rodney Hood with the assist.,109415,109781,true,true,false,Marshall,Rodney,Plumlee,Hood,Duke,Duke,8,6,1,3,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,14,35,Travis McKie with a lost ball turnover: Lost Ball,97115,,true,false,false,Travis,,McKie,,Wake,,8,6,1,3,0,,,,,3,,2,Lost Ball,7,Turnover,,,,18,18,
1,14,30,Quinn Cook with a lost ball turnover: Lost Ball,109412,,true,false,false,Quinn,,Cook,,Duke,,8,6,1,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,11,11,
1,14,25,Codi Miller-McIntyre makes a dunk shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,10,6,1,3,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,18,18,
1,14,15,Rodney Hood misses a 3-point jump shot from 23 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,10,6,1,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-16.6,16.1,11,11,
1,14,15,Codi Miller-McIntyre with a defensive rebound.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,10,6,1,3,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
1,14,07,Personal foul committed by Rasheed Sulaimon.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,10,6,2,3,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,13,45,Codi Miller-McIntyre makes a jump shot from 20 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,12,6,2,3,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,20,.9,19.6,18,18,
1,13,28,Andre Dawkins misses a 3-point jump shot from 23 feet out.,88970,,true,false,false,Andre,,Dawkins,,Duke,,12,6,2,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.7,3.6,11,11,
1,13,28,Coron Williams with a defensive rebound.,89416,,true,false,false,Coron,,Williams,,Wake,,12,6,2,3,1,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,13,08,Shooting foul committed by Marshall Plumlee.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,12,6,3,3,1,,,,,4,,2,Shooting,8,Foul,,,,11,11,
1,13,08,Coron Williams makes free throw 1 of 2.,89416,,true,false,false,Coron,,Williams,,Wake,,13,6,3,3,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,13,08,Coron Williams makes free throw 2 of 2.,89416,,true,false,false,Coron,,Williams,,Wake,,14,6,3,3,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,12,42,Quinn Cook makes a 3-point jump shot from 23 feet out. Rodney Hood with the assist.,109412,109781,true,true,false,Quinn,Rodney,Cook,Hood,Duke,Duke,14,9,3,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,13,19.5,11,11,
1,12,28,Tyler Cavanaugh makes a layup shot. Codi Miller-McIntyre with the assist.,116013,116008,true,true,false,Tyler,Codi,Cavanaugh,Miller-McIntyre,Wake,Wake,16,9,3,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,12,10,Rodney Hood misses a jump shot from 14 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,16,9,3,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,12,6.2,11,11,
1,12,10,Marshall Plumlee with an offensive rebound.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,16,9,3,3,1,,,,,4,,,,5,Offensive Rebound,,,,11,11,
1,12,05,Marshall Plumlee misses a jump shot from 7 feet out.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,16,9,3,3,1,,,,,4,2,45,Jump Shot,4,Field Goal Missed,7,2.1,6.2,11,11,
1,12,05,Amile Jefferson with an offensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,16,9,3,3,1,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,12,00,Quinn Cook misses a 3-point jump shot from 24 feet out.,109412,,true,false,false,Quinn,,Cook,,Duke,,16,9,3,3,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,6.4,23.5,11,11,
1,12,00,Andre Dawkins with an offensive rebound.,88970,,true,false,false,Andre,,Dawkins,,Duke,,16,9,3,3,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,11,55,Andre Dawkins makes a jump shot from 5 feet out.,88970,,true,false,false,Andre,,Dawkins,,Duke,,16,11,3,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,5,-1.1,4.8,11,11,
1,11,38,Tyler Cavanaugh misses a layup shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,16,11,3,3,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,11,38,Tyler Cavanaugh with an offensive rebound.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,16,11,3,3,0,,,,,2,,,,5,Offensive Rebound,,,,18,18,
1,11,33,Shooting foul committed by Amile Jefferson.,116520,,true,false,false,Amile,,Jefferson,,Duke,,16,11,4,3,2,,,,,0,,2,Shooting,8,Foul,,,,11,11,
1,11,33,Official TV timeout.,,,false,false,false,,,,,,,16,11,4,3,0,,,,,0,,3,Official TV,11,Timeout,,,,18,18,
1,11,33,Tyler Cavanaugh misses free throw 1 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,16,11,4,3,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,18,18,
1,11,33,Wake with an offensive rebound.,,,false,false,false,,,,,,,16,11,4,3,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,11,33,Tyler Cavanaugh makes free throw 2 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,17,11,4,3,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
